gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
OR4F29,5.647566605,7.400963136,5.16417224,3.930431729,3.53802098,3.398721307,8.250854864,0.461980693,0.680199916,0.220359883,0.960651754,0.42445075,0.876699456,1.158864676,0.531960686,3.737851958
MRPL20,310.2890572,281.419452,13.76509924,15.92620485,206.1053855,232.5166949,203.4275016,58.50010302,153.0285555,177.5776525,170.0284168,234.8546765,181.883552,170.8098032,111.2992037,16.96489495
MIB2,0.428115378,0.835312348,1.069635139,1.044478988,0.621255807,0.566546431,0.168075517,2.464301026,0.87725525,0.262599506,0.174444803,0.406025538,0.0808437,0.438413122,0.191185065,0.12612034
HES2,1.817740725,0.846116303,0,0,4.520631055,6.019813041,4.379792891,1.62741118,3.277201068,3.021033326,5.114829503,8.067412679,3.408114413,5.911905409,1.484692075,0
NOL9,13.56263495,12.06144828,0.326844659,4.171694112,13.75746581,17.81906787,10.23417161,14.0347841,47.86105038,34.45225691,37.84306425,56.06761983,12.52956924,27.34707418,27.79600059,0
CA6,3.04692635,5.35803233,0.506693177,0,0,0.694734161,0,1.924134461,5.038664154,0.906025137,2.369872302,9.201747844,0.225288213,0.312837352,1.424989854,1.132808912
NMNAT1,10.22302476,13.35402151,0.417978691,0,9.78309935,8.206741571,4.155256987,8.46124725,15.94901804,15.7666062,16.47680992,27.58811494,5.546586018,36.57364627,7.520435531,1.199237547
MASP2,0.405968678,0.618760303,0,0,0.405674129,0.719917954,2.076840105,0.6478799,3.121886218,1.081611404,0.688576161,3.699041492,0.640354092,3.129990255,1.947939979,0
DISP3,1.119153529,0.715560625,0,0,0.824840136,0.707980166,0.395552232,1.781170658,2.48320458,2.418287682,2.176169232,1.350583659,0.133626832,1.224666224,1.369378644,0
FBXO2,0.613423586,0.324859016,0.203064787,1.809387308,0,0.584692487,0.299482013,0.955009092,2.470424004,1.074454723,0.302196805,1.907449961,0,0.344296835,0.502024232,0
FBXO44,0.099201229,0.360697149,0,0.162265156,0,0.569294251,0.179049543,1.489475602,0.819897133,0.590573232,0.433614288,1.128991888,0.061831298,0.726503703,0.250118553,0
FBXO6,4.173782341,4.902396129,1.739931663,0.384838082,11.2935415,8.344681104,11.52607782,5.185253036,24.96549317,21.67306125,9.916583811,10.32783559,1.445480335,2.104547233,10.11823973,0
PRAMEF11,308.9783199,294.8924886,0,0,85.24971634,13.202714,8.671108954,76.94992228,97.94325781,13.13171718,90.93944309,87.0817487,6.175949709,49.37266008,172.6085082,0
HNRNPCL1,158.884502,180.3004096,0.231875062,0,71.21710169,16.40504187,6.459465427,42.49406341,99.45412366,29.58401032,46.06706646,72.14869224,3.395182827,15.8992352,112.1818507,0
PRAMEF4,383.9029534,360.4551051,0,0.051839602,169.4466071,48.99140163,23.10952228,177.1588352,182.1070602,106.7691535,141.0569174,69.80880184,15.5559062,119.171492,325.1077249,0
PRAMEF10,163.9112838,170.3190258,0,0,19.29485404,12.40428808,1.242310304,86.29323293,43.49265167,23.36356624,91.67788408,52.10366548,7.793642583,42.38426177,284.6655347,0
PRAMEF6,361.5787741,333.7832987,0,0,162.5907959,72.15079068,56.22448374,647.470306,261.1456071,280.2177296,376.4099941,122.728228,55.77272369,303.3847598,468.4787518,0
PRAMEF27,162.4351896,152.8262248,0,0,170.6703926,19.14474468,6.101524035,351.9877694,140.5250275,193.0718655,174.5120423,120.4062072,12.37887985,60.51779747,292.1146129,0
HNRNPCL3,87.71081019,93.5053725,0,0,88.3496359,3.498085056,8.068043106,207.5840336,105.582346,81.26682438,100.8581136,43.04218991,15.7195439,28.29106991,194.3382595,0
PRAMEF25,69.86156671,60.06122289,0,0,57.90222936,17.38358787,3.23765698,98.74054491,48.50317383,31.03679332,76.21537879,84.80542416,5.258682625,33.19870033,156.6561353,0
HNRNPCL2,182.2603992,200.432223,0.055561758,0,129.2228266,4.845144034,10.01526112,83.39059794,150.4115868,92.46394078,60.41579877,25.6257157,1.933658862,14.07534936,121.6415234,1.04343852
PRAMEF26,341.0444667,331.44814,0,0,176.9453016,32.56024725,15.53628805,231.0162068,128.2394082,75.49869048,168.4578221,208.2334352,13.81283993,90.57038553,340.2242655,0.053954864
HNRNPCL4,159.0376068,161.6944565,0,0,112.8861503,5.391785236,7.39861673,257.6806934,191.6969101,105.7758667,130.6254028,51.44007594,17.43148387,38.42115246,244.8466667,0
PRAMEF9,167.6539223,167.4947058,0,0,168.9947067,12.67807536,5.02810777,311.0294489,204.1988825,111.2767137,160.1460961,61.36895174,19.43162227,83.62459286,198.783781,0
PRAMEF18,35.65458489,33.58657573,0,0,70.95225578,21.16647417,105.3022094,127.6810354,69.14737576,111.9096651,95.16866004,54.72844908,49.0598598,100.5054871,152.3201781,0
PRAMEF5,293.5415052,285.6238746,0,0.055456318,178.9514401,30.07550344,38.12299618,469.2918057,286.1729033,210.3985269,310.3543738,97.16361574,42.06261909,123.0165173,589.6678532,0
PRAMEF33,100.9543069,102.0233627,0,0,9.713792407,3.585288549,1.248039007,23.61944766,16.86120189,10.1107153,40.71906194,30.84198313,8.332398816,25.95294491,142.90194,0
PRAMEF15,167.3376928,162.3696195,0,0.051144701,208.9868135,16.65931541,14.27805698,489.5995652,210.0171534,163.5324363,408.1020349,117.042091,31.04556127,179.1947581,574.4262659,0
PRAMEF19,62.32654358,67.04083502,0,0.066239491,304.1082476,77.57131465,247.8521688,498.2959041,173.3442679,365.4301386,269.6731819,84.25621083,195.7031767,238.4880463,824.4596383,0
PRAMEF17,65.77182647,79.32254845,0,0,55.64575911,63.52124373,72.10180232,295.1281221,58.99278491,146.0331086,60.04844581,126.0944577,52.51585304,102.5438569,170.2282622,0
PRAMEF20,78.94452857,61.78798403,0,5.614387947,85.42857029,18.06535031,18.58538739,147.2476157,81.56106939,51.69108849,45.76740655,60.67265089,31.03221691,86.04104592,324.0324542,0
RSC1A1,16.57285093,18.75560327,5.646920676,18.98436684,4.227463753,18.49667339,16.91741332,17.03665045,62.42320102,29.92033174,66.3010337,90.7918403,11.58618149,79.74608574,71.37282664,8.999985538
ARHGEF19,0.341474622,1.018297651,0,0,0.45590147,0.153440984,0.055570903,0.346712015,1.088257833,0.260470268,0,0.318546158,0.474960841,0.219845045,0,0
PLA2G2A,3.649527672,4.16219207,0,0,0,0,0,0,0.693778226,0,0,0.393862947,0,0,0,0
CELA3B,8.468236204,7.816083819,0.041707398,0,3.234805386,11.76879668,14.42079358,8.741420388,18.69786853,11.81715643,2.317208473,9.206604501,18.30305806,9.151352003,4.811826203,0.587442336
CELA3A,5.249365269,4.290350921,0.681062071,0,0,2.672144135,3.176425543,9.909006758,6.975756293,2.056662281,1.299413397,8.513496829,3.646508392,5.643084922,1.654964695,3.935448382
CDC42,29.08036216,29.93821126,7.579841656,14.29776857,31.52544856,23.68331231,12.0006385,11.70698954,35.25395957,16.75617738,38.9745981,28.32053812,20.57134099,24.72574103,25.4115149,11.17689019
TEX46,3.212880945,2.063460249,0,0,0,1.76131651,0.318943302,1.392941785,4.195034605,3.155987561,0,4.662067811,0,2.038255674,0,0
LUZP1,15.60516035,8.94532943,2.114821571,1.511066964,10.3228854,17.21195405,7.802849799,21.60124985,15.72262021,13.11053459,13.14316423,20.09005773,13.20938175,19.12232706,27.31085867,4.412879909
RSRP1,22.8434403,23.53315176,0.009543743,1.261404638,40.5140549,20.72752862,17.82859883,80.48873572,55.84071027,102.559353,33.20614831,29.76290822,8.724779789,25.87126645,79.89323621,0.492881286
TRIM63,0.407947223,0.481756267,0,0,0,0,0,1.786516864,0,0.596504696,0,0.211035282,0.211891751,0,0.37714145,0
FAM110D,1.208360047,0.69633556,0,0,0.261034194,3.020478474,0.300825408,0.234609702,0.109909207,0.705009914,0.614693566,6.186305227,0.876523271,1.785151195,1.670414837,0
CNKSR1,1.092379521,0.745481647,0,0,0.436099689,2.548571617,1.993395636,3.615015586,3.511399336,2.491569127,2.027557414,6.886453107,1.005035748,4.319160832,2.138589424,0.406132973
SH3BGRL3,660.6959572,596.2360859,6.085661593,9.473154655,223.8308078,365.7747712,322.6024116,155.5474376,477.1165462,384.702824,466.7217614,644.1680401,251.4381046,560.3740557,345.8179662,9.753450246
GPATCH3,21.81944524,18.76454273,4.991772172,8.013014481,13.78556057,74.03701073,24.16145956,112.1889367,45.6893167,72.05179148,41.22257661,72.85451141,11.78077202,55.45489091,259.6966668,0.857969589
