gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
ATAD3C,1.166515478,1.063160302,14.95620362,69.34031819,0.550591341,0.477825127,1.348358646,6.565076043,4.512920088,1.184136847,0.912389922,2.894633176,0.520409546,0.611469388,4.941559774,7.297080184
MMP23B,0.043275539,0.11095228,0.990385186,0.216292217,0,0.215671409,0.047733011,0.089343205,0.055806961,0.049718386,0,0.10944697,0.024725509,0.087155733,0,0
CDK11B,21.21109365,16.611589,8.746835238,11.81372213,7.750425536,21.2388109,6.698906621,16.4168139,15.64638863,7.4175613,17.31927319,21.06799263,7.049428351,10.26641066,24.4316061,10.25928218
CDK11A,7.75015122,6.347583229,1.945196933,2.776196735,3.801103077,13.40470973,3.539423898,3.409273447,2.891837687,2.824268328,15.94020696,8.601999143,0.750517664,4.459596906,4.163625427,2.391871623
TMEM52,1.477724429,2.864441152,20.51326214,41.25395522,1.702046768,0.429320899,1.447205232,12.96928298,15.15106665,7.879587364,7.208690734,2.714968902,0.340748421,3.843567841,8.16005527,7.413195919
CFAP74,0.018311757,0.121284192,0.04930293,0.970139701,0.101970965,0.182519846,0.040395813,0.346545678,0.867827155,1.167609251,0.342400791,0.567319031,0.088930695,0,0.575584661,0.385791252
PRKCZ,0.144673586,0.074184468,1.627645417,4.673176747,0.431587637,1.52441429,0.328269129,1.655548744,0.415778175,0.185208257,0.496867314,0.478270458,0.495956117,0.682634964,1.169345679,1.371589426
PLCH2,0.016675236,0.001508926,0.439723844,1.367809647,0,0,0,0.109354297,0,0.141993393,0,0.173032835,0.005043921,0,0,0.511470542
PRDM16,0.024967509,0.002504861,1.052186214,4.892783726,0.081607049,0.027050013,0.032328644,0.806805639,0,0.269386403,0.00652434,0.160607013,0.016746109,0,0.19870686,1.420238731
CCDC27,2.972104402,3.634917656,31.73580635,110.4420824,3.589071787,0.211956447,0.645713433,24.48189331,5.052254985,2.457470257,6.04453508,6.690972597,0.231560985,1.587126881,28.97541404,37.9254694
NPHP4,0.114343131,0.086709119,2.317077642,7.751333507,0.206825764,0.537745301,0.183852029,0.658318352,0.172894771,0.374672049,0.401688186,0.673570169,0.252578765,0.068112136,0.582886215,1.244354785
PLEKHG5,0.099215294,0.006937467,0.610147353,1.501165504,0.113009506,0.134851966,0.179074929,1.247612683,0.122129652,0.186523252,0.153593501,0.479034165,0.077300081,0.127156174,0.587861938,0.185273336
RERE,1.000746845,1.338939758,7.796552501,14.58620636,1.689715142,2.066851007,1.282824675,3.392249811,0.898143274,0.862303261,1.006964354,1.90249616,0.672224777,0.558341417,2.281684879,7.678451517
TMEM201,0.42829208,0.18690715,4.802713471,14.25102662,0.951458778,2.63402727,1.281529812,3.743814314,1.066435766,0.565340997,1.360086194,2.065535239,1.069933448,1.385615108,1.339490367,2.102222457
PIK3CD,0.448677074,0.078549589,2.048687388,7.545842199,0.440501526,2.127596922,1.695188937,1.130227516,0.86466422,1.004024066,0.643973932,2.553157765,2.005858385,0.596795891,1.950158522,0.85709256
CLSTN1,2.55301736,1.736495277,12.29194436,24.13286289,5.880461838,6.966626839,9.559170741,12.99312041,9.814294532,5.605911686,6.006349381,12.42108777,5.606972689,5.964704912,8.567517304,7.633300608
PEX14,2.769959226,1.727234109,8.82825548,30.7756087,7.860915427,11.1734267,6.82051331,12.29581287,7.428587882,11.62845564,10.95378903,19.83651676,4.221003638,12.06030837,11.55363454,4.18253244
C1orf127,0.002967396,0.19856825,0.970721293,0.56061635,0.408975488,0,0,0.183787449,0.206640384,0.061365263,0.303189186,0.06754284,0,0.251002658,0.395037509,0.50638746
PRAMEF12,33.39849107,34.62447307,0.611365995,0,69.88000713,3.254392208,1.709007502,216.5989937,68.48601475,160.5150861,26.22428682,180.9979268,1.007363754,20.19343687,240.645194,0
PRAMEF1,9.789604768,14.0931914,0,0,21.45962024,1.5598375,0.345227682,65.99034172,61.32536306,28.94674161,6.662330634,56.00373189,0,2.153700718,82.64674841,0
PRAMEF2,26.99700503,30.07215603,0,0,20.79206295,5.406233382,0.256397782,77.78490386,55.53183446,39.65873977,9.081142828,60.11218194,0.79687816,0.897300653,167.354065,0
PRAMEF7,7.587818347,5.015811715,0,0,13.44431887,0.891268596,1.077874653,45.29458293,4.336553845,24.69955515,3.531649058,57.86118463,1.313728854,4.707984705,123.6098245,0
PRAMEF13,11.1886408,13.3378544,0,0,5.249516009,0.562582669,0.043100446,7.852104273,25.64892029,1.705939222,1.931007061,11.95782099,0.133955153,1.154224577,10.54844783,0.041162126
PRAMEF8,2.92841575,2.15557884,0,0,10.45870308,0.627417859,0.108674538,18.00171023,3.557585706,19.75247058,2.895015232,36.75401026,0.450343809,1.554359736,79.5636415,0
PRAMEF14,11.53125723,14.29710738,0,0.039044154,24.7142839,4.23927183,1.120152898,81.79511207,24.73175812,14.67404691,8.607722838,43.1194406,0.914985528,3.251483233,55.57334275,0
LRRC38,3.105439123,3.825473928,5.688211858,4.619654564,14.58328254,5.72752832,0,14.99321565,49.94825951,6.674830945,6.966054531,21.73422214,1.081341854,11.08039622,12.69540862,5.378264598
PRDM2,4.329138675,3.704575052,4.227861669,3.982010401,2.943140826,5.132537263,2.698009804,8.001750178,4.100685052,1.876831528,2.77108264,5.887997497,2.805099154,2.369314608,10.03069511,4.693228462
