gene,Zygote_2C_average,4C_average,8C_average,Morula_average,MLT2A1
Ctrl_1,10.50068438,4.981995572,84.91649624,42.77339616,1.128367
Ctrl_2,11.09792109,4.92876937,82.01814146,43.52659256,1.223563
2PN_1,54.19216552,15.61631004,4.930731671,38.47698447,0.03020856
2PN_2,83.74701673,45.40796065,9.67005604,19.63795122,0.03074987
2PN_3,12.37563437,6.289190411,66.92225056,73.31584433,0.9189869
2PN_4,9.965315071,5.120301897,67.59807652,67.78183277,0.4710229
2PN_7,13.6946034,6.810313659,74.56654318,54.5633727,0.6592727
2PN_8,12.00940677,10.07181924,76.75259299,85.86323119,1.369222
2PN_9,17.10301954,7.30161498,105.9408872,58.19496222,0.6024363
2PN_10,13.85802574,7.766703984,77.50450279,71.79150065,0.9965703
2PN_5,9.14250649,3.904928616,42.99527148,88.72725749,0.2689454
2PN_6,14.97992695,12.76004324,67.90774291,48.55890416,0.6877421
3PN_1,10.02601364,3.507670919,47.58040442,88.14646666,0.2774304
3PN_2,10.92494393,4.787891261,75.85650153,79.27819592,0.920942
3PN_3,14.95735906,14.28363846,79.91791852,63.70154485,0.5392141
3PN_4,37.90057241,18.24826861,5.800840571,32.51996417,0.2441823
