TE,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1,0.378504105,0.543170938,0.849581172,1.051110449,0.194643077,0.722094318,0.549893767
MLT2A1_dup1,0.197692642,0.800400169,0,0.211879452,0.14602087,0.455854529,0
MLT2A1_dup10,0.455750074,0.701656637,0.987091745,1.137145106,1.432364879,0.737185511,0.410053591
MLT2A1_dup100,0.530480729,0.617478685,0.565114179,0.678741662,1.106054114,0.676909931,0
MLT2A1_dup1000,0.182147348,0.2072143,0.814062402,0.539319625,0,0.612578057,0.137800199
MLT2A1_dup1001,0.271676315,0.795748006,0.758879218,0.936621535,1.139228113,0.855764592,0.188238874
MLT2A1_dup1002,0,0.402908421,0.297868911,0,0,0,0.272068614
MLT2A1_dup1003,0,0,0,0,0,0.82916217,0.508364438
MLT2A1_dup1004,0.167391999,0.182003003,0.129820923,0.798455908,1.302382045,0.525915719,0.424003646
MLT2A1_dup1005,0.289520082,0.140950982,0,0.175426264,0.383964153,0.646458434,0.194275134
MLT2A1_dup1006,0,0.405676297,0.066875761,0.057171526,0.103208738,0.54463952,0.405026063
MLT2A1_dup1007,0.235290749,0.811876357,0.647425976,0.676027351,0.815613232,0.370657105,0.490412319
MLT2A1_dup1008,0,0,1.251075079,0,0,1.014132845,0
MLT2A1_dup1009,0,0,0.430676554,0,0,0.382100971,0
MLT2A1_dup101,0.480379086,0.727843888,0.445519221,0.431462129,0.464630313,0.279946114,0.637330602
MLT2A1_dup1010,0,0.594655281,0.703369885,0,0,0.782054543,0.638175634
MLT2A1_dup1011,0.339705535,0.106216439,1.13950131,0.300514583,0.422388347,0.694648145,0.617346975
MLT2A1_dup1012,0,0,0,0,1.461296664,0,0
MLT2A1_dup1013,0.186462536,0,0,0.200987123,0.376632574,0.5382043,0.573267449
MLT2A1_dup1014,0.305192572,0.729369439,0.606186181,1.053197722,1.551328068,0,0.824157154
MLT2A1_dup1015,0,0,0,0.494858156,0,0.310839854,0.669584657
MLT2A1_dup1016,0.23633596,0.289123143,0.065085479,0.382428013,0.596553097,0.534071432,0.102829778
MLT2A1_dup1017,0.118220682,0.344355681,0.465896425,0.669390661,0.250943146,0.272459463,0.646469209
MLT2A1_dup1018,0,0,0,0,0,0.976019417,1.157411285
MLT2A1_dup1019,0.444988984,0.576175914,1.093872833,0.769559993,1.208419203,0.691542703,0.732373299
MLT2A1_dup102,0,0,0,0,0,0.718617707,0
MLT2A1_dup1020,0.423609621,0.549088844,0.793684045,1.133022287,1.609750195,0.460097821,0.593484087
MLT2A1_dup1021,0,0,0,0,0,0.33129368,0
MLT2A1_dup1022,0,0.313464357,0,0.860838121,0.265987011,0.37233064,0.829070942
MLT2A1_dup1023,0.318935786,0.246218875,0.804217768,0.695469537,0.597657744,0.976376537,0.565009576
MLT2A1_dup1024,0.166447928,0.299130393,0,0.359477954,0.502051259,0.132016945,0.530043555
MLT2A1_dup1025,0.482372627,0.569000403,0.372865444,0.435323715,1.054488207,0.739210615,0.382812135
MLT2A1_dup1026,0.18238836,0.398772561,0.104868161,0.447821618,0,0.700959476,0.671585207
MLT2A1_dup1027,0.433602758,0.877885143,1.466400706,0.850534737,0.227925867,0.86629225,0.670564031
MLT2A1_dup1028,0,0.259828185,1.004946745,0,1.041718128,1.246454521,1.004821748
MLT2A1_dup1029,0,0.715237013,0.637093878,0.886554889,1.396532175,0.623990438,0.776437968
MLT2A1_dup103,0.368929407,0.590200589,0.632085196,0.675182382,0.180106237,0.616692916,0.687410372
MLT2A1_dup1030,0,0,0,0,0,0,0.490007178
MLT2A1_dup1031,0,0.489209997,0,0,0,0,0
MLT2A1_dup1032,0.068304799,0.093244136,0,0.064796762,0.608787141,1.044917525,0.483561302
MLT2A1_dup1033,0,0.37772238,0,0.181204128,0.297720126,0.11579075,0.658232328
MLT2A1_dup1034,0,0,0,0,0,0.874958025,0.973068419
MLT2A1_dup1035,0.101747918,0.391592036,0.179292198,0.514528126,0.321829563,0.723373961,0.364415401
MLT2A1_dup1036,0,0,0,0,0,0,0
MLT2A1_dup1037,0.306621973,0.642343365,0.656720205,0.557330287,1.172321143,0.795647148,0.669284647
MLT2A1_dup1038,0.284695191,0,0,0,0,0,0
MLT2A1_dup1039,0.234301069,0,0,0,0,0.404053982,0
MLT2A1_dup104,0,0,0,0,0,0,1.062303962
MLT2A1_dup1040,0.387763565,0.0495221,0,0.328007852,0.52966032,0.324343789,0.561004617
MLT2A1_dup1041,0.343118312,0.480827414,0.055113816,0.935579643,0.402024981,0.451693383,0.625193299
MLT2A1_dup1042,0.399208349,0.450542925,0.648974678,1.135254321,1.258957521,1.122470485,0.510717513
MLT2A1_dup1043,0,0,0.457829254,0,0,0,0.886481056
MLT2A1_dup1044,0.212229613,0.379837346,0,0.081008291,0.174260751,0.911524546,0.885806331
MLT2A1_dup1045,0.388410583,0.630669069,0.645560666,0.819017833,0.53770685,0.637943822,0.57322146
MLT2A1_dup1046,0.448428148,0.510806157,0.066593937,0.760644708,1.030413556,0.590469601,0.500272591
MLT2A1_dup1047,0,0.661694638,0.469723632,0.063768497,0,0.342357708,0.550513379
MLT2A1_dup1048,0,0,0,0,0,0.671928956,0
MLT2A1_dup1049,0,0,0.317036104,0,0,0.505889764,0.290069689
MLT2A1_dup105,0,0.517842856,0.126363264,0.650160095,0,0.603937908,0.445236703
MLT2A1_dup1050,0,0,0,0,0,0,0.595953425
MLT2A1_dup1051,0.318452989,0.277027382,0.381839181,1.222100886,0.937414766,0.570115514,0.500160655
MLT2A1_dup1052,0.202222562,0.551511666,0.054760763,0.343043347,0.44359843,0.652826318,0.568441722
MLT2A1_dup1053,0.165178192,0.557628574,0.500488229,1.114469623,0.554171504,0.249891139,0.53105042
MLT2A1_dup1054,0,0,0,1.276965375,0,0,0.750825599
MLT2A1_dup1055,0,0.316460371,0.406983697,0.649053361,0,0.189667155,0.659458978
MLT2A1_dup1056,0.117973014,0.486273976,0.129974106,0.27816422,0.175853063,0.918027575,0.603998031
MLT2A1_dup1057,0.465032191,0.632438243,0,0.838882959,0.20810137,1.246869722,0.860640588
MLT2A1_dup1058,0,0,0,0.174730182,0.399677217,0.640864226,0.448734601
MLT2A1_dup1059,0,0,0,0,0,0,0.591427375
MLT2A1_dup106,0.42605403,0.84566038,1.302573883,1.214473674,1.059029415,1.230022844,0.293970586
MLT2A1_dup1060,0.841797469,0.97535995,0,0,0.98109076,0.530722084,0.528663756
MLT2A1_dup1061,0.515050449,0.350441205,0.523148156,0.099022521,0.814397192,0.459938701,0.215682177
MLT2A1_dup1062,0,0.936705892,0,0,0,0.933550735,0
MLT2A1_dup1063,0.161047842,0.506224857,0.552833675,1.019511145,0,0.315843599,0.388806628
MLT2A1_dup1064,0,0.328925346,0,0.388255931,0.666526034,0.302262371,0.580907084
MLT2A1_dup1065,0.236695278,0.573598594,0.226512611,0.035214855,0.438834473,0.568793865,0.557942319
MLT2A1_dup1066,0.129240046,0.084890931,0.293883299,0.302808634,0.315139615,0.437179841,0.537703099
