TE,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1,0,0.31657894,0.521361215,0.542064627,0.063614497,0,0
MLT2A1_dup1,0,0,0,0,0,0,0
MLT2A1_dup10,0.061482456,0,0.836966884,1.303895219,1.397806248,0,0.086398923
MLT2A1_dup100,0,0,1.04432103,0.389977398,0.419664477,0,0
MLT2A1_dup1000,0.046086091,0,0.285798596,0.730934268,0,0.147007395,0.206048602
MLT2A1_dup1001,0,0,0.872882181,0.331567984,0,0,0.096311774
MLT2A1_dup1002,0,0,0,0,0,0,0
MLT2A1_dup1003,0,0,0,0,0,0,0
MLT2A1_dup1004,0,0,0.127014174,0.133423615,0,0.09941157,0
MLT2A1_dup1005,0,0,0,0,0,0,0
MLT2A1_dup1006,0,0,0,0.087821365,0,0,0
MLT2A1_dup1007,0,0.035729454,0.726852703,0.546109687,0.148346557,0,0
MLT2A1_dup1008,0,0,1.318236876,0,0,0,0
MLT2A1_dup1009,0,0,0.397442883,0,0,0,0
MLT2A1_dup101,0,0,0.674528411,0.345023462,0,0,0
MLT2A1_dup1010,0,0,0,0,0,0,0
MLT2A1_dup1011,0,0,1.766417067,1.442125188,1.196337266,0,0
MLT2A1_dup1012,0,0,0,0,0,0,0
MLT2A1_dup1013,0,0,0.734680712,0.890590112,0.179798367,0,0
MLT2A1_dup1014,0,0,0,0,0,0,0
MLT2A1_dup1015,0,0,0,0,0,0,0
MLT2A1_dup1016,0,0,0.233938386,0.067867834,0.052719924,0.084989556,0.085355354
MLT2A1_dup1017,0,0,0,0.122827113,0.056749024,0,0
MLT2A1_dup1018,0,0,0,0,0,0,0
MLT2A1_dup1019,0,0.337554783,1.117591267,1.62617511,0.798504953,0,0
MLT2A1_dup102,0,0,0,0.379450755,0,0,0
MLT2A1_dup1020,0,0,1.007921984,1.059351713,0,0,0
MLT2A1_dup1021,0,0,0,0,0,0,0
MLT2A1_dup1022,0.057047768,0,0.663835152,0.818235404,0.293940033,0.097797224,0
MLT2A1_dup1023,0,0,0.065265451,0.068804004,0.131718335,0,0
MLT2A1_dup1024,0,0,0.377087574,0.030041722,0.056495023,0,0
MLT2A1_dup1025,0.063615347,0.213642869,0.512009579,0.440997392,0.490212111,0,0
MLT2A1_dup1026,0,0,0,0.036663803,0,0,0
MLT2A1_dup1027,0,0,1.491879377,1.179848654,0,0,0
MLT2A1_dup1028,0,0,0.746342347,0,0,0,0
MLT2A1_dup1029,0,0,0.311301606,0.240461433,0.075629798,0,0
MLT2A1_dup103,0,0,0,0.32812742,0,0,0
MLT2A1_dup1030,0,0,0,0,0,0,0
MLT2A1_dup1031,0,0,0,0,0,0,0
MLT2A1_dup1032,0,0,0.125862502,0.741963859,0.327803576,0,0
MLT2A1_dup1033,0,0,0,0,0,0,0
MLT2A1_dup1034,0,0,0,0,0,0,0
MLT2A1_dup1035,0,0,0.060854005,0,0,0,0
MLT2A1_dup1036,0,0,0,0,0,0,0
MLT2A1_dup1037,0,0,0.516866851,0.140141488,0.059843423,0,0
MLT2A1_dup1038,0,0,0,0.173757958,0,0,0
MLT2A1_dup1039,0,0,0,0.139838144,0,0,0
MLT2A1_dup104,0,0,0,0,0,0,0
MLT2A1_dup1040,0,0,0.498734672,0.081353215,0.054307497,0,0
MLT2A1_dup1041,0,0,0.852781165,0.634121761,0.263028895,0.479876184,0
