gene,Ctrl_1,Ctrl_2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
MLT2A1_dup161,208.5753148,224.3814852,0,0,127.2368135,178.9318244,81.46714048,126.8234831,304.4700005,262.2336302,351.9067436,245.9133325,226.7389026,403.9622192,114.1830806,0
MLT2A1_dup2477,90.60969921,95.79230864,0,0.471923175,87.00549136,58.17737179,92.17623504,49.25798839,186.5920944,120.7427982,72.80750389,100.9341096,24.5450723,138.1516186,12.31400039,0.113509624
MLT2A1_dup287,101.2744249,83.40258694,0,0,46.8997773,33.98449296,39.8226415,17.8661065,26.75884453,53.78314592,47.17658943,61.07760946,11.15641928,159.4735808,14.90765132,0
MLT2A1_dup2911,84.42843962,77.51419654,0,0,0.70598304,0.43584401,0,10.23393935,7.977058776,1.586593062,1.63820686,12.12173633,0.132921918,0.744143721,11.8528108,0.840913004
MLT2A1_dup346,71.22672349,87.49351527,0,0,13.80553801,3.700756388,0.89028688,6.067871124,15.93315328,0.699832702,3.02086572,7.817488211,2.188880486,28.75541602,12.11494115,0
MLT2A1_dup1692,39.55452934,42.08770993,0,0,1.419326123,0.308050242,4.332101415,9.057283523,4.663382885,5.638981195,0.5403386,0,11.19858956,12.39337543,3.974955401,0
MLT2A1_dup418,45.8122707,25.89268641,0,0,0.791772837,2.337108446,0.155914074,38.38585295,13.64707632,3.574673466,7.837142504,31.83534083,0.083854323,54.02897138,4.538004052,0
MLT2A1_dup1053,34.72420518,32.57986237,0,0,36.01561995,0.80291313,0.560364444,9.331916501,1.762676983,2.312565983,6.113201382,0.471827242,0.452066128,0.613533437,9.637642269,0
MLT2A1_dup2893,36.01795848,30.12112775,0,0,4.834682516,1.621016121,0.656575508,5.96945383,5.244110723,2.288122775,13.05624261,16.5851107,0.282497627,5.822873605,3.561438215,0.893592009
MLT2A1_dup349,32.00368796,26.50626209,0,0,1.002605372,0.812392963,0.394861457,2.369638131,0.432025178,0.482830314,1.454067329,0.886596306,0,0.288218033,0.348265427,0
MLT2A1_dup2089,28.4447826,28.16408847,0,0,11.04767541,8.035412239,0.548153112,4.93435543,4.498082964,2.01081874,2.573663965,6.057781961,1.621454295,12.07828961,5.620312525,0
MLT2A1_dup1730,29.25644831,27.16455716,0,0,2.838452003,10.30751407,3.066192803,5.117722984,11.53204904,13.00535602,7.127555767,0.161358526,2.267473895,3.357122011,1.774738605,0
MLT2A1_dup3014,27.91063696,26.38650163,0,0,4.62049326,1.309819926,0.742740273,0.066859869,2.356672776,0.544926601,2.21544904,0.813004158,1.438068627,7.318922495,0.982638673,0
MLT2A1_dup872,19.07093379,33.95837048,378.6225593,225.9052773,34.03581394,30.20513686,160.8540882,33.51790777,148.2907474,28.68393246,237.7591407,155.5043257,53.66897344,39.95232867,141.8723372,1355.86649
MLT2A1_dup2322,29.13460439,23.85029277,0,0,14.1402434,3.855567603,1.155036915,3.490552961,1.263747118,10.44138149,8.749839554,6.043653023,0.976181667,11.20100986,1.418953162,0
MLT2A1_dup1948,23.50311536,27.86725647,0,0,4.092914334,3.34799921,0,0.128980303,0,10.77506131,0.633163495,1.80966651,0.53942743,0.235317255,0.853029876,0
MLT2A1_dup537,22.88512055,26.70865325,0,0,4.632652453,0.525306728,1.340450735,0.067035816,0,2.185442473,0,0.501626857,1.842367745,10.11038522,4.334988081,0
MLT2A1_dup1323,21.47794485,27.54776006,0,0,0,0.242253103,0,0,0.225450032,0,2.124632359,1.850662191,0.369406787,2.030468061,0.181740454,0
MLT2A1_dup787,21.39072391,25.55269787,0,0,0,2.898759792,0,0.46421157,0.634752254,0.472931742,1.210618699,2.333878942,0.069337402,0.352886544,0,0
MLT2A1_dup3401,24.22771428,22.50329077,0,0,6.706315932,0.998082783,0.452774471,0.883085143,2.064120294,0,4.084959816,3.367588301,0,0.082622503,0.399344357,0
