gene,Zygote,2C,4C,8C,Morula,ICM,TE
AC019117.4,2.06197607,1.574172762,6.505111283,6.482429131,0.228262987,1.384479671,0.136010659
AC083977.1,0,0.345961162,1.781401598,0.409907336,0,0,0
AC084121.12,0,0.037328322,2.09146417,0.095288526,0,0,0
AC092111.3,2.366725442,3.14691166,10.8470063,5.419408992,1.2239997,0,0
AC134684.8,0,0.077696753,1.564382111,0.043552878,0,0,0
AC134684.9,0.018033193,0.085072679,1.145028363,0.088565403,0,0,0
ADPRHL1,0.087972096,0.323359334,0.859456125,0.070622031,0.031377349,0.051881761,0.098686067
AL365214.2,0.809826353,2.086254118,133.8301348,65.37092097,26.028986,0.139157403,5.557535869
ANXA2R,0.047444833,0,1.873527265,0.198595193,1.134452684,0.006509089,0.053803447
BHMT,0.062344545,0.277285761,1.230250133,1.063796453,0.837065866,1.008716213,0
BMPR1B,8.034079422,9.38068232,13.91565998,0.665203042,0.187971671,0.013984387,0.021873252
C7orf33,0.248139889,0.358681564,3.056988196,0.202637657,0.703201473,0.296335745,0
C7orf77,0.54131132,0.34299203,0.769561328,0.213322086,0.039412,0,0
CAVIN2,2.334742181,3.265104795,3.908272141,0.125514253,0.049557207,0,0
CISH,0.52956056,0.808943155,0.993761681,0.159855378,0.265365844,0.201870245,0.711827527
CPED1,13.82641354,27.66744879,31.87166279,3.759793683,3.081615571,0.831759866,1.509129305
CRHBP,0.399808164,0.725177899,1.931301773,1.600144741,0.54139233,0.804900884,0.005201581
CSF1R,6.970041444,12.72610716,15.84350207,2.315202816,0.158653956,0.071388573,0.039997424
CXCR4,0.011393254,0.006580783,10.91322786,0.119492355,0,1.518008733,0.246746084
DIO2,0.447764156,0.297413246,1.016447541,0.123679169,0.001037902,0,0.752079174
DIO3,0.045281038,0.033703297,0.441706718,0.322418219,0.030857899,0,0.006206661
DIRAS3,26.19920002,39.29204388,50.89669346,2.446630607,0.940915231,0.166052981,0.119039797
DUXB,21.07083546,20.20157114,123.5644587,109.8669228,42.70830449,0.388668718,0.256582827
ELOA,11.82754869,20.0012491,31.35040746,12.01072169,16.89218198,19.56665173,23.36457785
FAM90A1,0.020045577,0.191339989,6.64985408,0.069731169,0.004259476,0.379407632,0.010280852
FLNC,0.365978752,1.271198728,1.382533678,0.043018764,0.01397916,0.547101519,0.027712052
FOS,9.464800296,23.3966903,38.19756015,10.7744051,2.924873254,6.07521846,24.10935956
FRG2,0.281377189,3.023804569,100.2738876,6.432527231,2.135414277,0,0
FRG2B,0.321036093,3.618067687,118.1801597,6.764583375,2.439832962,0,0
FRG2C,0.363722462,3.462870159,139.7827243,3.994108761,1.136258118,0,0
GBP6,0.158947967,0.234126372,0.363153471,0,0.0036192,0.004959628,0
GCNT3,16.37596605,36.00149744,66.5924345,2.57581682,3.723749395,0.26302681,0.034054265
GPC5,1.96997735,2.240581691,2.925198586,0.696436958,0.116780752,0,0
KDM4E,0.039408709,0.051258276,11.98272009,4.576056235,1.825895244,0.025640835,0.083398596
KDM4F,0,0.044535576,9.867089305,1.39155922,0.470876016,0,0.040724833
KLF18,0.003030826,0.004599674,9.747243862,0.104044941,0,0.019211837,0
KRTAP11-1,0,0.040066852,4.046730966,0.317670703,0,0,0.013700643
LINC02218,0.022744391,0,0.80186482,0.143127033,0.014159202,0.03004308,0
LITAFD,0.777587645,1.951909896,2.545741713,0.263157815,0.004780602,0.009545597,0.008018685
LRAT,7.780779298,18.36208013,21.27777488,1.840031326,0.285848525,0.006183419,0.00346288
MBD3L3,0.208565602,1.386834848,111.6942939,106.2096545,3.257905421,0.038230732,0
MBD3L4,0.053291993,1.468872455,120.3440565,77.22310643,3.470905602,0.039154962,0
MBD3L5,0.130062063,5.861412595,465.443847,397.3866108,24.13900615,0.34919448,0
MYOCD,0.424774576,1.23870618,1.496942143,0.01047607,0.00121809,0.003338458,0.001446479
NAA11,19.81553452,36.98558866,43.54769282,9.26721279,7.830486578,4.54339716,7.742385047
NEDD9,0.026006104,0.004325497,0.464067569,0.074634189,0.137141594,0.113251224,0.38234865
NEFM,7.520130456,14.1396001,21.1534326,6.074688634,1.490822771,1.16260655,0.194987155
NLRP9,383.4386117,656.6461623,816.26359,16.22840672,1.937777298,3.364645676,0.068234326
NPAP1,0.21065673,0.322962514,0.46351645,0.001219604,0.005845932,0.002019595,0
NT5DC3,3.824754129,3.880639122,5.090566575,3.327129984,1.335895808,0.65259083,2.288575218
OR10G3,0,0,0.75975299,0.35772176,0.009987359,0.011494354,0
OR2AT4,0.193091161,0.270157072,0.364454742,0.054709533,0.231065522,0.010269359,0.00588605
OR52A1,0.075166303,0.147979617,0.946648942,0.071023216,0.061302191,0.003101819,0.043346149
OSR2,6.284454037,8.699958444,10.84720946,0.521056681,9.591137061,2.221810241,0.223807888
OVCH1,3.092952217,4.770684064,6.449740614,0.372539465,0.131103191,0,0.157743089
OVCH2,2.027232706,3.791668087,4.358486335,0.376333255,0,0,0
PDE4D,1.368339734,1.542113666,2.036714727,0.15589065,0.131835983,0.521172495,0.241557868
PLEKHG7,0.352141216,0.099119221,0.70797694,0.008799906,0.003332989,0.050276619,0.009959197
PNLDC1,37.17766932,62.78600103,75.69194883,2.765692431,2.743840638,2.345954062,0.470093974
PRAMEF1,0.035098959,0.363707997,58.75728014,11.94140696,0.535937125,0.061327037,0
PRAMEF12,0.030167664,0.481408428,77.81483485,34.01150741,4.024751305,0.34690229,0.330641158
PRAMEF13,0.009071471,0.253168244,29.48973698,12.26325673,1.139444955,0,0.005342506
PRAMEF14,0.003919108,0.272643844,40.73786285,12.91419191,1.116635025,0.006064023,0.00534032
PRAMEF2,0.050306084,3.368370959,103.466754,28.53460178,0.776081291,0.01848057,0
PRAMEF7,0,0.454142799,32.60828336,6.301819741,0.908232916,0,0
PRAMEF8,0.014828674,0.205070707,24.38449129,2.541999193,0.612759471,0.01529624,0.006735364
PRDM2,11.85108785,16.36468376,20.17650243,4.01685986,1.70053169,4.580359337,4.113875259
PRR20B,0.013620089,0.157020347,4.789973261,0.788155485,0,0,0
PRR20D,0.022361286,0.344229266,34.54530105,0.648420261,0.221337316,0.064941974,0.007063563
