gene,DUX4_shNC_1,DUX4_shNC_2,DUX4_sh161_1,DUX4_sh161_2,DUX4_sh2477_1,DUX4_sh2477_2
AC019117.4,7.920317238,7.509255081,4.570987019,5.326984346,4.31942984,4.097343929
AC083977.1,2.938037604,1.723819014,1.310833314,0,3.864724147,3.169101991
AC084121.12,2.040040626,2.802596075,0.621588701,0.657313784,0.087267965,0.257617323
AC092111.3,2.379010791,3.94115073,1.2487273,1.109217011,1.104485177,0.845306842
AC134684.8,0.049757088,0.326969542,0.044399193,0.219104595,0.043633982,0.085872441
AC134684.9,2.438097334,3.36311529,0.266395157,0.525851027,1.003581593,0.558170867
ADPRHL1,0.603630369,0.685961301,0.708724759,0.537211412,0.35661314,0.526365677
AL365214.2,104.1856134,99.53018397,11.76431692,11.4088096,14.05918097,14.547877
ANXA2R,0.523638093,0.600808002,0.077875366,0.230583251,0.204088534,0.351443582
BHMT,2.11000306,2.036845169,0.373006698,0.631111715,0.872804779,0.910378395
BMPR1B,0.856927634,0.893832082,0.387046462,0.29815056,0.398930716,0.602520626
C7orf33,0.120400934,0.056513754,0,0,0,0.103895972
C7orf77,0.31126071,0.194799279,0,0,0.090985658,0.268592052
CAVIN2,0.159095602,0.234696773,0.405611487,0.300246473,0.498276075,0.353021774
CISH,1.140558612,0.828525688,0.932930224,0.968612037,0.607265194,1.11309128
CPED1,0.135515694,0.127216632,0.032246192,0.023869653,0.110916527,0.031183667
CRHBP,3.037440416,1.927352588,0.577207498,0.544920584,0.912547811,0.679533539
CSF1R,1.22624997,1.21440389,0.228460611,0.332293748,0.41359526,0.302329008
CXCR4,15.7809744,17.08688755,2.131885159,2.021061268,1.847033585,2.577048291
DIO2,0.481635868,0.52170023,0.190091821,0.138672684,0.235550141,0.159850621
DIO3,3.599340668,4.58788444,1.325955916,0.610720181,0.26062067,0.598390381
DIRAS3,0.440383016,0.731424232,0.120911418,0.238673233,0.178241304,0.380013841
DUXB,41.50997354,38.61786704,3.770552765,5.691619445,6.103288625,6.488289476
ELOA,56.79327238,52.44496319,36.06378182,37.40836026,39.86827493,38.74187505
FAM90A1,4.239056915,2.926824624,0.780921975,1.035696542,1.055261558,1.274383567
FLNC,398.5381128,377.5368716,64.35962036,66.16946955,80.85529733,77.413034
FOS,23.2895502,20.88158389,5.248887636,4.815968507,5.253950552,4.681139637
FRG2,4.488784983,4.027982233,0.353420109,0.494157438,0.578881648,0.569624609
FRG2B,2.515615888,1.957607344,0.413503213,0.466420081,0.290268981,0.371315384
FRG2C,57.51972103,51.67674264,8.256262814,7.089689049,10.77956745,9.396585664
GBP6,0.092950972,0.02181465,0,0.081861643,0.061134321,0
GCNT3,0.096463904,0.090556397,0.05738438,0.056636981,0.122189974,0.101738157
GPC5,0.157305696,0.221508302,0.10527514,0.103903992,0.137947661,0.203612559
KDM4E,76.83002876,77.000099,8.500101149,7.76214794,14.2870045,14.85237111
KDM4F,20.13176471,20.66640486,3.360164271,3.2845116,3.016480701,3.624381432
KLF18,56.42538885,54.06308967,5.097685111,4.431406034,7.071564339,6.863679014
KRTAP11-1,0.296312224,0.139082943,0,0.130480644,0,0.127846377
LINC02218,0.772750067,0.426721406,0.081122297,0.240197178,0.119586258,0
LITAFD,0.255972237,0.640790252,0.076136293,0.263006314,0.48635665,0.589020555
LRAT,31.46761098,31.87539248,24.75008997,24.49263692,10.71172282,9.236786213
MBD3L3,43.70662649,58.93859546,15.18452397,12.541547,12.72366924,12.6747723
MBD3L4,16.92736149,21.10354844,3.916008814,3.865005051,5.105175929,4.946252605
MBD3L5,24.89165502,22.61349211,6.129999108,7.150188374,9.153882289,7.467756659
MYOCD,5.161842404,4.750281927,1.786573495,1.777080218,2.969741127,2.955995505
NAA11,0.025537579,0.143841852,0.227876652,0.089963476,0.044789849,0
NEDD9,1.929762318,2.006579249,1.865460442,1.882472056,3.337563685,2.798501533
NEFM,63.93080916,66.03872396,44.02885356,45.4230045,24.28078066,22.14587652
NLRP9,0.154547483,0.12694754,0.17238206,0.119095818,0.033882218,0.116691398
NPAP1,0.171496961,0.220308105,0.088596309,0.10334101,0.158307946,0.186931686
NT5DC3,8.542665507,8.257563444,5.451915736,5.569344123,5.510838955,4.670508834
OR10G3,0,0.049363908,0.023460937,0,0.046113186,0.045375779
OR2AT4,0.071029022,0.037043979,0.049295977,0.013901122,0.083050923,0.068102362
OR52A1,0.028380308,0.086587413,0.063310717,0.106226423,0.111995226,0.171428884
OSR2,1.066041375,0.978517333,0.08455546,0.166908347,0.290843575,0.306634954
OVCH1,0.38581229,0.230481309,0.156485281,0.27800487,0.046136487,0.166461926
OVCH2,1.694575423,1.060532407,3.824727984,5.208794821,5.711059569,6.623256287
PDE4D,0.82082647,0.754505263,0.370034293,0.391570517,0.67107807,0.49433775
PLEKHG7,0.160500551,0.251119002,0.124121992,0.047117452,0.112599486,0.06463268
PNLDC1,0.40904116,0.738444682,0.168459313,0.720482652,0.607038494,0.597331191
PRAMEF1,27.71892119,27.9449509,3.631395243,3.784607409,3.818375979,4.125679641
PRAMEF12,97.58755234,94.38401348,10.43840935,10.09709052,10.59931974,12.20725311
PRAMEF13,0.426358344,0.293515129,0.101452701,0.150197007,0.124630232,0.073582344
PRAMEF14,10.99554259,12.32258933,1.97751788,2.227010312,2.167678372,2.083979676
PRAMEF2,27.05428049,27.14353555,3.998360935,4.802553878,3.892379755,5.289235084
PRAMEF7,19.9452488,20.29391896,2.910286855,2.540953345,2.163430671,2.633981938
PRAMEF8,6.056005362,7.29984401,0.991245791,0.978335384,0.628491536,1.236882347
PRDM2,8.762973527,8.948140448,6.685303906,6.984387718,7.038181718,6.38276812
PRR20B,0.526126658,0.246953173,0.234736393,0.066194025,0.065911646,0.194572911
PRR20D,0.751609511,1.234765867,0.234736393,0.330970124,0.164779116,0.097286455
PRR20E,0.67644856,1.340602941,0.167668852,0.198582074,0.428425701,0.194572911
PRR23D1,10.23453458,11.66070692,0.234165876,0.231116,0.306840102,0.264191678
PRR23D2,3.717672818,4.146941546,0,0.308154666,0.230130077,0.075483337
PRSS1,0.480994029,0.277869334,0.396184696,0.358439233,0.324463781,0.1596376
RASL11A,3.504749598,3.811720493,3.66129305,3.952382452,2.88604939,2.876779653
RERG,0.467527514,0.344846739,0.178792997,0.308812562,0.409993589,0.316986434
RFPL1,89.08381397,86.28520767,8.859953916,8.948870214,14.36290112,14.7337822
RFPL2,63.73527017,64.36111754,6.921735845,6.519164205,8.648225558,9.305822352
RFPL3,2.913325595,2.083742318,1.114120987,1.506873239,1.33823476,0.917793895
RFPL4A,70.61828862,71.77082992,14.96059761,16.65575971,15.17324306,14.69912176
RFPL4AL1,48.38904251,50.59256929,11.11862388,9.761978391,11.99958541,11.34594356
RFPL4B,162.8492093,159.8797633,20.16701169,18.87370211,22.994396,24.17300167
RND3,46.62172734,41.93542286,41.32571622,43.33881568,32.58562488,29.2647258
SCN7A,0.969887478,1.211756389,0.419997297,0.345439228,0.237648968,0.338465172
SGCG,8.761873996,7.703687733,0.686492447,0.526984327,1.161915988,1.290862665
SLC36A2,0.097556062,0.122108894,0.058034082,0.200473775,0,0.014030459
SLC6A5,0.03902791,0.091594544,0,0.034371764,0.034225137,0.101033502
SLCO1C1,0.042846382,0.013407481,0.063721064,0.138360494,0.062622845,0
SSU72P2,26.10333409,27.73492193,5.187874925,4.911313761,3.22555823,2.354886557
SSU72P3,10.67863667,10.58159672,1.164624983,2.194416787,0.936452389,0.614318232
SSU72P4,11.27189427,16.26224338,2.435124965,2.089920749,0.624301593,1.740568325
SSU72P5,15.66200046,17.26471044,2.435124965,2.089920749,1.456703717,1.228636464
SSU72P7,24.67951587,30.29678218,3.493874949,4.284337536,2.601256637,3.173977533
SSU72P8,12.93301553,9.467744433,1.270499982,1.776432637,0.520251327,1.945341069
TAF11L11,66.40582681,66.57099099,10.77835694,13.38654275,7.957116264,11.62012859
TAF11L12,44.65790153,47.37301817,7.685181989,7.922201885,5.147045302,4.238965191
TAF11L13,29.99677337,29.36036265,3.527393165,4.403011428,2.85484648,1.805910381
TAF11L14,35.99096064,35.10322356,4.170833273,3.293208454,3.381633628,1.915866204
TAF11L2,8.952525386,6.112194455,1.244962294,2.252703521,1.325464437,0.802626836
TAF11L3,1.860265015,0.654877977,0.207493716,0.204791229,0.101958803,0.300985064
TAF11L4,3.836796594,2.619511909,0.103746858,0.614373688,0.203917606,0.200656709
TAF11L6,3.139197213,5.239023818,0.414987431,1.228747375,0.611752817,1.304268609
TAF11L8,1.627731888,1.964633932,0.311240573,0.307186844,0.509794014,0.401313418
TAF11L9,2.906664086,1.309755955,0,0.716769302,0,0.401313418
TEX37,2.783404045,1.878055452,3.647911131,2.527939854,1.983213707,3.302537865
TRIM43,32.7241447,34.93883862,6.671246593,6.188576392,5.839736942,6.944977896
TRIM43B,19.26700064,19.84500134,4.270228131,3.444986271,3.612752473,3.339526721
TRIM48,4.542242185,2.975967305,0.802181737,1.083425174,0.912833617,0.89823627
TRIM49,84.07636735,78.1743555,12.85698404,12.6330057,15.02739826,14.87016498
TRIM49B,5.554175273,4.942783919,2.148596465,1.922688423,2.449416402,1.994687322
TRIM49C,82.47185652,80.82535483,15.03322187,13.65042897,16.74401117,18.1377245
TRIM49D1,55.00928943,52.48359764,9.70268037,9.039583279,10.21053333,10.13028933
TRIM49D2,70.4621853,71.04097258,11.6295766,11.1078465,13.49376278,14.5114543
TRIM51,2.159626031,1.422715256,0.946633447,0.533888052,0.531610527,0.850052794
TRIM51GP,0.299001827,0.120296047,0.114344998,0.150474294,0,0
TRIM64,38.25525933,37.44067519,5.648965716,5.336445849,5.591261334,5.89205223
TRIM64B,39.64875737,41.46127698,6.518458673,5.410555336,6.134477069,6.927357603
TRIM64C,0.153904963,0.192639642,0,0,0.179953896,0
TTC39C,7.126519216,6.871390084,5.928292902,5.315298233,5.953143007,5.282982961
TYW1B,2.425772463,2.996337772,2.202537522,1.967709719,1.866014878,1.909621973
UCP1,0.984858842,1.205928909,0.191045263,0.075422803,0.863662136,0.295600383
USP17L2,0.617795473,0.852884277,0.356704511,0.224037316,0.191212792,0.219514237
USP17L7,0.308951655,0.161128484,0.336946397,0.120930132,0.270932071,0.08886651
USP29,0.231726964,0.016733528,0.03181144,0.047095672,0.031263177,0.01538162
VIT,0.168382815,0.140507512,0.016694575,0.08238569,0.14766163,0.258311709
ZNF705A,1.817546347,1.849921982,0.256078586,0.219044202,0.234887452,0.627356409
ZNF705D,0.020554083,0.038590677,0,0,0,0.017736461
ZNF705E,8.328529969,8.216035937,0.557827745,0.532802283,0.636635268,0.748265308
ZNF705G,0.019048062,0.053644642,0,0.016775571,0,0
ZSCAN5C,53.48913307,53.69186008,4.452122029,3.586390166,5.790958222,5.730011101
