gene,DUX4_NC_1,DUX4_NC_2,DUX4_3ASO_1,DUX4_3ASO_2
TMEM201,10.39217763,9.899119877,7.872279053,7.04904083
PRAMEF12,392.3692256,450.1476746,9.796933259,9.497564314
ZBTB40,14.78926405,13.01755594,13.70760113,13.63411447
ELOA,90.38717142,92.909174,45.77439333,46.09914486
GJA4,9.96483269,7.185357006,2.489304709,1.904920737
SZT2,4.98083716,5.056733148,2.552873885,2.675154189
KLF18,125.5337347,124.2883157,7.515194369,8.865476956
WDR63,0.496777339,0.438561114,4.313610353,2.567314136
GBP6,0.273606569,0.215995386,0.357519826,0.354926554
AC253572.1,2.772684227,2.645495246,2.366071803,3.101294558
NOTCH2NLB,3.347577514,4.270132614,3.92941691,5.182819275
FCGR1A,0.12581662,0.263025736,3.589481073,4.980208728
NIBAN1,20.82967392,19.13934051,7.692041202,7.55139975
CSRP1,2.626032746,2.077365202,2.50788161,3.313659734
RASSF5,0.630916984,0.986652473,1.71949392,1.507284449
GEN1,7.226019648,9.857495321,9.837929134,10.48338211
VIT,0.118615794,0.34780497,1.107103173,1.071595974
TEX37,7.720431519,7.545944077,6.176470331,6.753352403
LIMS2,0.89629208,0.810875574,1.093745406,0.97851192
CXCR4,34.99219651,46.55724464,5.24580381,6.842101465
RND3,69.23347139,74.89779914,40.63925,38.39683484
SCN7A,2.002319428,2.526298035,0.143480935,0.254157996
B3GALT1,17.2901032,16.19770819,5.950581752,5.411131926
CAVIN2,0.247019139,0.563351424,0.806945534,0.231426679
TRAK2,12.34576417,11.90323483,12.73301218,14.48159526
ZNF142,12.6290036,10.68019737,14.76391888,14.2487229
SERPINE2,29.1275471,35.15894353,12.56463837,11.86575897
SP110,1.666668538,2.025808439,2.297485016,1.660128241
CCDC13,0.5423347,0.4967666,1.196598,1.786684
TGM4,0.3118486,0.2502375,2.535496,2.92164
CISH,1.217483,1.037715,0.7231255,0.5530337
CADPS,3.116526,3.025839,2.873607,2.277205
EFCAB12,0.4116299,0.3773456,0.5273274,0.555785
BMPR1B,0.7665462,1.059837,0.3881358,0.4174304
ARSJ,3.457284,3.217951,1.149356,0.9442465
LRAT,49.37534,55.11343,27.82207,29.92195
LINC02218,0.3293589,0.0938919,0.1613891,0.17357
TAF11L2,8.213697,11.04716,7.292787,9.027094
TAF11L3,2.106076,2.521635,1.651197,0.4439555
TAF11L4,2.843203,7.20467,0.6879988,4.291569
TAF11L6,1.684861,3.722413,3.577594,2.811718
TAF11L8,2.737899,3.722413,1.238398,1.923807
TAF11L9,2.527291,1.801168,0.9631983,1.923807
TAF11L11,143.4254,177.515,22.64003,20.30292
TAF11L12,86.15235,98.83245,19.55523,24.03562
TAF11L13,34.75026,34.22218,8.943984,11.83881
TAF11L14,47.30853,48.63577,14.93583,18.14537
PDE4D,0.9680089,1.117066,1.396439,1.512719
CRHBP,5.98606,7.755384,2.795929,3.221735
TRPC7,0.1378217,0.1122557,1.20918,1.577133
CSF1R,1.257083,1.878795,1.259875,2.058174
TCOF1,59.39303,47.77218,37.40029,36.6858
SLC36A2,0.5301451,0.9235783,0.2309123,0.08278017
KIAA0319,0.6105225,0.7459053,4.239554,5.589108
ASCC3,51.94474,53.20724,53.38053,50.92518
RSPH4A,0.5534012,0.4795926,8.879981,9.643525
MAN1A1,13.35503,14.91444,2.684758,3.556421
AL049844.1,49.58358,57.19865,52.71642,51.47786
LTV1,54.31682,68.20467,57.94182,65.79549
CCDC170,0.2198934,0.3167296,1.315684,1.3174
PNLDC1,0.3989706,0.8773956,13.25673,15.37865
AGMO,0.4029896,0.7592212,0.09157977,0.2462295
CRPPA,1.175072,1.131256,1.20823,0.7038534
TYW1B,9.231451,12.32867,11.88639,12.94602
POM121,45.156,47.02463,31.80668,32.98401
POM121C,35.89301,35.83508,30.80048,29.87089
GNG11,1.770004,2.303275,2.312852,1.697295
CPED1,0.6382373,0.8770699,0.4597583,0.3334722
C7orf77,0.4698533,0.8572373,2.333025,4.622047
GRM8,1.246073,1.100048,0.6696771,0.5648794
FLNC,47.12268,37.51952,77.96889,74.61906
PRSS1,0,0.5349736,0,0.09418671
C7orf33,0.327145,0.3730432,0,0.07662371
MAP7D2,1.497504,1.32996,2.747016,3.136465
POLA1,28.64018,28.23195,18.80475,18.16172
ERCC6L,30.99903,33.66492,14.76907,15.57871
PRR23D1,45.63457,60.16785,3.468086,1.224724
AC134684.8,0.360524,0.5652696,0.4710942,1.0133
AC134684.9,3.289781,4.316605,1.707717,1.203294
USP17L7,0.4352766,0.6381585,1.056293,0.6553942
USP17L2,0.7241153,0.7881758,2.279473,1.896457
SH2D4A,4.214764,3.978669,2.683094,2.017751
DOK2,0.492828,0.2809857,1.247701,1.515017
NEFM,202.9883,200.0319,48.74586,51.81736
C8orf34,0.4041278,0.5655599,0.4880657,0.662582
OSR2,1.351734,1.663713,0.7569865,0.2713735
CSMD3,0.09241883,0.1826675,0.2334752,0.3939623
DNAJA1,245.3862,271.0813,135.5673,132.5207
FAM189A2,23.64729,28.15825,7.671186,7.9727
ZNF462,18.23073,15.38407,27.99334,27.38834
TTLL11,1.227095,0.709767,0.9527664,1.049669
NUP214,17.04286,15.51136,17.60694,15.64613
OLFM1,18.61452,19.08361,17.09217,13.26001
SSU72P5,53.51701,71.56393,3.370136,5.738788
SSU72P2,51.15281,89.82253,7.86365,4.832664
OVCH2,4.152972,3.534565,3.657097,1.987705
PARVA,4.310059,4.259456,3.023454,3.577524
HPS5,13.50557,14.41976,18.01795,16.64491
SLC6A5,0.1237179,0.3325349,0.1847558,0.5340071
TRIM49B,31.63673,42.30894,2.65971,2.574408
TRIM64C,2.927259,3.761818,0,0
AP000781.2,22.06772,21.83847,19.41924,14.73766
SLC43A3,16.04714,15.60058,12.67578,10.07279
OR2AT4,0.2287349,0.407541,0.8312778,0.7734769
SYTL2,3.774886,3.553122,4.626153,3.884512
KDM4E,306.2417,335.7832,13.41606,14.23979
ZC3H12C,3.166679,4.151126,2.916865,3.364997
TAF3,9.349358,9.881704,11.39106,11.88835
FRMD4A,7.748068,7.321919,7.495373,7.182792
MYOF,8.404397,8.367643,14.46524,15.28645
PPRC1,53.68955,48.1829,45.82289,45.64433
OAT,116.1024,141.6167,33.36315,35.54225
FRG2B,6.625402,12.10158,1.331903,1.095387
OVCH1,0.1111836,0.3260122,2.30377,1.718729
PLEKHG7,1.463361,1.591314,1.089047,1.784103
NT5DC3,14.59872,16.88425,5.720939,5.860222
CMKLR1,1.209395,1.2399,0.6234245,0.7484403
SGCG,7.355056,9.931931,0.5564148,2.067236
RASL11A,8.555091,10.02021,25.13983,23.33801
SLC46A3,0.7824999,0.9112687,2.936931,2.573672
LACC1,11.21461,13.94037,8.656711,9.704575
AL512506.3,7.753051,10.20092,7.288718,6.31051
GPC5,1.549398,1.441852,0.8377603,0.6006604
ADPRHL1,0.2819894,0.3215523,3.744895,4.658362
CHD8,30.89462,28.77996,29.21586,29.6163
OR10G3,0.3333823,0.2443857,0.4667446,0.4350427
FOS,32.32113,32.22066,25.44857,28.11801
SAMD15,0.7209446,0.8220925,2.103919,2.465344
DIO2,0.4949447,0.440029,0.1315405,0.24757
DISP2,0.8134372,0.6239961,1.301263,1.544966
MAP1A,1.523532,1.191857,4.30566,3.97504
SHC4,0.5004671,0.4609357,1.785806,1.420154
MINAR1,0.746055,0.6559814,1.1393,1.351608
WHAMM,4.969916,4.715663,10.45479,10.4161
LRRK1,1.984005,1.684474,2.118136,2.586115
LITAFD,0.2704761,0.1321816,2.474005,5.375763
ATF7IP2,10.19082,12.15899,8.020617,9.261865
MLKL,2.109536,2.380313,2.871972,2.281628
DUXB,175.0353,205.3686,11.32556,13.12948
POLR2A,130.2549,133.9349,71.51857,62.66249
MYOCD,4.065949,3.852895,3.054482,2.568289
DRC3,1.123226,0.5181919,2.095131,2.650896
CCDC144NL,10.35575,12.10074,7.387497,8.51074
KIAA0100,74.61977,65.92484,58.51376,55.69544
PECAM1,0.1299395,0.09260621,1.103642,0.7532503
TTC39C,26.64037,25.12218,18.86822,17.56373
CABYR,18.35241,23.02607,16.2753,16.44894
BCAS1,0.7602945,0.9632924,0.3411923,0.4209062
GCNT7,1.492467,1.91025,3.502394,3.081877
ZNF574,29.36636,30.20075,14.77908,13.68066
NLRP9,0.1399752,0.2793238,9.168096,12.88447
RFPL4A,332.4933,490.8618,13.25465,17.07191
RFPL4AL1,219.4784,324.4839,13.75149,12.16233
USP29,0.4036105,0.4602367,0.5062993,0.6579525
EVA1C,1.256461,1.218654,0.8114687,1.055376
ERG,0.6384477,0.9549371,0.4117104,0.5593066
MT-ND1,6274.011,5502.536,10107.1,9150.767
MT-ND4,14417.84,13590.52,16944.35,14611.06
