gene,no_dox_shNC_1,no_dox_shNC_2,DUX4_NC_1,DUX4_NC_2,DUX4_3ASO_1,DUX4_3ASO_2
AC020636.2,0.1837931,0.1549246,1.797534,2.103666,1.112601,0.5318112
AC025287.4,0.1575878,0.0830221,148.7499,200.6643,8.148458,6.056054
AC113348.1,0.05747319,0.1211146,211.7487,376.4805,3.7691,2.078756
AC113348.2,4.492158,4.608656,112.3076,198.1461,4.621704,4.596403
ACTN2,0.983331185,1.307861716,5.538795922,6.008369265,2.913977382,3.818998399
ADCY10,0.031820365,0.008381974,0.184268796,0.338529164,1.73898668,1.078983081
AGTR1,0.0421382,0.07399899,1.717167,2.287866,0,0.5588375
AL135905.2,33.51225,35.11452,279.2406,357.7801,179.6424,189.107
AL365232.1,1.433317,1.195599,179.2998,322.2824,7.632245,9.612341
ALPG,11.644549,11.46384579,218.2159344,254.7573704,30.52494916,30.09900376
ANXA13,0,0,0.347328,0.5657969,0,0.185945
ART3,0.804765,0.5181916,8.841183,15.26454,2.506011,3.288087
ASCL2,0.2374028,0.4169036,1.493585,1.741842,0.2661352,0.7155545
BHMG1,0.0177709,0.01872452,0.3201634,0.1043092,2.300954,2.15324
BRDT,0.067631125,0.095013752,0.565710306,1.389400871,0.284311452,0.244615971
CALCA,0.2066118,0.1693214,1.004444,1.515926,2.818015,1.328528
CCK,1.089288,1.497054,5.881343,7.366714,0.8760229,0.8564919
CCNA1,4.622622,5.78536,482.0407,734.1892,29.92474,25.27568
CDH10,0.3203424,0.3937879,2.456254,3.094662,0.1795564,0.2655242
CHRNA10,0.1265133,0.1713886,0.674482,0.6630269,5.105699,5.948642
CLEC17A,0,0.02299987,2.303415,3.587527,0.5138779,0.3552834
CPHXL,0.07189436,0.03787616,77.85438,101.7536,4.533502,3.380464
CTSS,0.024000106,0.012643994,0.308849771,0.264135846,1.150179847,0.69445058
DBR1,9.705431,9.34551,123.6013,169.5399,16.52832,15.00446
DLX2,0.131544169,0.086626894,1.43888025,2.123328593,2.377868315,4.936258621
DPRX,0,0,3.492576,5.420736,3.169254,1.772396
DSC1,0,0.02410382,0.6034936,1.007068,0.480842,0.4550777
DSEL,3.384753,3.505278,17.17868,17.67018,7.783846,6.76953
DUXA,0,0,287.4577,438.3272,4.938229,5.310944
FAM9B,0,0,0.09125616,0.3225839,0.01192438,0
FOXR1,0.07956387,0.1257501,2.201347,3.09396,1.939955,2.518037
GCNT4,0.6392965,0.551129,15.68454,14.18135,10.13575,8.768648
GNRH1,3.018646,3.793413,60.22912,98.18283,1.443627,5.559258
H2BC8,0.7643111,0.9731012,3.770343,6.916296,19.06411,21.77002
H2BC9,4.576931,4.847523,15.93022,28.1874,15.19322,21.0575
H3-2,0.012339534,0,0.254069698,0.398358755,0.207494457,0.156208624
H3Y1,0.04995114,0,426.7585,551.7952,20.74675,27.37135
H3Y2,0,0,847.4952,1220.603,41.35043,38.31685
HBA2,3.367081,3.36104,32.53544,58.33736,10.03247,9.614561
HBM,0.2142641,0.1693214,1.033986,1.886486,1.53125,1.453078
HEY1,0.4391551,0.287206,2.533363,2.844348,2.419086,3.012457
HNRNPCL1,0.088180895,0.139369225,30.46862924,38.43119353,1.260379009,2.870484521
HNRNPCL2,0.169038809,0.17810969,10.44147337,19.96803022,0.852737599,0.917098284
HNRNPCL3,0,0,2.738082358,4.121347506,0.500896679,0.076957434
HNRNPCL4,0.166163999,0.116720409,7.270260585,7.233668614,0.558823506,0.400667278
HOXD1,0,0.081877572,1.233327532,0.456117511,2.177811649,2.061120852
IER3,6.766937,5.681171,50.2931,64.67713,56.59019,71.33213
IRF4,0.7060769,0.7177085,7.258335,7.923177,4.874906,4.50674
KHDC1L,0,0,242.0322,454.6412,8.964631,10.8464
KITLG,5.692208,6.055729,52.77533,66.99594,36.12882,34.62695
KLF17,0.015459562,0.016289146,132.5764228,167.4650355,3.691418313,3.354954483
LEUTX,0,0,474.9437,693.1928,12.62956,10.51189
LRRD1,0,0.01156712,0.3531819,0.4993889,0.7014805,0.7941315
MBD3L2,0,0,359.6781,591.1196,11.60211,11.4751
MBD3L2B,0,0,23.53834,37.34365,1.050718,1.438209
MFSD2A,3.084504758,2.427883547,15.78327157,15.83292359,3.854166812,3.439519095
MYC,15.79384,15.66444,87.20926,100.7583,47.77575,44.11575
MYLK3,0.3029168,0.1837656,7.117059,9.267247,2.122364,2.589657
NANOGNB,0,0,0.4418319,0.3598718,1.237154,0.3548078
NCF1,0.1247999,0.2483829,1.516787,1.790636,1.702167,1.203708
NDST3,0.06414793,0.07510023,0.2293054,0.4811172,0.8509543,0.7476122
NEUROG2,0.04257274,0.02242863,3.451487,5.091457,2.362399,1.96327
NPPC,1.908644705,0.622472656,5.731073816,7.268674504,4.279288468,6.739037252
NXF1,9.038527,9.340723,141.7995,183.6257,38.65978,39.01024
OR2B6,0.1555803,0.273215,0.6673712,1.826407,6.365961,7.409155
PCDH8,0.6165814,0.3898008,5.3589,4.830137,4.290788,3.774052
PRAMEF10,0,0,26.50693542,36.90090358,0.700269981,1.274516042
PRAMEF11,0,0,32.1317007,39.43727142,0.267144896,0.81403864
PRAMEF15,0,0,19.18014213,30.75022788,0.660700178,0.378968942
PRAMEF17,0,0,1.075660339,1.499146685,0,0
PRAMEF18,0,0,1.034086411,0.416176887,0.07948433,0.256450318
PRAMEF19,0,0,1.571659273,0.696951779,0.798651928,0.061352177
PRAMEF20,0,0,15.19500262,23.79075043,0.411506852,0.055320685
PRAMEF25,0,0,15.83131239,25.07905137,0.385465849,0.46062114
PRAMEF26,0,0,35.19571921,46.86748198,0.661409464,1.090705367
PRAMEF27,0,0,34.62205936,57.17986717,0.176375857,1.280393257
PRAMEF33,0,0,14.41205342,17.2840893,0.487037878,0.290998467
PRAMEF4,0,0,40.89730762,57.69981533,0.625031943,2.208678368
PRAMEF5,0,0,37.68327235,49.93045904,1.241757814,0.770469198
PRAMEF6,0,0,53.21088572,69.03439086,0.368372446,0.445697428
PRAMEF9,0,0,18.01966832,25.89640014,0.396845678,0.237109862
PRR20G,0.360533,0.1424549,70.23171,95.9567,2.046098,2.445031
PRSS58,0,0,1.360744,2.172317,0,0.1529821
PTGER3,0.197372466,0.138642516,7.821662851,11.10237965,1.063750329,1.043361997
PTP4A1,28.59297,29.97816,239.9669,309.2177,156.8559,165.0149
RAET1L,0,0,0.5604728,0.3195534,0.5492745,0.5250944
RRM2,11.84085927,12.74051393,54.35142829,69.38435822,24.765251,22.28219924
RSRP1,13.83541205,14.60843503,73.19775374,126.330092,12.08403935,11.49956761
SERTAD1,3.656884,3.680221,30.58853,39.04229,23.33544,22.38354
SGK1,6.111416,6.145729,28.53902,33.9492,7.062082,8.249387
SIAH1,10.14589,9.558962,79.00596,105.7075,15.99215,18.01817
SLC34A2,0.2033492,0.1530437,494.2206,556.2984,9.085839,8.580792
SLC6A3,0.6780473,0.7029093,4.630185,3.610803,5.277861,5.300433
SNAI1,8.567045,8.936197,79.38492,102.3372,18.59752,24.76829
SPINK7,0.2529565,0.06663262,0.976565,2.459147,0.1595088,1.3152
STX11,0.0532546,0.01870411,0.194173,0.1953665,0.4328242,0.3210288
TAC1,0.3424221,0.9621252,5.948804,7.076526,5.326123,6.140952
TPRX1,0.02354324,0.07441981,58.23092,89.40944,4.038072,4.896347
TRIM75P,0.1062005,0,0.273332,0.3896004,0.2678708,0.8642654
UBTFL1,0,0,7.073796,12.67553,0.6949835,1.644363
ULBP2,0,0.07711416,0.8947274,0.4295818,0.3692002,2.51475
USP26,0,0,0.4398371,0.276715,0.1783651,0.3623405
WDR47,3.435007704,3.630973212,40.22424367,54.47393656,14.41241578,15.44027473
YAF2,0.0405637,0.06173615,0.3306009,0.2513226,0.5532554,0.3912411
ZIM3,0,0,0.2153777,0.5184785,0.09381087,0.3026739
ZNF280A,0,0,0.2341392,0.6007246,0,0.0822599
ZNF296,13.39722,15.03162,98.28506,104.8769,30.86995,33.96017
ZNF596,0.05691836,0.07710774,34.7502,59.28929,1.76381,1.82341
ZNF679,0.03117563,0,1.404163,2.47037,0.5242314,0.3946585
ZNF728,0.05277517,0.09267861,0.4074882,0.4130297,0.3845559,0.4135804
ZSCAN4,0.2823827,0.2288737,373.8439,492.8166,26.33527,30.48349
ZSCAN5B,0,0.02499937,49.09622,53.82578,1.915036,1.630496
