gene,no_dox_shNC_1,no_dox_shNC_2,DUX4_NC_1,DUX4_NC_2,DUX4_3ASO_1,DUX4_3ASO_2
AC019117.4,3.494396,3.711133,25.14298,29.64723,7.997854,10.0309
AC083977.1,0,0.5446952,14.63556,18.20609,6.954248,6.076787
AC084121.12,0.03501951,0,3.019388,3.443006,1.354396,1.203294
AC092111.3,0.2954771,0.9339986,6.464082,6.792871,5.796667,8.549723
AC134684.8,0,0,0.360524,0.5652696,0.4710942,1.0133
AC134684.9,0.03501951,0,3.289781,4.316605,1.707717,1.203294
ADPRHL1,0.04919209,0.0282719,0.2819894,0.3215523,3.744895,4.658362
AL365214.2,0,0,424.8369,536.1541,10.81884,10.75835
ANXA2R,0.04094905,0.06471966,0.4479163,0.6609817,4.647885,5.850313
BHMT,0.8265789,0.811888,5.895412,7.812119,0.2120228,0.9374373
BMPR1B,0.09679604,0.1098357,0.7665462,1.059837,0.3881358,0.4174304
C7orf33,0.04236966,0,0.327145,0.3730432,0,0.07662371
C7orf77,0,0,0.4698533,0.8572373,2.333025,4.622047
CAVIN2,0.047988424,0.101127113,0.247019139,0.563351424,0.806945534,0.231426679
CISH,0.2580223,0.2416606,1.217483,1.037715,0.7231255,0.5530337
CPED1,0.03179241,0.03349844,0.6382373,0.8770699,0.4597583,0.3334722
CRHBP,0.05938276,0,5.98606,7.755384,2.795929,3.221735
CSF1R,0.04742013,0.06995067,1.257083,1.878795,1.259875,2.058174
CXCR4,1.327505861,1.561928408,34.99219651,46.55724464,5.24580381,6.842101465
DIO2,0.05215075,0.04808058,0.4949447,0.440029,0.1315405,0.24757
DIO3,0.2556491,0.2693676,5.443235,5.865877,14.69424,16.43374
DIRAS3,0.095367917,0.125606882,1.012489137,0.769693661,0.481095493,0.603640745
DUXB,0.3061464,0.7833956,175.0353,205.3686,11.32556,13.12948
ELOA,16.65560608,17.71168878,90.38717142,92.909174,45.77439333,46.09914486
FAM90A1,0.558201,0.3853429,7.951184,6.694127,1.035739,1.601248
FLNC,4.37459,4.187785,47.12268,37.51952,77.96889,74.61906
FOS,2.039342,2.13262,32.32113,32.22066,25.44857,28.11801
FRG2,0.04645955,0,18.95258,23.55461,2.031216,2.604623
FRG2B,0,0,6.625402,12.10158,1.331903,1.095387
FRG2C,0.02350925,0,158.2248,188.2546,13.24315,14.41274
GBP6,0,0,0.273606569,0.215995386,0.357519826,0.354926554
GCNT3,0.01508716,0.03179351,0.2815202,0.1992521,1.217745,1.650711
GPC5,0.1383915,0.2187268,1.549398,1.441852,0.8377603,0.6006604
KDM4E,0,0,306.2417,335.7832,13.41606,14.23979
KDM4F,0,0,48.63371,53.40025,7.241968,10.73807
KLF18,0.077322279,0.032588604,125.5337347,124.2883157,7.515194369,8.865476956
KRTAP11-1,0,0,0.8051189,0.2295191,0.08767028,0.4714362
LINC02218,0,0,0.3293589,0.0938919,0.1613891,0.17357
LITAFD,0,0,0.2704761,0.1321816,2.474005,5.375763
LRAT,5.504384,6.100334,49.37534,55.11343,27.82207,29.92195
MBD3L3,0,0,135.2235,245.3065,4.557837,3.647882
MBD3L4,0,0,51.18539,77.32889,1.165958,1.025967
MBD3L5,0,0,84.36053,146.0451,3.589974,2.725361
MYOCD,0.2807282,0.3189919,4.065949,3.852895,3.054482,2.568289
NAA11,0.01797359,0,0.4394632,0.2637471,0.6346903,0.6500893
NEDD9,1.046934,1.018642,5.037078,5.411605,1.855624,1.543666
NEFM,19.3393,18.77693,202.9883,200.0319,48.74586,51.81736
NLRP9,0.027193,0,0.1399752,0.2793238,9.168096,12.88447
NPAP1,0.03176347,0.04016153,0.711232,0.9135597,0.5127515,0.3331686
NT5DC3,3.028514,3.243919,14.59872,16.88425,5.720939,5.860222
OR10G3,0,0,0.3333823,0.2443857,0.4667446,0.4350427
OR2AT4,0.01110909,0.01755783,0.2287349,0.407541,0.8312778,0.7734769
OR52A1,0.1348267,0.1683695,0.8161126,0.8353529,0.1679384,0.1896443
OSR2,0.03334622,0.03513563,1.351734,1.663713,0.7569865,0.2713735
OVCH1,0,0,0.1111836,0.3260122,2.30377,1.718729
OVCH2,0.7015637,0.8870528,4.152972,3.534565,3.657097,1.987705
PDE4D,0.09628424,0.1268137,0.9680089,1.117066,1.396439,1.512719
PLEKHG7,0.03012315,0.0238047,1.463361,1.591314,1.089047,1.784103
PNLDC1,0.1550161,0.0700005,0.3989706,0.8773956,13.25673,15.37865
PRAMEF1,0,0,155.6322869,180.2007953,3.671188618,3.404932621
PRAMEF12,0,0,392.3692256,450.1476746,9.796933259,9.497564314
PRAMEF13,0,0,3.681364064,5.107881065,0,0.180890939
PRAMEF14,0,0,50.38573651,60.03705077,1.143266428,0.831757715
PRAMEF2,0,0,152.7629842,203.3590569,2.251289582,4.304367099
PRAMEF7,0,0,98.42752896,124.1557817,1.286640627,1.809519627
PRAMEF8,0,0,32.0660684,36.82397336,0.678550793,0.912205831
PRDM2,4.745234901,5.155381142,21.95689876,24.68303661,9.423259217,9.107284966
PRR20B,0,0,0.9870735,0.6598105,0.04447594,0.2869966
PRR20D,0,0,1.94011,2.794491,0.4447594,0.4783277
PRR20E,0,0,2.961221,3.531927,0.1334278,0.6218261
PRR23D1,0.06156549,0.2919113,45.63457,60.16785,3.468086,1.224724
PRR23D2,0,0.06486919,19.09363,23.12758,1.190537,1.50307
PRSS1,0,0,0,0.5349736,0,0.09418671
RASL11A,1.233338,1.394608,8.555091,10.02021,25.13983,23.33801
RERG,0.1527733,0.07429449,1.028365,0.9139723,0.5137896,0.7863469
RFPL1,0.3918627,0.5849284,297.9429,400.6967,7.577736,8.917391
RFPL2,0.1498024,0.1403031,182.1518,253.4306,5.70971,5.689134
RFPL3,0.9113005,1.303132,8.795428,13.80239,10.12472,9.123122
RFPL4A,0,0,332.4933,490.8618,13.25465,17.07191
RFPL4AL1,0,0,219.4784,324.4839,13.75149,12.16233
RFPL4B,0.07721636,0,649.1002,848.1892,17.00937,16.94329
RND3,13.93253229,14.09296638,69.23347139,74.89779914,40.63925,38.39683484
SCN7A,0.286096403,0.22212015,2.002319428,2.526298035,0.143480935,0.254157996
SGCG,0.4813026,0.6656082,7.355056,9.931931,0.5564148,2.067236
SLC36A2,0.1487652,0.06028777,0.5301451,0.9235783,0.2309123,0.08278017
SLC6A5,0,0,0.1237179,0.3325349,0.1847558,0.5340071
SLCO1C1,0.02010379,0.02118259,0.5432896,0.6785139,1.38602,0.6362448
SSU72P2,0,0,51.15281,89.82253,7.86365,4.832664
SSU72P3,0,0,25.14655,41.54139,4.072247,6.342871
SSU72P4,0,0,29.98242,39.94836,2.106335,6.795933
SSU72P5,0,0,53.51701,71.56393,3.370136,5.738788
SSU72P7,0,0,45.88708,85.77868,7.86365,8.910224
SSU72P8,0,0,11.82103,22.05737,11.37421,11.77962
TAF11L11,0,0,143.4254,177.515,22.64003,20.30292
TAF11L12,0,0.04731039,86.15235,98.83245,19.55523,24.03562
