gene,DUX4_siNC_1,DUX4_siNC_2,DUX4_siHNRNPU_1,DUX4_siHNRNPU_2
AC019117.4,12.74176196,13.80638729,10.47341704,8.76093199
AC083977.1,3.536116224,5.488592015,4.338371339,9.263134274
AC084121.12,3.593150356,3.015774752,2.034620802,2.277602191
AC092111.3,4.1545801,6.506637308,8.138483207,6.667215596
AC134684.8,1.197716785,0.867551641,0.497351752,0.325371742
AC134684.9,2.834596392,4.048574325,1.898979415,2.417047223
ADPRHL1,0.545518113,0.553933788,0.207857636,0.172136237
AL365214.2,211.8650813,208.2849837,139.6711299,122.6461048
ANXA2R,0.420154631,0.966139416,0.370086097,0.271760016
BHMT,3.689496659,2.446020072,2.640864281,2.49177515
BMPR1B,0.585714724,0.632430356,0.24994732,0.28660513
C7orf33,0.241517045,0,0,0.056237589
C7orf77,0.249748119,0.516862925,0.282839663,0.096923677
CAVIN2,0.164127202,0.094352024,0.061958001,0.191086267
CISH,0.893367391,0.935701866,0.814325931,0.811792675
CPED1,0.224718046,0.367549211,0.303749845,0.084396642
CRHBP,2.820797737,3.058978248,1.328933846,1.129742065
CSF1R,0.908227871,0.906241023,0.355100777,0.314705591
CXCR4,34.85909139,35.18366457,25.0521901,24.84433024
DIO2,0.490498107,0.422959953,0.185162982,0.21631285
DIO3,6.544422521,5.784955095,5.281108988,4.195292021
DIRAS3,1.33186808,0.98441072,0.584866595,0.316456515
DUXB,89.99764019,85.38765241,35.74338764,30.99874299
ELOA,74.18612447,73.82568592,68.74761394,68.0653938
FAM90A1,6.166259408,5.994632414,5.392787286,4.8286551
FLNC,151.9217269,155.8686202,22.80967777,19.57835298
FOS,42.37346051,40.06620489,34.16962354,33.45892945
FRG2,9.692792188,9.646141744,5.57851809,5.45745286
FRG2B,5.683585948,4.671977466,2.586694829,2.597388151
FRG2C,87.48058847,89.27414139,50.71963048,52.17311046
GBP6,0.111872442,0,0.105579586,0.065124145
GCNT3,0.07740032,0.115687586,0.165572138,0.180227751
GPC5,0.362877649,0.424471847,0.804049864,0.679646396
KDM4E,134.2699916,138.790512,88.42119276,75.09910869
KDM4F,30.85385916,27.44725475,13.12792107,12.85338402
KLF18,82.06862333,79.95987256,39.99231068,37.0496048
KRTAP11-1,0.178315359,0.676555366,0.538512229,0.276806574
LINC02218,0.291781692,0.566112143,0.165221336,0.08492723
LITAFD,0.17115498,0.389632685,0.077533184,0.079707363
LRAT,50.50510205,50.70082321,22.89387189,20.93701922
MBD3L3,118.3583727,112.1372464,62.09662687,59.73825174
MBD3L4,41.53681812,38.81673914,28.56607605,22.92476327
MBD3L5,56.69603313,50.29680819,26.26700685,33.83782469
MYOCD,3.620883404,3.987036926,0.689363916,0.862123821
NAA11,0.184416657,0.10601585,0.092823024,0.19085192
NEDD9,1.897859077,1.713496146,1.893597755,1.74013508
NEFM,86.24499918,89.46555977,183.1987123,169.9269105
NLRP9,0.124005189,0.144356233,0.070217918,0.072186963
NPAP1,0.072423707,0.157377703,0.057413877,0.0927518
NT5DC3,9.36602493,9.31663273,6.034407944,5.715033407
OR10G3,0.063288444,0.174637019,0.047782761,0.073684023
OR2AT4,0.044327096,0.019657834,0.071714889,0.095843686
OR52A1,0.216330937,0.212070713,0.244994716,0.311517037
OSR2,1.292553063,1.376831103,0.839541484,0.331955324
OVCH1,0.225139285,0.145604386,0.079678177,0.065530005
OVCH2,1.173062969,0.937973839,0.754825812,0.465595548
PDE4D,1.066813334,1.139400061,0.236971418,0.315503403
PLEKHG7,0.180294503,0.151027235,0.291690665,0.129943767
PNLDC1,0.631163084,0.44411318,0.486058551,0.382114786
PRAMEF1,76.99860456,81.02255482,38.94559522,38.01720955
PRAMEF12,193.8057988,190.5088445,118.0239554,108.6628926
PRAMEF13,1.915758298,1.39237623,0.826512627,0.770031228
PRAMEF14,30.73077509,30.92640744,12.44425052,10.93527599
PRAMEF2,87.61094047,92.76288752,34.37914381,34.86932579
PRAMEF7,60.08894607,62.73361482,28.53494391,26.0539602
PRAMEF8,20.70188848,24.03986301,8.205708674,7.297647342
PRDM2,9.906904029,11.51232552,10.04737215,8.69664396
PRR20B,0.693534435,1.092072315,0.956172634,0.526599404
PRR20D,1.718759253,2.090538431,1.331811884,1.36915845
PRR20E,1.990142293,2.496165291,1.16106677,1.579798211
PRR23D1,39.58578502,35.55134318,12.91670106,9.601673523
PRR23D2,9.72097735,11.94728489,3.815394774,4.208393076
PRSS1,0.089062629,0.030719731,0.100863398,0.103691802
RASL11A,7.921967273,6.423072121,4.078011521,4.591639834
RERG,0.308144841,0.52680977,0.303455592,0.327563324
RFPL1,219.164158,211.8372718,111.6430163,103.50438
RFPL2,141.4832029,139.4317427,77.62199673,72.28716436
RFPL3,6.048030896,4.952896658,2.899436306,4.579111013
RFPL4A,166.5971974,162.9793649,100.3077884,93.91117675
RFPL4AL1,126.9672128,126.6214551,65.08769871,67.8412367
RFPL4B,339.884952,337.0972918,219.8591085,203.2032975
RND3,56.05024625,53.97420912,35.78362444,36.44427341
SCN7A,1.384763895,1.284882041,0.660995682,0.406386349
SGCG,9.328030728,8.623240472,1.631204608,2.914693112
SLC36A2,0.208737711,0.121497293,0.177296542,0.106323162
SLC6A5,0.117431467,0.056706707,0.044330366,0.045573475
SLCO1C1,0.103136723,0.260877522,0.103824271,0.106735704
SSU72P2,70.54551866,68.76220663,41.40192483,27.59938981
SSU72P3,26.08565737,28.5688251,17.03516699,12.0816606
SSU72P4,32.36906389,34.08556374,17.78988957,17.29118398
SSU72P5,56.64586182,51.81793795,28.57164083,25.93677597
