gene,8C_NC3,8C_NC1,8C_NC2,8C_KD3,8C_KD2,8C_KD1
OR4F29,2.197566023,1.465451705,2.056487114,3.050515544,2.179574989,3.777408633
MRPL20,56.31458873,137.7560118,117.1551955,12.74552401,39.0813614,40.88597754
MIB2,1.168289334,1.193588138,0.226325821,0.549546906,0.326076279,0.375123348
HES2,0.361829493,0.428304921,2.981618756,0.22276113,0.145849798,0.451828932
NOL9,4.510888859,14.00239241,17.6782915,1.888454341,1.857370904,0.865840141
CA6,2.961378588,2.932101574,0,3.00438656,1.407173867,2.400257965
NMNAT1,7.77621997,22.32677473,9.092449631,3.919097932,0.855325227,0.489178515
MASP2,0.148686128,0.967126441,0.699153797,0.848815667,0.115781339,0.286943744
DISP3,2.378759386,0.868932292,0.354610634,0.196808731,0.434895143,0.997973461
FBXO2,0.600338456,0.460994134,0,0.33510373,0.65447388,0
FBXO44,0.081572911,0.291824303,0.298867434,0.64201943,0.391286434,0.159846396
FBXO6,0.729633251,0.444926937,1.1078918,0.805293683,1.022692901,0.649888459
PRAMEF11,140.1268838,206.5501966,153.3855326,110.2497548,48.35311131,23.78359868
HNRNPCL1,160.9916492,349.5132659,241.5891477,460.7421694,112.2772611,77.17181063
PRAMEF4,276.1680781,849.7024429,558.2243164,241.9674351,93.64742082,31.09972348
PRAMEF10,102.3673277,295.6744538,33.82895762,101.9494519,19.13348512,5.853435263
PRAMEF6,346.6361199,1229.415069,299.1868778,129.3589367,77.41328568,23.96478873
PRAMEF27,344.5387991,800.6770311,289.4621266,148.2085735,89.58108509,39.18909387
HNRNPCL3,176.7347036,471.9702874,103.5957283,147.4320945,74.87672011,21.69007451
PRAMEF25,126.7833742,273.3256645,82.63183172,71.9918538,49.0311396,16.01976747
HNRNPCL2,239.0263268,350.5078305,216.2707681,341.127415,243.370733,71.28510888
PRAMEF26,283.1982294,668.1746738,208.0186606,184.9568518,140.0068229,41.00480479
HNRNPCL4,227.2303332,597.973004,159.0930113,264.2185323,139.0349582,39.73720389
PRAMEF9,214.1051506,768.2650577,205.0897579,102.2279691,99.8461356,41.20655044
PRAMEF18,18.76293767,122.2469228,18.53886457,4.521859112,2.289143279,0
PRAMEF5,272.7200953,915.8158503,165.4339899,107.2538012,44.01543402,20.86853557
