gene,8C_NC3,8C_NC1,8C_NC2,8C_KD3,8C_KD2,8C_KD1
ATAD3C,0.679339858,2.089898656,1.261618285,14.38949162,30.30829151,22.82397876
MMP23B,0.10438373,0.116696634,0.140603633,0,1.609407877,0.767045222
CDK11B,7.539128397,28.20542263,17.68812252,22.27992193,32.27467243,18.29154358
CDK11A,5.737179237,10.77843162,8.48698463,4.993159411,9.285745396,7.890308353
TMEM52,6.401495368,10.66789577,10.15351564,5.63089459,19.03753489,11.39301857
CFAP74,0.138029005,0.222207322,0.202284675,0.129438281,0.208086463,0.081142521
PRKCZ,0.373889093,0.278661554,0.531827077,0.319313533,1.34509479,2.576504404
PLCH2,0.042587867,0.031740966,0.080311484,0.147090355,0.355673334,0.643284757
PRDM16,0.07069708,0.079036371,0,0.009865624,2.210319945,1.212178049
CCDC27,3.964635953,6.577609377,2.794522098,15.46086292,70.01285032,88.22060764
NPHP4,0.463234019,0.579760791,0.089475039,0.852559816,2.380742912,1.898243227
PLEKHG5,0.040792238,0.158093909,0.114289044,0.355210041,1.062213762,1.71859239
RERE,2.670755603,1.495175628,1.810271781,6.650528491,25.90839329,14.63511631
TMEM201,0.700620279,0.675757262,1.261263535,1.159437699,5.718861788,2.934241895
PIK3CD,0.554244973,0.379222602,0.763695529,0.471669697,2.848484216,1.231475178
CLSTN1,3.194921892,5.138793408,2.851267844,6.784189583,14.67076155,14.91647569
PEX14,3.081180228,5.031646835,6.407871527,2.957769408,13.21298068,11.02431299
C1orf127,0.28988177,0.504117703,0.052062303,0.957372848,1.158746645,1.393798239
PRAMEF12,53.41761425,135.4295152,271.1122252,90.74658827,58.89184771,25.20061368
PRAMEF1,37.20500001,79.75848938,42.96452726,101.2959285,53.43082382,32.90054774
PRAMEF2,92.86544349,182.0435515,96.82332695,218.5649888,144.8626363,30.04299383
PRAMEF7,3.882320191,29.81352961,32.347814,43.50601632,66.33111544,20.6605479
PRAMEF13,13.78451919,26.13201783,12.67039106,29.90951118,51.58903565,10.6583792
PRAMEF8,4.248032519,20.54631915,16.96607499,27.31042716,30.0766925,13.34013213
PRAMEF14,89.92778014,100.6232613,21.19327834,17.3151725,64.23797055,17.15412023
LRRC38,3.45036858,4.707966387,3.289074387,5.555670808,5.410780286,4.204065893
PRDM2,4.988723815,7.875981173,2.912128702,7.035168883,14.77334913,11.8969957
FHAD1,0.274114285,0.013396646,0.009684686,0.613287051,1.439574812,0.271505855
CELA2A,0.113643577,0,0,1.014957783,8.436412256,8.16532011
DNAJC16,1.47835302,2.153565999,0.955835421,4.096011892,9.577884549,5.89257881
AGMAT,0.632120216,0.748253541,0.020034314,2.163764148,2.643562938,6.739836777
ZBTB17,1.099260388,2.285905417,1.930381772,2.215769236,7.579210325,7.933671753
SRARP,1.912370738,0,0.510087219,35.60695416,5.027744662,1.762386728
MFAP2,0.572869229,1.897611201,0.525863811,1.794268622,19.70070722,7.310546234
PADI6,40.0341122,47.21757206,8.022505314,67.28138091,316.2996974,198.9459519
IFFO2,0.06518704,0,0.220769777,0.140349246,0.542416557,0.456205081
NBPF3,0.481483748,2.304210336,1.083197017,0.572883288,0.347303226,1.089706421
ZBTB40,1.587742114,3.695054027,1.880000464,0.935306178,3.289816461,2.582472027
ELOA,14.85769091,45.93282134,18.67892277,24.68369185,28.76282946,20.82838666
GRHL3,1.679511703,0.370082347,1.101633037,2.26220147,7.655920591,6.677576429
NIPAL3,0.863490414,1.360156653,2.296526013,2.666343568,9.253324501,11.49037172
MACO1,2.299347447,2.866971474,2.680338479,6.199430497,31.14107167,21.11157515
AL020996.2,1.888989667,4.223622506,8.063937933,2.18994442,9.085940617,13.8809036
PAQR7,1.884890928,1.795046956,1.203638748,4.676132459,12.88636827,10.88683081
CEP85,20.1758839,10.93614174,14.07643233,35.18127621,98.48043435,78.34819058
UBXN11,28.23253709,62.94324717,46.68919404,14.29795345,110.4372332,117.0343218
WASF2,2.420775568,2.400590068,4.071169421,17.22427329,40.27379607,30.03641616
