gene,4C_NC1,4C_NC2,4C_NC3,4C_KD1,4C_KD2,4C_KD3
OR4F29,0.511390982,0.002459185,0.723841954,0.398774215,0.576380639,0.665424263
MRPL20,2.186088001,1.731079382,1.678695208,1.292618841,1.588573833,1.461933371
MIB2,0.409573231,0.248051623,0.159085312,-0.381174788,-0.017598134,-0.292934554
HES2,-0.302022964,0.007171409,0.100999871,-0.384705445,-0.144670645,-1
NOL9,0.905331644,0.889477942,0.367549218,0.162880624,-0.011659911,0.265644158
CA6,0.717858003,0.820633678,0.290492583,-0.531840062,0.111582996,-0.252581354
NMNAT1,0.860519939,1.023583024,1.016941218,-0.006376762,-0.405866837,0.133215769
MASP2,0.059146047,-0.68646319,-0.133650158,-1,-0.379820095,-0.928341462
DISP3,0.234054599,0.253662079,-0.476410435,-0.859080066,-0.476900051,-0.727349664
FBXO2,0.165439737,0.274307431,-0.21982147,-0.208196517,-0.220404543,-0.35850951
FBXO44,0.295310752,0.33122554,0.096852679,-0.945761171,-0.721159375,-0.782629677
FBXO6,0.497949764,0.003865803,0.219662321,0.275253887,-0.130404792,0.079325098
PRAMEF11,2.422979721,2.548812047,2.15787231,-0.133278071,-0.127578055,0.140866477
HNRNPCL1,2.562541993,2.846958569,2.340998176,-0.159380863,0.119946411,0.260809402
PRAMEF4,2.792429723,2.778365006,2.315109397,-0.103220068,-0.036307007,0.039849779
PRAMEF10,2.049759074,2.282299104,2.004984283,-0.205503168,-1,-0.698635258
PRAMEF6,2.685054672,2.8190787,2.286790126,0.396757718,0.114459693,0.587375423
PRAMEF27,2.637431712,2.564944358,2.360987172,-0.453658001,0.082059969,-0.198670075
HNRNPCL3,2.401214689,2.824211549,2.376511749,-0.579260691,-0.000422412,-0.363901988
PRAMEF25,2.229044743,2.240986185,1.963860131,-0.078913449,-0.073108639,0.30345106
HNRNPCL2,2.667671935,2.909552089,2.500219225,-0.332292007,0.421778886,0.110291566
PRAMEF26,2.683787954,2.803330602,2.415327331,0.099836664,0.364731289,0.592424458
HNRNPCL4,2.711409726,3.10653307,2.510593483,-0.377614621,-0.086132956,0.022193324
PRAMEF9,2.656371636,2.849295971,2.359288446,-0.423634302,-0.041112237,0.081626902
PRAMEF18,1.89905822,2.048085598,1.576178828,-0.837445979,-1,-1
PRAMEF5,2.666162957,2.889806431,2.36166237,-0.02429133,0.143768013,0.412693447
PRAMEF33,1.834671989,2.315626535,1.724340481,-0.650471358,-1,-1
PRAMEF15,2.70574173,2.886390518,2.443262557,-0.453991489,0.096688078,0.297453526
PRAMEF19,2.308030338,2.506687292,1.967110089,-0.877517193,-0.677232228,-1
PRAMEF17,2.088080281,1.934731677,1.680993651,-0.659697629,-0.823008658,-1
PRAMEF20,2.326663505,2.430399418,2.192017066,-1,-0.223933786,-0.087623245
RSC1A1,0.633734234,0.940890668,0.766957347,0.436452565,0.557671209,0.437148774
ARHGEF19,-0.926774804,0.089907276,-0.027013748,-0.825233647,-0.150090296,-1
PLA2G2A,-0.074087029,-1,-0.61694474,-0.201323199,-0.474201575,-0.379599407
CELA3B,0.917850192,0.268457988,0.575895862,-1,-0.33642296,-0.224831397
CELA3A,0.932215357,-0.186235884,0.666540016,-0.12461097,0.235251731,0.611358154
CDC42,1.494099131,1.403165871,1.274834495,1.111561781,1.225045028,1.072418147
TEX46,-0.135227007,-0.355222031,0.280407523,-1,0.221091609,-0.249619771
LUZP1,1.483546097,1.492447747,1.232632161,0.536224588,0.96532807,0.880585588
RSRP1,1.433638826,2.090096106,1.587993588,-0.07987999,0.05165548,-0.133446277
TRIM63,-0.681620061,-0.346562435,-0.203850633,-0.406989201,-0.422854106,-0.723443748
FAM110D,-0.457737455,-1,-0.804599758,-0.735628885,-0.732611756,-0.461482881
CNKSR1,0.182698067,0.443085672,-0.250377556,-0.684806114,-0.419445061,-0.751685863
SH3BGRL3,2.545847708,2.490639041,2.142970714,0.927120642,1.217585618,0.3408926
GPATCH3,1.58380319,1.744774916,1.254340335,0.776735396,0.818957508,0.783148209
DNAJC8,2.404226679,2.156659587,1.925934867,2.021117196,2.183229515,1.913322758
ATP5IF1,2.383947376,2.317158393,1.955367438,1.182986586,0.917559927,0.981048664
YTHDF2,1.833037447,1.738107679,1.349939251,0.843993004,1.15728807,0.714236268
TMEM234,0.249299228,0.153769057,0.516445742,0.347997916,0.023657025,0.113136658
RNF19B,1.296616246,1.137926552,1.025761619,0.930070313,0.812096617,0.785203133
A3GALT2,-0.107880502,0.471715746,-0.019977165,0.11140509,-0.191624982,-0.489519502
MANEAL,0.359810003,0.382752864,0.071984214,-1,-1,-1
YRDC,1.863435933,1.765299785,1.404859257,0.076163509,-0.276047616,-0.458487254
PPIE,0.600284722,0.594138407,0.178469869,0.333246289,0.397593194,0.286228913
MFSD2A,1.643873104,1.859759036,1.30881535,0.972439237,1.307272291,0.945902346
