gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
OR4F29,0.759484013,0.875117031,0.721330091,0.605351569,0.560865199,0.54390935,0.921730936,-0.250278604,-0.107794101,-0.494361874,0.025572814,-0.280295289,-0.010239054,0.099979047,-0.199309938,0.584088218
MRPL20,2.491906402,2.449508408,1.141922982,1.20483069,2.314300004,2.366640881,2.308623101,1.76789838,2.185056186,2.249632808,2.230776861,2.370984094,2.260032137,2.232766974,2.046882086,1.232103619
MIB2,-0.277271186,-0.029043332,0.068050407,0.058607824,-0.141910677,-0.176169593,-0.571742848,0.408969006,-0.009991988,-0.440572792,-0.561544989,-0.295827565,-0.742696616,-0.268884364,-0.535830904,-0.64566037
HES2,0.282789891,-0.024055474,-1,-1,0.664701293,0.786738155,0.651257936,0.237395726,0.528556918,0.494298406,0.717240114,0.9120845,0.545073749,0.779012139,0.199944886,-1
NOL9,1.135534465,1.084985297,-0.369730148,0.630600146,1.141683816,1.253315414,1.014275669,1.150289179,1.680888686,1.53847642,1.579132401,1.749486021,1.101388538,1.438496056,1.445541944,-1
CA6,0.497886579,0.737036104,-0.217030889,-1,-1,-0.099778119,-1,0.306239359,0.710850235,0.002608832,0.3926745,0.968564562,-0.487731673,-0.384221016,0.183266954,0.090895765
NMNAT1,1.013806969,1.128852118,-0.285688106,-1,0.994893161,0.919430699,0.628925793,0.93253704,1.205448465,1.200484043,1.219500958,1.442293389,0.751785948,1.564354092,0.881979793,0.113688563
MASP2,-0.295876367,-0.143415917,-1,-1,-0.296129265,-0.086229604,0.33782653,-0.126168139,0.508110199,0.072474674,-0.103156356,0.579674037,-0.130560519,0.509201212,0.311317224,-1
DISP3,0.0860584,-0.08854375,-1,-1,-0.033933331,-0.0925993,-0.304910563,0.274428196,0.412158802,0.401105341,0.357204548,0.161542781,-0.63147728,0.122106463,0.167133724,-1
FBXO2,-0.146652537,-0.371755161,-0.518464521,0.280894031,-1,-0.164504438,-0.39850277,0.023256202,0.410004768,0.069836279,-0.395561384,0.302644729,-1,-0.35232678,-0.220386028,-1
