gene,8C_C1,8C_C2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
MT-ND4,4.355247064,4.398792993,4.454615461,4.125835714,4.3231869,4.019185273,4.472957173,4.325286962,4.331780662,4.303111999,4.288781592,4.224429721,4.289712223,4.275874075,4.301223865,4.555739242
MT-ND1,4.21686918,4.208428188,4.327322146,3.891216441,4.040615392,4.118107253,3.976862987,4.192100015,4.184279081,3.818355964,3.927303263,3.960741782,3.880749301,3.996159628,4.047685208,4.185477275
MT-ND5,3.800313726,3.855370792,4.001315655,3.700049014,3.729995151,3.50147103,3.789689343,3.906756308,3.754625187,3.690920304,3.628256271,3.627113401,3.4743831,3.617437353,3.754560996,3.877339262
MT-ND6,3.752340518,3.831495634,3.963831727,3.70572605,3.687042315,3.524251203,3.828362167,3.898090769,3.748534084,3.673114671,3.655146121,3.653943443,3.473154589,3.625610797,3.696868502,4.053646114
H1-1,3.288621191,3.277932924,3.114225218,3.218387915,2.256239181,2.130765596,1.961635483,3.153944067,2.958678533,2.411504047,2.707807866,2.6833133,2.256241829,2.032837464,2.88569682,3.498990416
CCNB1,2.95728166,2.965347633,2.940352847,3.247191569,2.94080844,2.587495223,2.832491221,2.637079558,3.053290158,3.112213088,3.150330838,2.918066107,3.04538049,3.172511276,3.164248137,3.103994837
H3-5,2.734242087,2.76770251,1.809187274,2.213893186,1.946469017,1.716718672,2.113663309,1.403625417,1.544141248,1.26491954,1.825876084,1.359849895,1.15213142,1.293392612,1.536418789,1.993623973
MBD3L5,2.507825389,2.674856733,-1,-0.652469572,2.391047727,1.833917063,0.236389365,1.910979751,1.807784845,0.650137658,2.127690701,1.416286105,0.061132672,1.12836243,2.013079182,-1
TCL1A,2.483451924,2.436179032,2.978706603,3.510677289,2.0301174,1.892229324,2.106819947,2.909605179,2.701598721,2.116832138,2.620002101,2.44714919,1.635129733,2.036501941,2.837096675,3.296915167
DNAJA1,2.394255328,2.348755283,2.411708576,2.609313681,2.527869277,2.553082727,2.317071469,2.568845646,2.602389279,2.682349896,2.694840882,2.228466832,2.290820974,2.150155993,2.733759637,2.55486127
PCP4L1,2.366625781,2.359146508,3.07152285,3.698929084,2.379768335,1.557091135,1.794540706,2.744915656,2.399106279,1.790271861,2.459305447,2.390519264,1.395141132,1.550801051,2.943557376,3.152092998
CDR1,2.354839782,2.293366975,2.051236671,2.008140939,1.56589868,2.536209983,1.557718283,1.802341678,1.972718269,1.697603826,2.002124143,2.1521253,1.63843614,1.829750512,2.054038594,2.318095488
ARL6IP1,2.301536739,2.266432094,1.898847885,2.119507945,2.551597096,2.565147781,2.640736473,2.588143361,2.637582883,2.79302159,2.627190772,2.64719816,2.459032538,2.575888273,2.573754505,2.212855584
SSU72P2,2.066296102,2.249579391,0.662903862,1.279071662,2.394380752,0.831483919,0.793592673,1.380385287,1.574519488,3.142736325,2.128780079,1.782012071,0.928787616,1.726878982,2.897450149,1.360835483
SMN1,2.13876044,2.160544759,2.063023574,2.077061792,2.279077601,2.122765855,1.956974058,2.165930699,2.136473234,2.051250951,2.241591551,2.008787474,2.027703831,2.120042912,2.333964694,2.154170383
TIMM23,2.163332255,2.088331389,2.1969523,2.409116152,2.411664985,2.374892171,2.371093365,2.303715388,2.3094496,2.493177865,2.492917042,2.560462238,2.485014342,2.481919231,2.304469416,2.347342507
SNRPF,2.095378948,2.09323637,1.944540607,1.827643335,1.817367413,2.058921536,1.866057723,1.617039048,2.047385082,1.94539531,1.934919614,1.878749913,2.096084417,1.742534801,1.841817678,2.414199782
DNMT1,2.095730955,2.057295541,2.265101438,1.934060249,1.833370834,1.448709256,1.293227936,2.598048619,1.733571913,1.542186457,2.361802793,2.3455676,1.46920429,2.004864547,2.45691751,2.943098524
HSPB1,2.038517238,2.099196364,3.014467194,2.875315859,2.346793501,2.491277068,1.828511025,2.574376019,2.146120901,1.954538549,1.873840978,2.188306815,1.408903623,2.218588542,2.19170386,1.99570086
SSU72P7,1.973295995,2.143057603,0.242269785,0.787665104,2.094914979,0.355599772,0.187332862,0.820240879,1.070938417,3.051682617,1.672543289,1.772285392,0.293124456,1.243311692,2.651395103,0.720553299
RFPL4B,2.044235883,2.047620607,-1,-1,2.261003881,1.786609544,1.797702172,2.038862076,1.77086239,2.417126279,2.008443457,1.795871887,1.76392737,1.906314674,2.235592071,0.568351236
DUXB,2.060841323,2.020757685,0.986896319,1.378849587,1.753657886,1.750858775,1.574124139,2.043153531,1.958449155,1.784977273,2.162231539,1.832128483,1.167137671,2.091522403,2.270459188,1.278701711
SSU72P3,1.925286817,2.131807545,1.900262995,1.961760992,1.900175778,0.188979921,0.645225908,1.42657079,1.22317393,2.623121258,1.91331243,1.641754328,0.201707848,1.261918218,2.373925156,1.931952248
MBD3L3,1.886484859,2.13232438,-1,-1,2.461172458,1.985476098,-0.038650725,2.077937384,2.063004041,0.749490197,2.110955508,1.483743301,0.006262668,1.23159089,2.215780278,-1
MED19,2.05795541,1.949310802,1.991836938,2.078368718,2.0442249,2.138141269,1.864634292,1.777859524,2.18324706,2.156815582,2.302710932,2.097161831,1.694417139,1.91114061,2.068308709,2.127390561
AP001931.1,2.019474384,1.970110182,2.158016728,2.365509512,2.067013542,2.089912879,2.055683683,2.235754373,2.105487362,2.020484343,2.16284986,2.244295433,1.929294035,2.061519955,2.241455578,2.124022386
OTX2,1.958128654,1.976309437,3.233894754,3.660310117,2.163707479,1.352441859,1.945664466,3.013347116,2.366346739,2.033078998,2.590447805,2.347694865,1.649920469,1.748026998,3.102893142,3.551094976
RSL1D1,1.951315221,1.967410974,1.391585003,1.511451524,2.057534122,2.022140396,1.880265578,1.914590492,1.961194062,2.269013452,1.978584346,2.040792945,2.021879072,2.076486429,2.137194545,1.65533536
LTV1,1.959325547,1.954235561,1.606141469,1.197244159,2.060231573,1.835386205,1.813445876,1.719976282,1.828476088,2.052330275,2.24602365,2.119817864,1.968969646,2.119620728,2.181071744,1.955219393
CDK2AP2,1.960473013,1.93592423,2.412321585,2.628108541,2.089117725,1.896218685,1.937439351,2.118494547,2.166010715,1.978531966,2.083963902,2.144020635,1.67980851,2.240239641,2.332758508,2.785491633
DNAJB1,1.920852714,1.94725075,2.365971617,2.862897043,1.886918943,2.020998167,1.622340043,2.45766848,2.382138484,2.085659055,2.474841751,2.097587678,1.588179795,2.019004482,2.742736126,2.325686597
H1-8,1.90894968,1.940765585,3.382387386,3.772637043,2.004292133,0.474861979,1.304656157,2.647513337,1.886266696,1.171562941,2.091181754,1.856945923,0.696705432,1.151952707,2.194136216,2.662593807
SSU72P5,1.808177268,1.996025709,1.115799164,1.461799157,1.894554859,0.355599772,0.387197199,1.083177494,1.152086442,2.732995886,1.692201605,1.4349505,0.147597804,1.159715742,2.457529022,1.548072704
ZMAT2,1.932234532,1.861693703,1.531477512,1.417717253,1.44056261,2.086179312,1.604148262,1.334035944,1.648265237,1.547987371,1.713845646,1.546432472,1.638031859,1.615102719,1.706658564,1.977324237
HMGB3,1.921844613,1.857213049,2.180930324,2.576239619,2.290078261,1.762025807,2.020862421,1.961201091,2.229602756,1.789445115,2.304402626,2.14618418,1.835472355,2.133151064,2.034392197,2.008182708
KIF2C,1.893318164,1.865860709,1.684882752,2.040790323,1.303259038,1.772323441,1.330500884,2.129175483,1.645539303,1.757622079,2.062861378,1.747914827,1.418193798,1.686413327,2.153786066,1.80845827
MBD3L4,1.740798266,1.998219701,-1,-1,1.930465183,1.205586505,-1,1.510315336,1.397053839,0.31814601,1.745723405,0.985667762,0.006262668,0.572514265,1.674170587,-1
PAIP2,1.857095319,1.853026361,1.876630975,2.139632916,2.212183341,2.112622762,2.09522237,1.703151263,2.159773765,2.123925432,2.222441504,2.283013866,2.198885169,2.466134334,2.172669179,2.159517866
TPX2,1.926914525,1.780235199,1.299896312,1.310067435,1.789204419,2.008276885,1.785972116,1.944704402,1.647445469,1.979713184,1.976205312,1.910281155,1.686912218,1.819476351,2.06543891,1.435048917
RFPL4A,1.787006814,1.919517083,0.451866995,-1,1.588086406,1.499680073,1.286002626,1.751591622,2.043565425,1.31041672,2.173284775,1.629360356,0.914455128,1.316189326,1.984523893,-1
PNN,1.883186347,1.790708201,1.309832578,1.235822001,1.468804281,1.450413247,1.438871939,2.008862372,1.847817929,1.584519943,2.007110801,1.855612486,1.592527939,1.686754835,2.046412434,1.402011226
AL365214.2,1.800012565,1.831512662,-1,-1,1.999695105,1.468417639,1.550903981,1.799242995,1.506028671,2.141553239,1.714362959,1.575571264,1.478336446,1.631794412,1.981584097,0.30732464
METAP2,1.808389922,1.808158219,1.201882771,0.998039083,1.688447054,1.777375995,1.787400392,1.769862239,2.175475282,2.144454021,2.107019245,2.050334894,1.877738383,1.775729253,1.968536648,1.80451173
ZCCHC17,1.84534688,1.756248816,2.004786919,1.945642952,1.953902593,1.996051625,1.914161181,2.007589447,2.0422397,1.958000805,2.151809616,2.154958485,1.906883291,1.942019564,2.246149068,2.456616952
ACCSL,1.774319116,1.815961936,2.728763936,3.340143574,1.621869975,1.158133824,1.098947453,2.242372448,1.582393506,1.258322101,2.07083771,2.005104118,1.044534665,1.368531583,2.348267664,2.912109242
SF3A3,1.798525461,1.747892519,2.039313782,2.155576867,2.042739593,1.833817124,1.981655899,1.960144557,1.948200876,2.229958745,2.171322877,2.055583409,2.030508105,1.952988376,2.241500273,2.318714257
TXN2,1.860062846,1.685840227,1.985675662,2.078957165,1.907908258,2.107656588,1.886295192,1.994931287,2.111997704,2.364333512,2.158591341,2.329833176,2.129839357,2.352869896,2.220250649,2.185062835
UCHL1,1.761178749,1.750208837,2.021370838,2.317760267,1.292967864,1.025733394,1.128823339,2.060736736,1.655204919,1.042501877,1.683852079,1.756409395,0.797667434,0.798128972,1.871612511,2.844045463
IL17B,1.730254748,1.767063949,1.871761439,1.084555903,1.355518757,1.321930289,0.938416493,1.67292205,1.859185929,1.220872401,1.319598813,0.373253967,0.976599432,0.609362048,1.301361887,2.027082016
RFPL4AL1,1.66955247,1.797947472,-0.176592485,-1,1.281472669,1.090631506,1.080601237,1.535391857,1.804328722,1.14188855,1.900987699,1.503259675,0.305652476,0.891535116,1.880132817,-1
CDCA8,1.739445968,1.725183181,1.949110068,2.345403136,1.61262798,1.792920234,1.729169259,1.886096541,2.044049614,1.873260529,1.897913879,1.946783808,1.688788726,1.673201043,2.016307183,2.075547832
TBP,1.708886985,1.661202068,1.47989102,1.540415199,1.518831254,1.281807358,1.403905661,1.501658914,1.429034213,1.469379988,1.462699204,1.54956564,1.307577755,1.377791828,1.761316917,1.540386167
WBP11,1.702885532,1.658277333,0.920179123,0.853617306,1.430664309,1.665457345,1.327529553,1.81444891,1.64036783,1.621175243,1.57065115,1.651543454,1.237315472,1.589309411,1.913502903,1.349323189
OAT,1.620944943,1.711803519,1.865532192,2.401288851,1.562833552,1.533144305,1.248325712,1.927106986,1.814642012,1.303137067,1.569331063,1.746238718,1.626105908,1.00684754,1.829048654,2.063739686
KIF23,1.725816191,1.602121223,0.959298934,0.221815742,1.757231315,1.562190883,1.418380021,1.902043326,1.994509397,1.594875531,1.891933271,1.904345345,1.556188001,1.693137966,1.738404509,1.607616379
PTRH2,1.686843984,1.636547871,1.192796805,1.586089719,1.682346827,1.648258892,1.586374718,1.445892548,1.773081644,1.62572504,1.526188153,1.790860909,1.703011878,1.83653178,1.681623791,1.596378464
ZNF830,1.72271074,1.594602795,0.787239871,0.946315667,1.298113492,1.650990878,1.454213379,1.980360937,1.896124916,1.750023072,1.678585293,1.583197527,1.480502216,1.473127123,1.843550936,1.468774767
SNW1,1.731952969,1.582624627,1.68059574,1.927677956,2.00025937,1.725913428,1.729093482,1.956521295,1.955522514,2.189157236,1.927780901,1.998926183,2.171871779,1.959167892,2.328577743,2.099641629
