gene,Ctrl_1,Ctrl_2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
AC113348.2,1175.332,1078.733,14.22139,12.29097,58.50542,590.6644,86.2131,262.7087,582.6285,487.5276,849.6817,580.0401,96.01149,915.3179,563.5629,6.810651
FOXR1,978.2108,915.3448,30.59788,73.16983,450.6158,516.519,443.2896,421.4362,460.5018,529.7547,793.3231,453.1826,547.7281,407.3619,352.7236,14.24277
C19orf53,766.8881,676.8099,12.23417,20.63883,286.827,655.8366,334.4828,237.6529,388.1301,402.6143,457.0292,642.7417,294.188,550.6866,158.525,22.75719
EIF1B,705.9732,683.6811,21.42113,46.25333,157.5617,229.7357,110.6002,330.9087,201.6815,243.3428,355.015,416.324,161.9141,399.8206,235.6496,54.70218
LEUTX,564.7252,658.7446,0,0,365.051,36.09757,5.909832,205.6052,111.6208,59.21141,123.4425,13.46999,2.696832,46.50306,162.0453,0
UBL5,619.9529,590.3395,85.05156,77.30571,302.3874,636.6461,348.512,216.2837,357.5331,275.2932,603.5392,369.557,346.5152,403.0007,218.2807,42.37265
RPL30,544.0839,544.6071,236.1522,172.6354,219.7552,295.0371,319.8457,148.6119,175.847,277.9634,251.9841,237.6685,316.6576,199.7299,196.1922,170.5804
MAP1LC3B2,545.9988,529.8924,9.776214,9.265959,82.12093,190.332,127.231,188.7465,268.9616,245.2843,383.7297,98.44407,102.7237,151.6129,172.0801,48.45747
SNU13,528.9916,469.4094,11.95935,31.96876,161.6623,290.0666,100.8643,141.9238,230.5955,277.8742,376.5266,280.1026,168.3463,271.7111,362.0295,27.12988
FAM32A,495.4478,501.2243,12.97293,14.74717,141.8671,383.5746,167.7117,295.1095,291.7496,303.2633,334.9367,269.2199,135.973,279.6808,360.1689,6.383751
MED31,447.4339,433.6776,1.066933,4.934481,51.605,109.3905,43.15952,175.6841,180.873,56.9738,141.4795,149.1851,27.9197,122.4943,106.0109,2.814692
PRAMEF11,308.9783199,294.8924886,0,0,85.24971634,13.202714,8.671108954,76.94992228,97.94325781,13.13171718,90.93944309,87.0817487,6.175949709,49.37266008,172.6085082,0
