TE,Ctrl_1,Ctrl_2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
dup2911,84.42843962,77.51419654,0,0,0.70598304,0.43584401,0,10.23393935,7.977058776,1.586593062,1.63820686,12.12173633,0.132921918,0.744143721,11.8528108,0.840913004
dup349,32.00368796,26.50626209,0,0,1.002605372,0.812392963,0.394861457,2.369638131,0.432025178,0.482830314,1.454067329,0.886596306,0,0.288218033,0.348265427,0
dup3014,27.91063696,26.38650163,0,0,4.62049326,1.309819926,0.742740273,0.066859869,2.356672776,0.544926601,2.21544904,0.813004158,1.438068627,7.318922495,0.982638673,0
dup1323,21.47794485,27.54776006,0,0,0,0.242253103,0,0,0.225450032,0,2.124632359,1.850662191,0.369406787,2.030468061,0.181740454,0
dup787,21.39072391,25.55269787,0,0,0,2.898759792,0,0.46421157,0.634752254,0.472931742,1.210618699,2.333878942,0.069337402,0.352886544,0,0
dup2316,12.65985392,25.36992164,0,0,0.254799238,1.592685293,0.802791614,1.987302901,0.439174531,0,0.665158459,0.337975542,0,1.318444194,0.265521514,0
dup1806,10.08662176,24.63713811,1.233421588,0,0.183768248,0.701976382,0,0.065149897,0.712675805,0.26549493,1.759012395,0.30469662,0.07784941,0.158483062,2.393768122,2.407797506
dup341,14.01165618,17.27456225,0,0,0.495540586,0,0,0,0.854118742,0,0,0.164326039,0,0,0,0
dup3650,9.400621907,19.46085051,0,0,0,0,0,0.385963786,0,0,0.236836724,0.120339776,0,0,0,0.432253822
dup3420,9.258071493,15.85058993,0,0,2.12294092,1.020766483,0.514516444,1.157891359,0.844412847,3.656890956,3.268346792,0.758140591,0.691798165,0.492918341,2.297364551,0.77805688
dup3500,7.38229695,17.09309554,0,0,1.986729539,0,0,0.704339444,0.927427321,0,0.432199736,0,0.490953536,0,0.43131951,0
dup3085,10.84924233,13.41175264,0,0,0.620955179,0,0,1.446649452,1.758324694,0.897110645,0.5403386,0,0,1.300539396,0.924408233,0
dup2912,15.54948371,7.66839868,0,0,0.324394515,1.689756405,1.788612468,0.862537582,0.489238444,0.11716537,0.423419154,3.334742876,0.618401971,1.258920754,0.845113621,0
dup2018,9.061113718,13.9994595,0,0,2.917903959,0.886621762,3.447521349,0.517230658,2.828997357,1.712577065,1.983657841,2.056160848,3.322035859,0.943658027,0,0.868896008
dup928,7.569843795,6.953659543,0,0,0,0.829608452,0,0,0,0,0.559685762,0.670332565,0,0.554690716,0,0
dup1924,4.069776592,10.25590009,0,0,0,1.093260781,0,1.116111774,0.398992325,1.070190902,1.853186325,0.429873531,0,0.079854223,0.385964262,0
dup3128,6.342090393,7.576225088,0,0,0.084137453,0,0,1.431771985,0.870120967,0,0,0,0.071285994,0.435364476,0,0
dup3203,6.417967385,6.666366456,0,0,0,0,0,0.093998561,0,0,0,0,0,0,0,0
dup162,5.353244572,5.931746368,0,0,0.420195234,0.583674142,1.985852941,0,0.181063184,0,0.182821331,0,0,0.362379398,0,0
dup3654,5.22684852,5.620868706,0,0,0,0.462075363,0,0.202171507,0.573366748,0.823877123,0.413524439,0,0,0,0,0
dup2599,5.301416077,5.34921318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup3645,3.853306622,6.494411795,0,0,0,0.57581699,0,0.391901691,0,0,0.721441098,0.061095579,0,0,0.09599624,0
dup2005,2.554219447,7.215820976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup3292,3.657439357,4.289060831,0,0,0.328097648,0.056968195,0.387649375,0.116317853,0.070689051,0.237005748,0,0.108800346,0,0,0.085476104,0
dup133,2.363450736,4.747129946,0,0,0.452477235,0,0,0,0,0,0,0,0,0,0,0
dup339,2.554067407,3.220555612,0,0,0,0,0,0,0,0,0,0,0,0,0.083012269,0
dup953,2.725683344,2.91045571,0,0,0,0.057893433,0.393945305,0,0,0,0.072534681,0.055283702,0,0,0,0
dup3653,1.976986853,3.205226933,0,0,0.376195733,0,0,0.200054528,0,0,0,0,0,0,0,0
dup721,2.527473153,1.988596086,0,0,0,0.150313672,0,0,0,0,0,0,0,0,0,0
dup3067,2.582522284,1.875607672,0,0,0,0,0,0.132675052,0,0,0,0,0,0,0,0
dup1149,2.552921814,1.87710218,0,0,0,0.049705318,0,0,0,0.103394938,0,0,0,0,0,0
