gene,Zygote,2C,4C,8C,Morula,ICM,TE
Tigger1,0.030832529,0.062422715,0.057887737,0.057819292,0.071081167,0.201602568,0.163560691
THE1D,0.058783184,0.126426138,0.178484684,0.171985397,0.116086931,0.271743166,0.225658933
THE1B,0.055370624,0.120782894,0.163348946,0.087412051,0.095523,0.262847379,0.231134111
SVA_F,0.040813006,0.086668125,0.088377414,0.282384627,0.671880951,0.578050342,0.362105706
SVA_D,0.058795541,0.11137023,0.134987704,0.483218541,1.253292374,0.92725772,0.466766049
SVA_C,0.063721055,0.115598447,0.145491018,0.637128655,1.650549209,1.02041789,0.465371467
SVA_B,0.068897637,0.125706455,0.169111403,0.545688531,1.412427058,1.007194657,0.463777446
MLT2A1,0.088421688,0.221775781,0.342600753,0.392808906,0.417737458,0.313906397,0.207736462
MLT1E2,0.053969916,0.10633861,0.144397352,0.094236749,0.118157039,0.289986117,0.253870812
MLT1D,0.058757091,0.119872651,0.157744806,0.098049256,0.124999523,0.293182378,0.258112947
MLT1C,0.064314979,0.113281271,0.10811287,0.08647785,0.112803544,0.328006617,0.295167113
MLT1B,0.069070671,0.122872651,0.119458494,0.090976091,0.12248776,0.324012111,0.281296417
MLT1A1,0.058124287,0.115237916,0.120972946,0.084444421,0.100150905,0.279669303,0.234599852
MLT1A0,0.064426961,0.127366824,0.119589753,0.080399833,0.098373259,0.299325106,0.257250225
MLT1A,0.071588057,0.135255724,0.141816724,0.10359243,0.124685375,0.32765773,0.278414057
MIRc,0.076890453,0.127512461,0.120796221,0.093515199,0.143095045,0.390125772,0.349615013
MIRb,0.073898274,0.127967171,0.121600888,0.09740743,0.146349881,0.376307811,0.334481286
MIR3,0.089330678,0.143663219,0.132925681,0.100785709,0.154579169,0.441914624,0.407323138
MIR,0.068260438,0.121543594,0.116681411,0.094311787,0.136819812,0.345625505,0.30411651
MER5A,0.082567467,0.131005973,0.12111985,0.095246406,0.155797748,0.413140069,0.358198172
MamRTE1,0.062522999,0.108671037,0.101943583,0.084592895,0.120553272,0.344528565,0.2973059
LTR7B,0.170081562,0.28012735,0.434606955,1.079284764,4.30669452,1.463386517,0.49252867
LTR7,0.116628584,0.150299941,0.18465215,0.146921214,0.465553079,0.633456244,0.34358066
LTR12C,0.107787959,0.169107828,0.454167582,0.378039402,0.416235307,0.515535065,0.475314825
L3,0.052492702,0.095151164,0.089235054,0.073877614,0.101639173,0.289223715,0.252506869
L2c,0.064960777,0.114354137,0.103141346,0.087239274,0.125799605,0.325895978,0.296006897
L2b,0.086670644,0.140407538,0.124593071,0.098534277,0.147469108,0.385984328,0.365974861
L2a,0.060292736,0.106707506,0.096866321,0.083797282,0.118572649,0.303050847,0.27913799
L2,0.054258959,0.095879084,0.088983017,0.081394963,0.109146285,0.275199974,0.253780147
L1MDa,0.024988559,0.051273169,0.04432207,0.040676783,0.047435136,0.141446838,0.123681586
L1MCb,0.029084917,0.05818924,0.056224107,0.050698806,0.069643004,0.173780419,0.138607016
L1M5,0.022017037,0.046522817,0.045234365,0.042382906,0.047203376,0.132738131,0.103098459
HERVH-int,0.083390296,0.133283815,0.187837387,0.126037163,0.265251535,0.365434835,0.287935134
HAL1,0.032601543,0.063730531,0.061328765,0.057818978,0.076502773,0.194153834,0.164823019
FLAM_C,0.068207113,0.123391232,0.13028984,0.139242921,0.20578213,0.390096666,0.343494699
AluY,0.064726594,0.101764749,0.148412472,0.173275001,0.213904774,0.345899631,0.322595583
AluSz6,0.061663347,0.113791179,0.12807951,0.123381318,0.166250447,0.342369754,0.311713023
AluSz,0.063789812,0.114795325,0.132696663,0.119900284,0.161207425,0.338883579,0.310482187
AluSx3,0.062038797,0.110335245,0.13221438,0.130593166,0.173276367,0.336339558,0.308547218
AluSx1,0.064280187,0.112486672,0.13243767,0.12152519,0.161518094,0.327878749,0.303651905
AluSx,0.064286968,0.11546352,0.133716592,0.133355306,0.181030723,0.342658055,0.317319359
AluSq2,0.056894094,0.104339906,0.121206674,0.117663058,0.160706177,0.306765711,0.279208042
AluSq,0.059659809,0.106693665,0.125898449,0.123554608,0.159694434,0.312405083,0.289087122
AluSp,0.057676588,0.102834364,0.130829659,0.130982646,0.175067543,0.313986913,0.278072402
AluSg,0.059730405,0.10599432,0.130117325,0.128253952,0.165211902,0.323778521,0.296704767
AluSc8,0.063315254,0.111180059,0.132118868,0.147076772,0.187040277,0.342309067,0.316406656
AluSc,0.063419848,0.112358708,0.128503445,0.132042638,0.173514723,0.341688524,0.312435505
AluJr,0.065395062,0.126130309,0.121525243,0.123688086,0.178795083,0.366361716,0.33955387
AluJo,0.068438905,0.12781576,0.124650896,0.121068091,0.167256946,0.376561352,0.344009229
AluJb,0.067671903,0.12650035,0.123928315,0.123043639,0.16992789,0.373144513,0.342553555
