gene,Zygote,2C,4C,8C,Morula,ICM,TE
Tigger1,0.087626878,0.109449174,0.096142061,0.044533084,0.030144162,0.039993489,0.022712389
THE1D,0.409693995,0.592134882,0.544426769,0.157113222,0.025350285,0.028284458,0.01616562
THE1B,0.141465306,0.203564564,0.202920161,0.112434438,0.035255961,0.03003815,0.019410667
SVA_F,0.11060951,0.105147272,0.113173951,0.928293777,0.655776996,0.678868638,0.128299474
SVA_D,0.024528667,0.032715563,0.070816996,1.050687966,0.782897955,0.71723095,0.084212234
SVA_C,0.023687669,0.032856847,0.08375678,1.084045716,0.768233022,0.751580073,0.080716645
SVA_B,0.074430521,0.095063175,0.125002916,0.666549418,0.484564893,0.48121084,0.067216839
MLT2A1,0.044177312,0.070828151,0.570572588,1.175965839,0.35639681,0.03862599,0.008661104
MLT1E2,0.553589399,0.751698625,0.632244278,0.300724872,0.062521573,0.027101506,0.014356825
MLT1D,0.26585408,0.326097186,0.350595692,0.187258213,0.058349443,0.03427137,0.021972667
MLT1C,0.218885393,0.311959138,0.26476316,0.122353248,0.059280651,0.043502968,0.021871166
MLT1B,0.135354481,0.175003366,0.195315938,0.074990441,0.036669137,0.027269296,0.019603931
MLT1A1,0.35757044,0.531137685,0.497352321,0.224701945,0.048427774,0.043952152,0.026009668
MLT1A0,0.128722615,0.147506842,0.160948925,0.100508608,0.032735705,0.041534487,0.024245676
MLT1A,0.143013374,0.195857363,0.247451087,0.141558398,0.078348995,0.063477184,0.024328844
MIRc,0.191025472,0.23837171,0.205318447,0.068206885,0.05030557,0.087822883,0.053328624
MIRb,0.129368067,0.17143777,0.161365036,0.054837401,0.042522557,0.059410961,0.041789986
MIR3,0.220353115,0.263482455,0.217764084,0.093129762,0.068354156,0.095755321,0.068582777
MIR,0.143214238,0.167593934,0.142777979,0.04523597,0.035835749,0.060124571,0.041156156
MER5A,0.310873693,0.378572801,0.314859865,0.09637712,0.067884027,0.064877154,0.054864628
MamRTE1,0.619700171,0.824271126,0.819645468,0.391944472,0.478208002,0.438852472,0.572208555
LTR7B,0.435959588,0.504617099,0.688424718,1.396391301,1.996391371,0.961609694,0.37527212
LTR7,1.31099657,1.764038196,1.349909475,0.410249622,0.445495448,1.349244686,0.134855296
LTR12C,0.801680939,1.292963527,1.500578332,0.507804545,0.207560049,0.04799774,0.058675075
L3,0.268314581,0.304680107,0.258996899,0.063866403,0.048442604,0.07356467,0.052704721
L2c,0.129149187,0.164304333,0.147365869,0.05076352,0.039691251,0.063613127,0.040395667
L2b,0.117231947,0.159904451,0.15184683,0.04689508,0.037750464,0.051594571,0.033599806
L2a,0.130705527,0.17710661,0.193335952,0.041397914,0.031495899,0.049566169,0.028590899
L2,0.157597999,0.227888209,0.230008122,0.051413745,0.047394823,0.047568776,0.028783794
L1MDa,0.894174893,1.559971641,2.032524209,0.160473572,0.043754248,0.042790805,0.01666408
L1MCb,1.125028489,2.387673292,2.750995479,0.312288836,0.024488545,0.013519149,0.006299609
L1M5,0.151567337,0.133433151,0.103760056,0.036286374,0.029213489,0.057151142,0.028691943
HERVH-int,1.124161039,1.606363681,1.468234461,0.408305132,0.648024091,0.940985746,0.179301936
HAL1,0.126653332,0.152023589,0.144112242,0.051870587,0.034072973,0.052676534,0.027995086
FLAM_C,0.230998401,0.259455162,0.226521321,0.276801556,0.291954867,0.619594279,0.458123189
AluY,0.115803944,0.127118746,0.107647016,0.104598839,0.114876179,0.213990351,0.117093617
AluSz6,0.089122922,0.096375484,0.095705985,0.06828746,0.063185844,0.133421607,0.067815274
AluSz,0.097035252,0.111912641,0.102492663,0.074692463,0.072137194,0.128040896,0.074020381
AluSx3,0.100792365,0.120896982,0.100853816,0.082103119,0.082442034,0.168077221,0.090146824
AluSx1,0.116434128,0.128613795,0.108466848,0.083507906,0.081681178,0.145682742,0.085167025
AluSx,0.09401109,0.108664632,0.094918771,0.080467169,0.080425304,0.143739482,0.086564525
AluSq2,0.099520555,0.113550402,0.096357434,0.076839359,0.073586378,0.133654501,0.077178577
AluSq,0.127890603,0.147992815,0.124066998,0.082537341,0.074041838,0.13491156,0.07111869
AluSp,0.123775485,0.139176826,0.132155907,0.103644415,0.100916434,0.173024292,0.106771614
AluSg,0.106613024,0.128429729,0.106635079,0.083625567,0.092306954,0.163355485,0.099667836
AluSc8,0.109007336,0.124240219,0.10826806,0.084824061,0.086114649,0.162220972,0.095320007
AluSc,0.152088525,0.163209207,0.126259238,0.089186953,0.085572659,0.17026636,0.102388073
AluJr,0.12570676,0.160358653,0.135195139,0.072345407,0.070046472,0.126658383,0.070850468
AluJo,0.132874683,0.158894637,0.142142949,0.076585671,0.069998635,0.126288635,0.06979705
AluJb,0.161710071,0.188422598,0.148837672,0.088437298,0.087357625,0.151782096,0.078005417
