gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup161,0,0.055268155,2.336651738,216.4784021,186.7239407,0.118137377,0
MLT2A1_dup2477,0,0.026253391,9.262160061,93.20100481,48.6873949,15.23289305,0
MLT2A1_dup287,0,0.142212685,0.810594721,92.33850677,65.92688398,0.022055814,0
MLT2A1_dup2911,0.014776286,0.245296177,9.529777635,80.97131885,0.687359024,0.021285305,0
MLT2A1_dup346,0,0,4.034274724,79.36012014,8.933830696,0,0
MLT2A1_dup1692,0,0,0.323107827,40.82112003,18.91112803,0.02407079,0
MLT2A1_dup1053,0,0,0.318698109,33.6520341,2.574132009,0,0
MLT2A1_dup2893,0,0,1.347746634,33.06954343,7.527998255,0.0237701,0
MLT2A1_dup2089,0,0.07189488,0.892693072,28.30443581,2.375866745,0,0
MLT2A1_dup1730,0,0.023518078,1.817066298,28.21050301,27.27515874,0.115631075,0
MLT2A1_dup3014,0,0.025977765,1.106094207,27.14856955,1.812986071,0,0.025708365
MLT2A1_dup2322,0,0,0.399198176,26.49244884,2.257101606,0,0
MLT2A1_dup1948,0,0,2.456920457,25.68518616,0.559989766,0,0
MLT2A1_dup537,0,0,0.506610678,24.79688713,6.57395594,0.026960298,0
MLT2A1_dup1323,0,0,2.113948605,24.51285269,1.622251075,0,0
MLT2A1_dup787,0.061663223,0,1.486751618,23.47171112,2.214157901,0.022206537,0
MLT2A1_dup3401,0,0.009260897,9.98603133,23.36550275,0.417756387,0,0.105932508
MLT2A1_dup3062,0,0,4.195725863,20.50452931,0.725085846,0,0
MLT2A1_dup1806,0.602624297,0.579100415,1.67686749,17.3618801,1.083026858,0.024932659,0
MLT2A1_dup3543,0,0.024061221,8.773070084,15.45277959,2.577632223,0,0
MLT2A1_dup3505,0.062859432,0.207885699,7.147768147,14.58816376,4.62875854,0.022618723,0
MLT2A1_dup3650,0,0,2.715202136,14.43073635,0.55857565,0,0
MLT2A1_dup3405,0.016307322,0.023849466,8.78367445,14.02172483,3.425734868,0.023490771,0
MLT2A1_dup3456,0,0.008114103,0.890911317,13.45516224,36.71511511,0.955149627,0
MLT2A1_dup1096,0,0,0.965772625,13.01451613,0.01953837,0,0
MLT2A1_dup3085,0,0,0.613201826,12.1304976,0.549679456,0,0
MLT2A1_dup3440,0,0,1.522171445,11.62832967,6.071085764,0,0
MLT2A1_dup3554,0.014037521,0.008996985,7.922042728,11.60228095,0,0,0
MLT2A1_dup519,0,0,2.906560481,11.45463037,0.58565518,0,0
MLT2A1_dup3259,0,0,3.13046357,11.18614586,2.836953676,0.023434302,0
MLT2A1_dup1835,0.048454931,0.75589716,3.279422334,10.33009382,0.17131857,0,0
MLT2A1_dup2417,0,0,3.486472761,10.31231991,0.793944787,0,0
MLT2A1_dup2805,0,0,3.183303998,9.968969878,0.034817174,0.024130371,0
MLT2A1_dup1159,0,0,5.851537794,9.069792824,0.218861806,0,0
MLT2A1_dup2680,0,0,2.113666141,7.652957783,0.26231732,0,0
MLT2A1_dup1842,0,0.007751867,1.2946701,7.597465387,0.633394624,0,0
MLT2A1_dup2844,0,0.021705106,7.191645142,7.570121156,1.20410637,0,0
MLT2A1_dup1924,0,0.051018188,3.590575941,7.162838411,0.255041459,0,0
MLT2A1_dup3252,0,0,0.331433952,6.994605188,0,0,0
MLT2A1_dup1894,0,0,1.34777312,6.855072044,0.403637275,0,0
MLT2A1_dup1947,0,0,5.217799932,6.6366486,1.703691584,0,0
MLT2A1_dup2942,0,0,1.715778871,6.523334898,0.031467871,0,0
MLT2A1_dup604,0,0.073862153,0.612850509,6.386783118,0.477838871,0,0
MLT2A1_dup106,0,0,1.464662312,6.244878054,0.184791945,0,0
MLT2A1_dup2760,0,0,1.615065692,5.34735195,0,0,0
MLT2A1_dup3645,0,0,2.337952362,5.173859258,0,0,0
MLT2A1_dup1969,0.011359503,0.020749536,5.870600785,4.888361935,0.676202769,0,0
MLT2A1_dup2847,0,0,0.091237942,4.845087542,0.068968558,0,0
MLT2A1_dup1351,0.360301575,0.518931739,2.165682515,4.589138479,0.040052383,0,0
