gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup161,0,0.055268155,2.336651738,216.4784021,186.7239407,0.118137377,0
MLT2A1_dup2477,0,0.026253391,9.262160061,93.20100481,48.6873949,15.23289305,0
MLT2A1_dup287,0,0.142212685,0.810594721,92.33850677,65.92688398,0.022055814,0
MLT2A1_dup1692,0,0,0.323107827,40.82112003,18.91112803,0.02407079,0
MLT2A1_dup2089,0,0.07189488,0.892693072,28.30443581,2.375866745,0,0
MLT2A1_dup537,0,0,0.506610678,24.79688713,6.57395594,0.026960298,0
MLT2A1_dup3401,0,0.009260897,9.98603133,23.36550275,0.417756387,0,0.105932508
MLT2A1_dup3062,0,0,4.195725863,20.50452931,0.725085846,0,0
MLT2A1_dup1806,0.602624297,0.579100415,1.67686749,17.3618801,1.083026858,0.024932659,0
MLT2A1_dup3505,0.062859432,0.207885699,7.147768147,14.58816376,4.62875854,0.022618723,0
MLT2A1_dup3405,0.016307322,0.023849466,8.78367445,14.02172483,3.425734868,0.023490771,0
MLT2A1_dup3500,0.024969968,0.09122146,2.962404078,12.23769636,1.227147745,0,0
MLT2A1_dup2912,0,0,2.759414322,11.60894131,0.870506191,0,0
MLT2A1_dup2833,0,0,2.392309977,11.60131911,13.6181963,1.80111634,0.231984166
MLT2A1_dup2417,0,0,3.486472761,10.31231991,0.793944787,0,0
MLT2A1_dup2805,0,0,3.183303998,9.968969878,0.034817174,0.024130371,0
MLT2A1_dup106,0,0,1.464662312,6.244878054,0.184791945,0,0
MLT2A1_dup3475,0.023975589,0,0.113941625,4.367001529,3.611015314,0,0
MLT2A1_dup3448,0,0.045455971,6.275333491,3.868084923,0.502856613,0,0
MLT2A1_dup165,0,0,0.76957974,3.407199398,0.73172763,0,0
MLT2A1_dup2727,0,0.015749824,0.408742971,2.086142678,0.092395972,0,0.090078663
MLT2A1_dup1074,0,0.009115056,1.913893802,2.017780412,0,0,0
MLT2A1_dup46,0,0,0.921539929,1.988755701,0.368933213,0,0
MLT2A1_dup3455,0,0,0.285207326,1.80837552,1.995729372,0,0
MLT2A1_dup142,0,0,2.332130323,1.684199426,0.040517027,0,0
MLT2A1_dup3711,0.53260726,0.395130124,1.787150166,1.682319975,0.297484399,0,0.08827709
MLT2A1_dup2319,0,0.023017508,4.575490147,1.553121582,0.556071078,2.133412647,0
MLT2A1_dup375,0,0,0,1.142828029,0.485060621,0,0.337221738
MLT2A1_dup2476,0,0,0.025750807,1.018632351,0.069851355,0,0
MLT2A1_dup1616,0.413061879,1.731071893,1.66434279,0.850155667,0,0.076262186,0
MLT2A1_dup966,0,0,0.014499329,0.797037166,1.904192405,0,0
MLT2A1_dup1838,0,0,0,0.795438442,0,0,0
MLT2A1_dup751,0.318289133,0.267488566,0.368173481,0.753423526,0.030396586,0.45473505,0
MLT2A1_dup1976,0.014684236,0,2.002303836,0.735201567,0.252398753,0,0
MLT2A1_dup3370,0,0,0.984630591,0.680177498,0.115586802,0.022777266,0
MLT2A1_dup19,0,0,0.300951844,0.650843581,0.20672802,0,0
MLT2A1_dup376,0,0,0,0.531835956,0,0,0.2435316
MLT2A1_dup229,0,0,0.627030796,0.413184908,0.039622924,0,0
MLT2A1_dup1837,0,0,0.017167205,0.382627578,0.053032225,0,0
MLT2A1_dup108,0,0,0.251091311,0.37190762,0.019354911,0,0
MLT2A1_dup3308,0,0.087978031,0.727955547,0.355127087,0.038806309,0,0
MLT2A1_dup3596,0,0,0.057997314,0.345273588,0.990887129,0,0
MLT2A1_dup2658,0,0.116160006,0.402996751,0.32771727,0.053525943,0,0
MLT2A1_dup3220,0,0,0.345452232,0.323915343,0,0,0
MLT2A1_dup3457,0.012203791,0,0.043497985,0.262334665,0.485078854,0,0.465727279
MLT2A1_dup152,0,0,0.211258395,0.186995467,0.819958639,0.044718669,0
MLT2A1_dup1733,0,0,0.222729163,0.152341417,0.415603266,0.022514249,0
MLT2A1_dup2237,0.01622911,0.237350802,0.405844802,0.150386032,0,0.071324347,0
MLT2A1_dup100,0,0,1.007442103,0.145458117,0.162823671,0,0
MLT2A1_dup526,0,0,0.172298588,0.08884535,0,0,0
MLT2A1_dup3565,0.013614279,0,0.080875651,0.085617577,0.020716563,0,0
MLT2A1_dup246,0,0,0.028868618,0.056217217,0,0,0
MLT2A1_dup3403,0,0,0.593686713,0.053683566,0.035520551,0,0
MLT2A1_dup821,0,0,0.471005994,0.045758696,0,0,0
MLT2A1_dup1465,0,0,0.441964347,0.037165545,0,0,0
MLT2A1_dup356,0,0,0,0.029860421,0.034990394,0,0
MLT2A1_dup3121,0,0,0.015817449,0.016744863,0.014302079,0,0
MLT2A1_dup3449,0.169188467,0.173641808,18.37530611,0,0,0,0
MLT2A1_dup2478,0,0,0,0,0,0,0
