type,length
8C_fusion,444
8C_fusion,725
8C_fusion,589
8C_fusion,1011
8C_fusion,2380
8C_fusion,406
8C_fusion,1513
8C_fusion,477
8C_fusion,905
8C_fusion,512
8C_fusion,986
8C_fusion,756
8C_fusion,467
8C_fusion,231
8C_fusion,523
8C_fusion,996
8C_fusion,555
8C_fusion,1033
8C_fusion,655
8C_fusion,822
8C_fusion,1190
8C_fusion,1520
8C_fusion,616
8C_fusion,386
8C_fusion,902
8C_fusion,414
8C_fusion,292
8C_fusion,1294
8C_fusion,984
8C_fusion,352
8C_fusion,1629
8C_fusion,2009
8C_fusion,436
8C_fusion,892
8C_fusion,624
8C_fusion,826
8C_fusion,241
8C_fusion,2277
8C_fusion,399
8C_fusion,9418
8C_fusion,527
8C_fusion,917
8C_fusion,844
8C_fusion,471
8C_fusion,1315
8C_fusion,453
8C_fusion,855
8C_fusion,237
8C_fusion,613
8C_fusion,812
8C_fusion,2393
8C_fusion,1048
8C_fusion,393
8C_fusion,764
8C_fusion,241
8C_fusion,334
8C_fusion,2279
8C_fusion,2080
8C_fusion,779
8C_fusion,623
8C_fusion,1644
8C_fusion,1171
8C_fusion,611
8C_fusion,1093
8C_fusion,692
8C_fusion,988
8C_fusion,267
8C_fusion,691
8C_fusion,1266
8C_fusion,392
8C_fusion,346
8C_fusion,630
8C_fusion,990
8C_fusion,1026
8C_fusion,352
8C_fusion,210
8C_fusion,606
8C_fusion,569
8C_fusion,588
8C_fusion,314
8C_fusion,1266
8C_fusion,1113
8C_fusion,444
8C_fusion,536
8C_fusion,538
8C_fusion,1345
8C_fusion,491
8C_fusion,636
8C_fusion,1049
8C_fusion,1677
8C_fusion,477
8C_fusion,598
8C_fusion,1030
8C_fusion,296
8C_fusion,907
8C_fusion,560
8C_fusion,431
8C_fusion,860
8C_fusion,1021
8C_fusion,1372
8C_fusion,659
8C_fusion,821
8C_fusion,657
8C_fusion,544
8C_fusion,1134
8C_fusion,502
8C_fusion,765
8C_fusion,332
8C_fusion,1452
8C_fusion,569
8C_fusion,580
8C_fusion,1736
8C_fusion,1050
8C_fusion,1028
8C_fusion,1339
8C_fusion,1131
8C_fusion,1940
8C_fusion,562
8C_fusion,547
8C_fusion,453
8C_fusion,494
8C_fusion,631
8C_fusion,349
8C_fusion,932
8C_fusion,378
8C_fusion,386
8C_fusion,1044
8C_fusion,1022
8C_fusion,2671
8C_fusion,883
8C_fusion,385
8C_fusion,718
8C_fusion,365
8C_fusion,1154
8C_fusion,395
8C_fusion,887
8C_fusion,418
8C_fusion,748
8C_fusion,582
8C_fusion,451
8C_fusion,2112
8C_fusion,2799
8C_fusion,3036
8C_fusion,355
8C_fusion,841
8C_fusion,1972
8C_fusion,475
8C_fusion,581
8C_fusion,383
8C_fusion,565
8C_fusion,1736
8C_fusion,681
8C_fusion,728
8C_fusion,1085
8C_fusion,1697
8C_fusion,854
8C_fusion,462
8C_fusion,760
8C_fusion,1238
8C_fusion,1321
8C_fusion,705
8C_fusion,807
8C_fusion,412
8C_fusion,855
DUX4_fusion,346
DUX4_fusion,1154
DUX4_fusion,1633
DUX4_fusion,345
DUX4_fusion,578
DUX4_fusion,1306
DUX4_fusion,522
DUX4_fusion,1036
DUX4_fusion,621
DUX4_fusion,1182
DUX4_fusion,717
DUX4_fusion,1477
DUX4_fusion,1349
DUX4_fusion,751
DUX4_fusion,921
DUX4_fusion,1130
DUX4_fusion,1340
DUX4_fusion,1198
DUX4_fusion,1397
DUX4_fusion,1195
DUX4_fusion,427
DUX4_fusion,902
DUX4_fusion,840
DUX4_fusion,469
