gene,Zygote,2C,4C,8C,Morula,ICM
MLT2A1_dup1001,0,0,1.169368975,0.202199043,0,0
MLT2A1_dup1011,0,0.013627055,6.605689247,5.427507042,3.384870475,0.011794279
MLT2A1_dup1020,0.011734211,0.022856395,1.930726512,2.377927872,0.222552454,0
MLT2A1_dup1053,0,0,0.491943308,48.17062504,3.537787965,0.016673962
MLT2A1_dup106,0.005342359,0.001505379,1.323155721,1.861738371,0.033046234,0
MLT2A1_dup1074,0.014294002,0.081826715,1.997663116,3.816570979,0,0
MLT2A1_dup1076,0.287923311,0.287388235,0.172904681,0.480713325,0.056314743,0.022121892
MLT2A1_dup1092,22.08383554,16.08295848,13.7626666,17.96577687,0.521003588,0.244821774
MLT2A1_dup1096,0,0.010916701,0.783516724,13.89627068,0.019526313,0
MLT2A1_dup111,0.040496778,0.250218922,2.962000458,0.856635649,0.017257142,0
MLT2A1_dup1159,0.011771531,0.03997041,7.208978371,12.40365336,0.105219467,0.008672264
MLT2A1_dup1176,0,0,0.279962586,0.018088274,0,0
MLT2A1_dup1184,0,0,0.031321109,2.466161403,0.316755199,0
MLT2A1_dup12,0,0.128306685,0.083820659,0.724430426,0.416975544,0
MLT2A1_dup121,0,0,16.33976075,1.876305525,0.105172345,0.015882454
MLT2A1_dup122,0,0.003597191,2.273484069,1.729795785,0,0
MLT2A1_dup1261,0,0,1.730132409,6.151719396,0,0
MLT2A1_dup1323,0,0,3.263826559,33.19474367,3.287959119,0
MLT2A1_dup1330,11.2022042,10.44427353,4.817132431,23.09867187,31.45763396,22.01846772
MLT2A1_dup1338,0,0.052303682,1.149896025,4.608025959,0.585896294,0
MLT2A1_dup1351,1.203427587,1.430730307,2.481932344,5.47470678,0,0
MLT2A1_dup1352,0.02200603,0.013571067,2.805618711,2.440709719,0.008623908,0
MLT2A1_dup1395,0.011219887,0,3.804169491,0.184822834,0,0.013881254
MLT2A1_dup1416,0,0,3.386982096,3.051023118,0.016979714,0
MLT2A1_dup142,0,0.003972065,3.424823483,3.948413018,0.021798791,0
MLT2A1_dup1471,0,0,0.429135712,3.609245236,0.031662656,0
MLT2A1_dup1498,0,0,0.744060536,1.115195834,0,0
MLT2A1_dup152,0,0.002768781,0.040226925,0.133007878,1.452129463,0.006608077
MLT2A1_dup161,0,0.033761836,3.587964947,270.7298643,213.684277,0.241827123
MLT2A1_dup165,0,0,0.944888866,4.466872683,0.924624557,0
MLT2A1_dup1675,0,0.008264222,2.949412342,2.608346537,0,0.015747426
MLT2A1_dup1692,3.820409823,7.153292676,4.898476817,42.3946521,28.43829622,7.192728821
MLT2A1_dup1730,0,0.008217436,3.928189551,63.91660025,64.93315037,0.552498121
MLT2A1_dup1747,0.014254277,0,1.486132052,7.227402661,0,0
MLT2A1_dup1754,0.009300264,0.015832716,2.624249229,0.93243272,0.021006954,0
MLT2A1_dup1757,0.008367373,0.394706157,4.036863459,1.323490974,0.010696921,0
MLT2A1_dup1766,0,0,0.201728165,0.082013319,0.027195725,0
MLT2A1_dup1806,0.11179589,0.123683221,0.435140089,4.812793369,0.293981638,0
MLT2A1_dup1835,0.153120216,1.188525079,6.650025448,25.96225233,0.57003907,0
MLT2A1_dup1842,0.281214202,0.165424226,0.314315282,1.074389878,0.048383984,6.064629613
MLT2A1_dup1901,0,0,3.245465936,7.362338856,3.789113509,0
MLT2A1_dup1916,0,0.003907091,0.920111552,1.665717932,0.009635395,0.009058368
MLT2A1_dup1924,0,0.023411409,2.769126689,5.897948035,0.295092951,0
MLT2A1_dup1925,0,0,1.986958935,5.564489802,0.166985217,0
MLT2A1_dup1948,0.458459161,0.197653698,1.45887653,13.69000665,0.184413902,0
MLT2A1_dup1952,0.091542386,0,0.050330518,0.535377702,0,0
MLT2A1_dup1969,0.033937807,0.045078401,7.915212773,11.36471696,1.505335827,0.641205321
MLT2A1_dup1975,0.087486711,0.030234618,0,0.08339751,0,0
MLT2A1_dup2065,0,0,0.273750342,27.60480328,0.032075872,0.013949188
MLT2A1_dup2069,0.007147001,0.004412318,2.420345504,2.334612656,0.016143275,0
