gene,Zygote,2C,4C,8C,Morula,ICM
dup106,0,0,2.742098382,8.282856813,0.227312246,0
dup1076,0.046220425,0.160690575,0.215872197,0.951077156,0.471400425,0.051021361
dup1088,0.014893781,0.269457094,0.579335433,1.030320986,0.071025021,0
dup1096,0,0.028636564,1.793402796,29.91543805,0.025610599,0
dup1123,0,0.035688618,5.673864544,7.738894372,1.933504213,0
dup1159,0.008887236,0.074070184,6.98973751,11.28422239,0.086203714,0.00654736
dup121,0,0,16.37106297,1.87989998,0.105373824,0.01591288
dup1323,0,0,3.254375324,33.0986199,3.278438001,0
dup1338,0,0.034616447,1.445888094,5.836514948,0.743871568,0
dup1347,0,0,0.721354429,1.463547021,0.013020158,0
dup1352,0.046651556,0.02377297,5.053075132,4.198682601,0.018282203,0
dup136,0.009358768,0,0.141565951,0.016202293,0,0.005789338
dup1378,0.840611563,0.703321979,0.363871293,0.223119256,0.006549783,0.105040442
dup1394,0.009202996,0,3.259565806,0.069468514,0,0
dup1395,0.007504289,0,3.139954814,0.123616575,0,0.009284313
dup142,0,0,0.820014118,0.729703156,0.017400451,0
dup152,0,0.002673733,0.067745362,0.134209074,1.4267361,0.006381233
dup1526,0,0,0.18209017,0.310761585,0.027354632,0
dup1535,0,0,0.72023394,0.0387228,0,0
dup161,0,0.027800541,4.099388879,242.0706738,183.8303449,0.206283465
dup1730,0,0.008390638,4.010985115,65.20357314,66.22968128,0.564143281
dup1747,0.014096247,0,1.469656087,7.147276246,0,0
dup1757,0.008227917,0.388127721,3.969582401,1.301432791,0.010518639,0
dup1773,0,0,0.041284802,0.009188232,0.013974776,0.177111375
dup1785,0.00957651,0.011346546,0.393353527,0.228958971,0,0.004703439
dup1806,0.079874252,0.086391554,0.222072813,3.389787336,0.231320795,0.002606377
dup1835,0.051644096,0.400863488,2.270186904,8.863035076,0.192261698,0
dup1842,2.495011997,1.512470868,4.333072356,21.04460453,1.341876002,0
dup1860,0,0,1.167664438,0.295081945,0.146842694,0.024821051
dup1861,0,0.005696029,0.534241707,0.006851003,0,0
dup1862,32.22318742,29.96667187,39.34501888,5.832144042,4.340463887,12.01191861
dup1894,0,0,0.77718849,5.155318878,0.28535406,0.042948728
dup1901,0,0,1.491309226,4.661357893,3.053252189,0
dup1902,0,0.028159486,0.805769673,0.398550037,0,0
dup2069,0.011867822,0.007326794,4.019060427,3.867885881,0.02680642,0
dup2089,2.358960621,2.946950074,4.298068483,43.2860817,3.244126111,0
dup2173,0,0,0,0.647224996,0,0
dup2243,0.213054148,0.485798239,0.281636159,0.054882783,0.011403514,0
dup2319,0,0.038354464,9.689719934,3.36319147,1.107603697,4.261157115
dup2322,0,0,0.411527389,16.55415648,1.390623845,0
dup2327,0,0.001786043,0.06927974,0.030375433,0.006534566,0
dup2356,0,0,0.05184089,2.904805095,0.013160983,0.017170386
dup238,0,0.118741123,10.54621246,0.626383583,0.019755875,0.08781363
dup2416,0,0,0.652111486,1.28301105,0,0
dup2417,0,0,2.212299649,7.89958729,0.540727621,0
dup2420,0.026867093,0.024655843,0.032194996,1.308709427,2.559289175,2.06250227
dup2477,0,0.046400043,20.32160987,196.67685,113.5893399,37.86433821
dup2587,0,0.022102046,1.132813602,12.77955159,0.987496333,0
dup2591,0.112447947,0.114088279,4.096091854,5.738758732,0.787280679,0
dup262,0,0.013208041,0.815070655,0.228521643,0,0
dup263,0,0.090721898,0.766474912,0.291795698,0.006018521,0.007627662
dup2645,0,0,0,0,0,0
dup2658,0,0.06642002,0.509456584,0.553783449,0.485127369,1.992121694
dup2699,25.49870467,20.86489932,10.85588508,3.693576304,0.051749385,0.010635388
dup2729,0,0,0.578847534,0.121267966,0,0
dup2737,0,0,0.500936431,2.132723008,0,0
dup2738,0,0,0.379658279,0,0,0
dup2760,0,0,1.334740044,5.126714321,0,0
dup2805,0.006147632,0.003795341,10.28796796,33.11404891,0.016302782,0.009058106
dup2844,0.00957651,0.022215209,15.62450948,18.32384983,2.812222223,0
dup287,0.13040472,0.120113371,1.385272852,232.2389621,165.1377415,0.044000955
