gene,fusion_MLT2A1_rpkm,fusion_transcript_rpkm,fusion_MLT2A1_log,fusion_transcript_log
MLT2A1_dup106,43.03318349,73.16261009,5.427411191,6.193054358
MLT2A1_dup1076,14.66789355,2.622198029,3.87468815,1.391326723
MLT2A1_dup1088,9.849487272,2.923558185,3.300195092,1.548218692
MLT2A1_dup1096,4.515683579,6.090696525,2.175263848,2.606844072
MLT2A1_dup1123,1.289757026,0.788914494,0.368217451,-0.340231601
MLT2A1_dup1159,7.620797261,4.248514561,2.930131233,2.087298046
MLT2A1_dup121,4.485212734,1.329655599,2.165498034,0.41213722
MLT2A1_dup1323,64.58367191,29.02679605,6.013119901,4.859363134
MLT2A1_dup1338,0.649066036,0.26484038,-0.621341816,-1.911367833
MLT2A1_dup1347,3.300922526,2.32509379,1.72330627,1.217909269
MLT2A1_dup1352,8.311901759,3.312013408,3.055352162,1.728144042
MLT2A1_dup136,2.729987154,0.788993863,1.449422528,-0.34008665
MLT2A1_dup1378,2.145499899,1.115013311,1.101986105,0.158354235
MLT2A1_dup1394,1.444164352,2.173990693,0.531233573,1.121009228
MLT2A1_dup1395,3.042289618,2.173990693,1.605631636,1.121009228
MLT2A1_dup142,5.444429734,2.121477088,2.445045906,1.08574898
MLT2A1_dup152,8.386578013,7.23471404,3.06825428,2.855135393
MLT2A1_dup1526,3.855576738,2.014452415,1.947320818,1.011103721
MLT2A1_dup1535,1.395795012,4.375280112,0.482120312,2.129705083
MLT2A1_dup161,29.18470166,9.720453388,4.867189847,3.281172017
MLT2A1_dup1730,3.697326245,3.361456268,1.886872497,1.749515504
MLT2A1_dup1747,105.4683652,82.26010979,6.720680203,6.36213863
MLT2A1_dup1757,6.825298674,3.667789378,2.771103539,1.875304083
MLT2A1_dup1773,1.347304662,1.093800807,0.431146524,0.130668403
MLT2A1_dup1785,8.252458221,2.137459879,3.044998739,1.09657214
MLT2A1_dup1806,20.01494804,4.85796909,4.323078045,2.280650255
MLT2A1_dup1835,16.61051605,4.647519209,4.054111842,2.216771217
MLT2A1_dup1842,11.98042211,13.89561323,3.582727251,3.796661419
MLT2A1_dup1860,9.108183782,10.15401402,3.187321789,3.344120326
MLT2A1_dup1861,0.147051372,10.15401402,-2.75583023,3.344120326
MLT2A1_dup1862,10.18495574,28.11778595,3.348509449,4.813462401
MLT2A1_dup1894,21.02597829,8.855098994,4.394169635,3.146671349
MLT2A1_dup1901,29.87270746,61.96237142,4.900804388,5.953343738
MLT2A1_dup1902,2.576226984,2.61041106,1.365819605,1.384829569
MLT2A1_dup2069,27.64464559,8.665227917,4.788980357,3.115404179
MLT2A1_dup2089,5.651308285,9.947537847,2.498840155,3.314484506
MLT2A1_dup2173,1.416802733,0.590369123,0.503656816,-0.757869177
MLT2A1_dup2243,18.44576906,6.059959673,4.205296247,2.599546244
MLT2A1_dup2319,50.15649309,52.14661672,5.648393338,5.704529414
MLT2A1_dup2322,1.577859555,0.337575158,0.658882844,-1.56245197
MLT2A1_dup2327,1.917255229,0.972873287,0.939794687,-0.038194023
MLT2A1_dup2356,17.28427082,0.51820015,4.111471302,-0.945637295
MLT2A1_dup238,29.75854702,22.45743386,4.895280662,4.48918542
MLT2A1_dup2416,14.75809922,5.273269239,3.883532768,2.398971219
MLT2A1_dup2417,18.31305514,5.273269239,4.194879366,2.398971219
MLT2A1_dup2420,11.26526096,2.180145559,3.493936889,1.125086052
MLT2A1_dup2477,64.21582271,48.14239816,6.004879381,5.589266072
MLT2A1_dup2587,8.648312288,4.780027255,3.112585428,2.25732063
MLT2A1_dup2591,32.79939398,56.02971188,5.035641239,5.808145917
MLT2A1_dup262,1.650506086,0.089005618,0.723782286,-3.473841137
MLT2A1_dup263,0.473637668,0.089005618,-1.075101496,-3.473841137
MLT2A1_dup2645,0,0,-9.965784285,-9.965784285
MLT2A1_dup2658,8.362818849,8.155069671,3.064161815,3.027874099
MLT2A1_dup2699,2.905920242,2.606189589,1.539491488,1.382495496
MLT2A1_dup2729,17.02340736,12.88509334,4.089532672,3.687743045
MLT2A1_dup2737,1.266079671,2.72727594,0.341507241,1.447989567
MLT2A1_dup2738,0.729272129,2.72727594,-0.453493923,1.447989567
MLT2A1_dup2760,9.157862513,5.566703112,3.195168434,2.477082284
MLT2A1_dup2805,20.55247404,16.82816457,4.36131036,4.072891656
