TE,DUX4_NC,DUX4_ASO
MLT2A1_dup1,0,0
MLT2A1_dup2,0,0
MLT2A1_dup3,0,0
MLT2A1_dup4,0,0.322917378
MLT2A1_dup5,0,0.411652926
MLT2A1_dup6,0,0.990731556
MLT2A1_dup7,0,0
MLT2A1_dup8,1.057800547,0.296996203
MLT2A1_dup9,0.924051643,0.287260944
MLT2A1_dup10,0.356639295,0.28794825
MLT2A1_dup11,0,0
MLT2A1_dup12,0.359100637,0
MLT2A1_dup13,0,0
MLT2A1_dup14,0,0
MLT2A1_dup15,0,0.247772934
MLT2A1_dup16,0,0
MLT2A1_dup17,0,0
MLT2A1_dup18,0,0
MLT2A1_dup19,0.145551779,0.144692008
MLT2A1_dup20,0.191376271,0
MLT2A1_dup21,0,0
MLT2A1_dup22,0.196036379,0.515409468
MLT2A1_dup23,0,0
MLT2A1_dup24,0,0
MLT2A1_dup25,0.073789135,0.134421438
MLT2A1_dup26,0,0.448689198
MLT2A1_dup27,0,0
MLT2A1_dup28,0.084453194,0
MLT2A1_dup29,0,0
MLT2A1_dup30,0,0
MLT2A1_dup31,0,0
MLT2A1_dup32,0,0
MLT2A1_dup33,0,0
MLT2A1_dup34,0,0.125075636
MLT2A1_dup35,0,0
MLT2A1_dup36,0.225786621,0
MLT2A1_dup37,0,0
MLT2A1_dup38,0.675602985,0.602896323
MLT2A1_dup39,0.539562106,0.61104694
MLT2A1_dup40,0,0
MLT2A1_dup41,0,0
MLT2A1_dup42,0,0
MLT2A1_dup43,0.323897759,0
MLT2A1_dup44,0.970679336,0
MLT2A1_dup45,0.305360808,0
MLT2A1_dup46,1.488445291,0
MLT2A1_dup47,0,0
MLT2A1_dup48,0,0
MLT2A1_dup49,0.086436976,0
MLT2A1_dup50,0,0
MLT2A1_dup51,0.528624251,0
MLT2A1_dup52,0,0
MLT2A1_dup53,0,0
MLT2A1_dup54,0,0.864409679
MLT2A1_dup55,0,0
MLT2A1_dup56,0,0.112113414
MLT2A1_dup57,0,0
MLT2A1_dup58,0,0
MLT2A1_dup59,0,0
MLT2A1_dup60,0,0.108573869
MLT2A1_dup61,0.129853783,0
MLT2A1_dup62,0.448928085,0
MLT2A1_dup63,0,0
MLT2A1_dup64,0,0.127316384
MLT2A1_dup65,0,0
MLT2A1_dup66,0,0
MLT2A1_dup67,0,0.125628344
MLT2A1_dup68,0,0
MLT2A1_dup69,0,0
MLT2A1_dup70,0,0
MLT2A1_dup71,0,0
MLT2A1_dup72,0,0.230352099
MLT2A1_dup73,1.677691926,0
MLT2A1_dup74,0.376210903,0.44003239
MLT2A1_dup75,0,0.809671367
MLT2A1_dup76,0.116565373,0
MLT2A1_dup77,0.378565679,0.241383928
MLT2A1_dup78,0,0.221223224
MLT2A1_dup79,0,0.155077507
MLT2A1_dup80,0.928429392,0.040399851
MLT2A1_dup81,0,0
MLT2A1_dup82,0,0.083062336
MLT2A1_dup83,0,0
MLT2A1_dup84,0.07768069,0
MLT2A1_dup85,0.956533795,0.131597545
MLT2A1_dup86,0.278582794,0.144055142
MLT2A1_dup87,0,0.255611022
MLT2A1_dup88,0,0
MLT2A1_dup89,0.946990531,0.258134886
MLT2A1_dup90,0,0.211253065
MLT2A1_dup91,0,0
MLT2A1_dup92,0,0
MLT2A1_dup93,0,0
MLT2A1_dup94,0,0.045702447
MLT2A1_dup95,0,0.255027813
MLT2A1_dup96,0,0.334348893
MLT2A1_dup97,0,0
MLT2A1_dup98,0,0.572842496
MLT2A1_dup99,0,0
MLT2A1_dup100,0.439354428,0.176487656
MLT2A1_dup101,0,0
MLT2A1_dup102,0,0
MLT2A1_dup103,0,0
MLT2A1_dup104,0,0
MLT2A1_dup105,0,0
MLT2A1_dup106,2.073769868,0.373722757
MLT2A1_dup107,2.473553868,0
MLT2A1_dup108,2.334953154,0.040490399
MLT2A1_dup109,0,0.077525621
MLT2A1_dup110,0,0.217215473
MLT2A1_dup111,0.088730018,0
MLT2A1_dup112,0.188843391,0
MLT2A1_dup113,0,0.039864957
MLT2A1_dup114,0,0.139114704
MLT2A1_dup115,0,0
MLT2A1_dup116,0,0
MLT2A1_dup117,0,0.041522681
MLT2A1_dup118,0,0.125075636
MLT2A1_dup119,0,0.160650678
MLT2A1_dup120,0,0.199086871
MLT2A1_dup121,1.15992337,0.176899588
MLT2A1_dup122,0.15512686,0.08287138
MLT2A1_dup123,0,0
MLT2A1_dup124,0.15512686,0
MLT2A1_dup125,0,0
MLT2A1_dup126,0,0
MLT2A1_dup127,0.310188728,0
MLT2A1_dup128,0.726092816,0
MLT2A1_dup129,0.697164129,0
MLT2A1_dup130,0,0
MLT2A1_dup131,0,0
MLT2A1_dup132,0,0
MLT2A1_dup133,0.084259828,0
MLT2A1_dup134,0,0
MLT2A1_dup135,0,0
MLT2A1_dup136,0.912764485,0.801839864
MLT2A1_dup137,0,0.195753503
MLT2A1_dup138,0,0
MLT2A1_dup139,0.073244171,0.401718618
MLT2A1_dup140,0.277679584,0
MLT2A1_dup141,0.140066821,0.111188962
MLT2A1_dup142,1.169390267,0.204391867
MLT2A1_dup143,0.382698091,0
MLT2A1_dup144,0,0
MLT2A1_dup145,0,0
MLT2A1_dup146,0.189226919,0
MLT2A1_dup147,0,0.159195023
MLT2A1_dup148,0,0.269898431
MLT2A1_dup149,0,0
MLT2A1_dup150,0.192112683,0
MLT2A1_dup151,1.094040161,0.661555688
MLT2A1_dup152,1.303617671,0.147106618
MLT2A1_dup153,0.4291127,0.151834404
MLT2A1_dup154,1.127864566,0.611065112
MLT2A1_dup155,0,0.087711693
MLT2A1_dup156,0,0.425713196
MLT2A1_dup157,0.143764511,0.318807013
MLT2A1_dup158,0,0
MLT2A1_dup159,0,0
MLT2A1_dup160,0,0.112816961
MLT2A1_dup161,1.855574406,0.345186631
MLT2A1_dup162,0,0
MLT2A1_dup163,0,0
MLT2A1_dup164,0.300728434,0.581715134
MLT2A1_dup165,0.420926534,0.116221175
MLT2A1_dup166,0,0
MLT2A1_dup167,0,0.321786444
MLT2A1_dup168,0.389375866,0.073873331
MLT2A1_dup169,0,0.652877988
MLT2A1_dup170,0,0
MLT2A1_dup171,0,0
MLT2A1_dup172,0,0
MLT2A1_dup173,0,0
MLT2A1_dup174,0,0
MLT2A1_dup175,0.865906447,0
MLT2A1_dup176,0.483352925,0
MLT2A1_dup177,0,0.419306686
MLT2A1_dup178,0,0.811393765
MLT2A1_dup179,0,0.425713196
MLT2A1_dup180,0,0.182313991
MLT2A1_dup181,0,0
MLT2A1_dup182,0,0.873633357
MLT2A1_dup183,0,1.299323542
MLT2A1_dup184,0.085235643,0.184964524
MLT2A1_dup185,0,0.4677798
MLT2A1_dup186,0,0
MLT2A1_dup187,0,0.292221242
MLT2A1_dup188,0,0
MLT2A1_dup189,0,0
MLT2A1_dup190,0,0
MLT2A1_dup191,0,0
MLT2A1_dup192,0,0
MLT2A1_dup193,0,0.18808341
MLT2A1_dup194,0,0
MLT2A1_dup195,0,0
MLT2A1_dup196,0,0.156983107
MLT2A1_dup197,0,0
MLT2A1_dup198,0,0
MLT2A1_dup199,0,0
MLT2A1_dup200,0,0
MLT2A1_dup201,0,0
MLT2A1_dup202,0,0.043305302
MLT2A1_dup203,0.392636291,0.251741277
MLT2A1_dup204,0,0
MLT2A1_dup205,0.073563489,0
MLT2A1_dup206,0,0
MLT2A1_dup207,0,0
MLT2A1_dup208,0.26242563,0
MLT2A1_dup209,0,0
MLT2A1_dup210,0,0
MLT2A1_dup211,0,0
MLT2A1_dup212,0,0
MLT2A1_dup213,0,0
MLT2A1_dup214,0,0.122912915
MLT2A1_dup215,0.129353544,0
MLT2A1_dup216,0,0
MLT2A1_dup217,0,0
MLT2A1_dup218,0,0.773330139
MLT2A1_dup219,0,0
MLT2A1_dup220,0,0
MLT2A1_dup221,0.074210571,0
MLT2A1_dup222,0,0.203765704
MLT2A1_dup223,0,0
MLT2A1_dup224,0,0
MLT2A1_dup225,0,0
MLT2A1_dup226,0,0
MLT2A1_dup227,0,0
MLT2A1_dup228,0,0.546251214
MLT2A1_dup229,0.509766889,0
MLT2A1_dup230,0,0.243049013
MLT2A1_dup231,0.272183569,0
MLT2A1_dup232,0,0
MLT2A1_dup233,0.435448626,0.080596753
MLT2A1_dup234,0.408536237,0.123124557
MLT2A1_dup235,0,0
MLT2A1_dup236,0,0
MLT2A1_dup237,0.275342026,0.09220101
MLT2A1_dup238,1.840987045,0.168735218
MLT2A1_dup239,0,0
MLT2A1,0,0
MLT2A1_dup240,0,0
MLT2A1_dup241,0,0
MLT2A1_dup242,0,0
MLT2A1_dup243,0.863118592,0
MLT2A1_dup244,0.66937384,0
MLT2A1_dup245,0.241318905,0
MLT2A1_dup246,0,0
MLT2A1_dup247,0,0.476881516
MLT2A1_dup248,0.082930743,0
MLT2A1_dup249,0,0.599161132
MLT2A1_dup250,0,0.075333343
MLT2A1_dup251,0.47003288,0.633934824
MLT2A1_dup252,1.392433672,0
MLT2A1_dup253,0.573109992,0
MLT2A1_dup254,0.767415348,1.017535938
MLT2A1_dup255,0,0.330699572
MLT2A1_dup256,0,0
MLT2A1_dup257,0.132153965,0.200332607
MLT2A1_dup258,0,0
MLT2A1_dup259,0,0
MLT2A1_dup260,0.392636291,0.251741277
MLT2A1_dup261,0,0.075576043
MLT2A1_dup262,1.068762586,1.595796542
MLT2A1_dup263,0.610188017,0.845917794
MLT2A1_dup264,0,0.387716474
MLT2A1_dup265,0,1.124088945
MLT2A1_dup266,0,0.93741038
MLT2A1_dup267,0.435242122,0.28331346
MLT2A1_dup268,0.598915743,0.252043714
MLT2A1_dup269,0,0.065264375
MLT2A1_dup270,0,0
MLT2A1_dup2588,0,0
MLT2A1_dup2589,0.684116819,0
MLT2A1_dup2590,0,0
MLT2A1_dup2591,1.97968598,0.043619018
MLT2A1_dup2592,0,0.043937316
MLT2A1_dup2593,0,0.183819063
MLT2A1_dup2594,0.814718202,0.272419241
MLT2A1_dup2595,1.147831081,0.962001924
MLT2A1_dup2596,0.264621727,0.208895321
MLT2A1_dup2597,0,0.108505333
MLT2A1_dup2598,0.193363267,0.251610875
MLT2A1_dup2599,0.3918398,0
MLT2A1_dup2600,0.075709077,0.379624653
