type,logFC
DUX_up_minor_ZGA,5.375674455
DUX_up_minor_ZGA,4.158197187
DUX_up_minor_ZGA,3.866803618
DUX_up_minor_ZGA,3.449415807
DUX_up_minor_ZGA,2.897399477
DUX_up_minor_ZGA,2.879893939
DUX_up_minor_ZGA,2.206703345
DUX_up_minor_ZGA,2.030394292
DUX_up_minor_ZGA,1.897591096
DUX_up_minor_ZGA,1.428705524
DUX_up_minor_ZGA,1.118533914
DUX_up_minor_ZGA,1.11274474
DUX_up_minor_ZGA,1.040970834
DUX_up_minor_ZGA,1.001986635
DUX_up_minor_ZGA,0.503085187
DUX_up_minor_ZGA,0.499011575
DUX_up_minor_ZGA,0.394992021
DUX_up_minor_ZGA,0.341456445
DUX_up_minor_ZGA,0.329887573
DUX_up_minor_ZGA,0.314411615
DUX_up_minor_ZGA,0.283911191
DUX_up_minor_ZGA,0.184660808
DUX_up_minor_ZGA,0.13511725
DUX_up_minor_ZGA,0.081624469
DUX_up_minor_ZGA,0.045607004
DUX_up_minor_ZGA,-0.006514176
DUX_up_minor_ZGA,-0.082606951
DUX_up_minor_ZGA,-0.138512356
DUX_up_minor_ZGA,-0.238401177
DUX_up_minor_ZGA,-0.263871671
DUX_up_minor_ZGA,-0.44122164
DUX_up_minor_ZGA,-0.567160505
DUX_up_minor_ZGA,-0.581656318
DUX_up_minor_ZGA,-0.588556323
DUX_up_minor_ZGA,-0.617828038
DUX_up_minor_ZGA,-0.69192064
DUX_up_minor_ZGA,-0.786414446
DUX_up_minor_ZGA,-0.839806912
DUX_up_minor_ZGA,-0.854309305
DUX_up_minor_ZGA,-0.882443379
DUX_up_minor_ZGA,-0.934632917
DUX_up_minor_ZGA,-0.943925772
DUX_up_minor_ZGA,-1.06807884
DUX_up_minor_ZGA,-1.126044909
DUX_up_minor_ZGA,-1.165637012
DUX_up_minor_ZGA,-1.201889851
DUX_up_minor_ZGA,-1.211897643
DUX_up_minor_ZGA,-1.251211304
DUX_up_minor_ZGA,-1.264862827
DUX_up_minor_ZGA,-1.272799911
DUX_up_minor_ZGA,-1.343443047
DUX_up_minor_ZGA,-1.357929114
DUX_up_minor_ZGA,-1.368637874
DUX_up_minor_ZGA,-1.395773474
DUX_up_minor_ZGA,-1.450367109
DUX_up_minor_ZGA,-1.459192225
DUX_up_minor_ZGA,-1.517985559
DUX_up_minor_ZGA,-1.53390574
DUX_up_minor_ZGA,-1.54310362
DUX_up_minor_ZGA,-1.657102195
DUX_up_minor_ZGA,-1.664360054
DUX_up_minor_ZGA,-1.673184591
DUX_up_minor_ZGA,-1.676250004
DUX_up_minor_ZGA,-1.714678577
DUX_up_minor_ZGA,-1.787458781
DUX_up_minor_ZGA,-1.870283975
DUX_up_minor_ZGA,-1.885375972
DUX_up_minor_ZGA,-1.95086912
DUX_up_minor_ZGA,-1.962229122
DUX_up_minor_ZGA,-2.081747856
DUX_up_minor_ZGA,-2.351212455
DUX_up_minor_ZGA,-2.432796716
DUX_up_minor_ZGA,-2.509991271
DUX_up_minor_ZGA,-2.549585891
DUX_up_minor_ZGA,-2.657063616
DUX_up_minor_ZGA,-2.683673144
DUX_up_minor_ZGA,-2.70330002
DUX_up_minor_ZGA,-2.829149604
DUX_up_minor_ZGA,-2.85582931
DUX_up_minor_ZGA,-3.0194998
DUX_up_minor_ZGA,-3.075848492
DUX_up_minor_ZGA,-3.09933414
DUX_up_minor_ZGA,-3.242736635
DUX_up_minor_ZGA,-3.273757136
DUX_up_minor_ZGA,-3.290331449
DUX_up_minor_ZGA,-3.307222241
DUX_up_minor_ZGA,-3.329183702
DUX_up_minor_ZGA,-3.455309336
DUX_up_minor_ZGA,-3.541655518
DUX_up_minor_ZGA,-3.796961168
DUX_up_minor_ZGA,-3.856478139
DUX_up_minor_ZGA,-3.934359638
DUX_up_minor_ZGA,-3.992049935
DUX_up_minor_ZGA,-4.090544628
DUX_up_minor_ZGA,-4.106923322
DUX_up_minor_ZGA,-4.126234102
DUX_up_minor_ZGA,-4.158670757
DUX_up_minor_ZGA,-4.280600991
DUX_up_minor_ZGA,-4.305209285
DUX_up_minor_ZGA,-4.311860524
DUX_up_minor_ZGA,-4.326334745
DUX_up_minor_ZGA,-4.377054181
DUX_up_minor_ZGA,-4.471465876
DUX_up_minor_ZGA,-4.4911357
DUX_up_minor_ZGA,-4.728301429
DUX_up_minor_ZGA,-4.815120849
DUX_up_minor_ZGA,-4.882898134
DUX_up_minor_ZGA,-4.883107036
DUX_up_minor_ZGA,-4.944787001
DUX_up_minor_ZGA,-4.970416089
DUX_up_minor_ZGA,-5.106231357
DUX_up_minor_ZGA,-5.174957129
DUX_up_minor_ZGA,-5.341549393
DUX_up_minor_ZGA,-5.514267694
DUX_up_minor_ZGA,-5.596221846
DUX_up_minor_ZGA,-5.747958635
DUX_up_minor_ZGA,-5.778074797
DUX_up_minor_ZGA,-5.787322208
DUX_up_minor_ZGA,-5.791681627
DUX_up_minor_ZGA,-5.804573422
DUX_up_minor_ZGA,-5.81885911
DUX_up_minor_ZGA,-5.862343323
DUX_up_minor_ZGA,-5.909756781
DUX_up_minor_ZGA,-5.924178927
DUX_up_minor_ZGA,-6.115171987
DUX_up_minor_ZGA,-6.135064752
DUX_up_minor_ZGA,-6.191759783
DUX_up_minor_ZGA,-6.512307003
DUX_up_minor_ZGA,-9.074758656
DUX_up_major_ZGA,2.989639302
DUX_up_major_ZGA,2.690173337
DUX_up_major_ZGA,2.13748777
DUX_up_major_ZGA,2.101479417
DUX_up_major_ZGA,1.598358082
DUX_up_major_ZGA,1.335474886
DUX_up_major_ZGA,0.951803652
DUX_up_major_ZGA,0.841688296
DUX_up_major_ZGA,0.731560164
DUX_up_major_ZGA,0.688603638
DUX_up_major_ZGA,0.642702748
DUX_up_major_ZGA,0.605880215
DUX_up_major_ZGA,0.469276496
DUX_up_major_ZGA,0.412143594
DUX_up_major_ZGA,0.390610587
DUX_up_major_ZGA,0.348208597
DUX_up_major_ZGA,0.006743585
DUX_up_major_ZGA,-0.073171305
DUX_up_major_ZGA,-0.191493098
DUX_up_major_ZGA,-0.297580882
DUX_up_major_ZGA,-0.333610748
DUX_up_major_ZGA,-0.385320533
DUX_up_major_ZGA,-0.523418788
DUX_up_major_ZGA,-0.528982916
DUX_up_major_ZGA,-0.586892776
DUX_up_major_ZGA,-0.589693605
DUX_up_major_ZGA,-0.624000269
DUX_up_major_ZGA,-0.684955926
DUX_up_major_ZGA,-0.771585551
DUX_up_major_ZGA,-0.948591636
DUX_up_major_ZGA,-1.007108251
DUX_up_major_ZGA,-1.03846439
DUX_up_major_ZGA,-1.101716938
DUX_up_major_ZGA,-1.112832752
DUX_up_major_ZGA,-1.11422684
DUX_up_major_ZGA,-1.12780189
DUX_up_major_ZGA,-1.132228228
DUX_up_major_ZGA,-1.162167257
DUX_up_major_ZGA,-1.172433436
DUX_up_major_ZGA,-1.217377223
DUX_up_major_ZGA,-1.31518638
DUX_up_major_ZGA,-1.376099408
DUX_up_major_ZGA,-1.565156308
DUX_up_major_ZGA,-1.567503412
DUX_up_major_ZGA,-1.604494116
DUX_up_major_ZGA,-1.718445535
DUX_up_major_ZGA,-1.736540635
DUX_up_major_ZGA,-1.99527153
DUX_up_major_ZGA,-2.007904563
DUX_up_major_ZGA,-2.069466836
DUX_up_major_ZGA,-2.142661151
DUX_up_major_ZGA,-2.20128311
DUX_up_major_ZGA,-2.375136226
DUX_up_major_ZGA,-2.387398902
DUX_up_major_ZGA,-2.396407029
DUX_up_major_ZGA,-2.409627427
DUX_up_major_ZGA,-2.413508884
DUX_up_major_ZGA,-2.46042088
DUX_up_major_ZGA,-2.461316728
DUX_up_major_ZGA,-2.543242953
DUX_up_major_ZGA,-2.634287516
DUX_up_major_ZGA,-2.784770301
DUX_up_major_ZGA,-3.076507909
DUX_up_major_ZGA,-3.202305546
DUX_up_major_ZGA,-3.268810559
DUX_up_major_ZGA,-3.307902526
DUX_up_major_ZGA,-3.417467522
DUX_up_major_ZGA,-3.418995364
DUX_up_major_ZGA,-3.505591532
DUX_up_major_ZGA,-3.556508461
DUX_up_major_ZGA,-3.559530606
DUX_up_major_ZGA,-3.833046616
DUX_up_major_ZGA,-3.973806029
DUX_up_major_ZGA,-4.223867864
DUX_up_major_ZGA,-4.275193755
DUX_up_major_ZGA,-4.387610534
DUX_up_major_ZGA,-4.412822431
DUX_up_major_ZGA,-4.424343965
DUX_up_major_ZGA,-4.692407277
DUX_up_major_ZGA,-4.751586185
DUX_up_major_ZGA,-4.798808432
DUX_up_major_ZGA,-4.837580037
DUX_up_major_ZGA,-4.85340577
DUX_up_major_ZGA,-4.943371839
DUX_up_major_ZGA,-4.95490689
DUX_up_major_ZGA,-5.036634428
DUX_up_major_ZGA,-5.04903831
DUX_up_major_ZGA,-5.077693372
DUX_up_major_ZGA,-5.197017683
DUX_up_major_ZGA,-5.201563607
DUX_up_major_ZGA,-5.348776892
DUX_up_major_ZGA,-5.408619831
DUX_up_major_ZGA,-5.473606274
DUX_up_major_ZGA,-5.478376537
DUX_up_major_ZGA,-5.548434298
DUX_up_major_ZGA,-5.654093816
DUX_up_major_ZGA,-5.700951812
DUX_up_major_ZGA,-5.751808187
DUX_up_major_ZGA,-5.766337605
DUX_up_major_ZGA,-5.893235203
DUX_up_major_ZGA,-5.89567972
DUX_up_major_ZGA,-5.919141814
DUX_up_major_ZGA,-5.99269028
DUX_up_major_ZGA,-6.237847462
DUX_up_major_ZGA,-6.336869349
DUX_up_major_ZGA,-6.401156002
DUX_up_major_ZGA,-6.416386878
DUX_up_major_ZGA,-6.484011587
DUX_up_major_ZGA,-6.645600783
DUX_up_major_ZGA,-6.970997058
DUX_up_major_ZGA,-7.556151733
DUX_up_major_ZGA,-7.920765247
