TE,DUX4_NC,DUX4_sh161
MLT2A1_dup1,0,0.090357977
MLT2A1_dup2,0,0.021810546
MLT2A1_dup3,0,0
MLT2A1_dup4,0,0
MLT2A1_dup5,0,0
MLT2A1_dup6,0,0
MLT2A1_dup7,0,0
MLT2A1_dup8,0.250998568,0.039977796
MLT2A1_dup9,0.400816129,0.212998135
MLT2A1_dup10,0.019453108,0
MLT2A1_dup11,0,0
MLT2A1_dup12,0.145606253,0.058930936
MLT2A1_dup13,0.046045921,0
MLT2A1_dup14,0,0
MLT2A1_dup15,0,0
MLT2A1_dup16,0.026007416,0
MLT2A1_dup17,0,0
MLT2A1_dup18,0,0
MLT2A1_dup19,0,0
MLT2A1_dup20,0.152257858,0.020248781
MLT2A1_dup21,0,0
MLT2A1_dup22,0.021411027,0.019116299
MLT2A1_dup23,0,0.019461718
MLT2A1_dup24,0,0
MLT2A1_dup25,0,0
MLT2A1_dup26,0,0.185760558
MLT2A1_dup27,0,0
MLT2A1_dup28,0,0
MLT2A1_dup29,0,0
MLT2A1_dup30,0,0
MLT2A1_dup31,0,0
MLT2A1_dup32,0,0
MLT2A1_dup33,0,0
MLT2A1_dup34,0,0
MLT2A1_dup35,0,0
MLT2A1_dup36,0.097472526,0.071030067
MLT2A1_dup37,0,0
MLT2A1_dup38,0.230143463,0.612804685
MLT2A1_dup39,0.389623123,0.889353334
MLT2A1_dup40,0,0
MLT2A1_dup41,0,0
MLT2A1_dup42,0,0
MLT2A1_dup43,0,0.02007955
MLT2A1_dup44,0.17102435,0
MLT2A1_dup45,0,0
MLT2A1_dup46,0.545505235,0.040845229
MLT2A1_dup47,0,0
MLT2A1_dup48,0,0
MLT2A1_dup49,0.044853022,0
MLT2A1_dup50,0,0
MLT2A1_dup51,0,0
MLT2A1_dup52,0,0
MLT2A1_dup53,0,0
MLT2A1_dup54,0,0
MLT2A1_dup55,0,0
MLT2A1_dup56,0,0
MLT2A1_dup57,0,0
MLT2A1_dup58,0,0
MLT2A1_dup59,0,0
MLT2A1_dup60,0,0
MLT2A1_dup61,0,0
MLT2A1_dup62,0,0
MLT2A1_dup63,0,0
MLT2A1_dup64,0,0
MLT2A1_dup65,0,0
MLT2A1_dup66,0,0
MLT2A1_dup67,0,0
MLT2A1_dup68,0,0
MLT2A1_dup69,0,0
MLT2A1_dup70,0,0
MLT2A1_dup71,0,0
MLT2A1_dup72,0,0
MLT2A1_dup73,1.950469833,0.495092926
MLT2A1_dup74,0.136936411,0.170665452
MLT2A1_dup75,0,0
MLT2A1_dup76,0,0
MLT2A1_dup77,0,0
MLT2A1_dup78,0,0
MLT2A1_dup79,0,0
