condition,type,X,m,n,k,pvalue,adjusted_pvalue,log_ad_p
DUXOE_up,Zygote_2C,104,2851,13971,660,0.780682579,1,6.35E-12
DUXOE_up,4C,137,2156,14666,660,2.13E-09,5.32E-09,8.273724892
DUXOE_up,8C,98,849,15973,660,5.07E-23,5.07E-22,21.29480435
DUXOE_up,Morula,41,861,15961,660,0.085185353,0.170370706,0.768605078
DUXOE_up,ICM,61,3101,13721,660,1,1,6.35E-12
DUXASO_down,Zygote_2C,50,2851,13971,343,0.86734177,1,6.35E-12
DUXASO_down,4C,84,2156,14666,343,8.85E-10,2.95E-09,8.529934375
DUXASO_down,8C,63,849,15973,343,4.55E-20,2.28E-19,18.64289965
DUXASO_down,Morula,18,861,15961,343,0.394636918,0.657728196,0.18195354
DUXASO_down,ICM,31,3101,13721,343,0.999999297,1,6.35E-12
DUXOE_sh161_down,Zygote_2C,24,2303,11568,299,0.99999058,0.999999035,4.19E-07
DUXOE_sh161_down,4C,81,1767,12104,299,5.03E-12,2.52E-11,10.59942835
DUXOE_sh161_down,8C,42,699,13172,299,4.43E-10,1.11E-09,8.955669315
DUXOE_sh161_down,Morula,16,681,13190,299,0.300852821,0.601705643,0.220615916
DUXOE_sh161_down,ICM,31,2887,10984,299,0.999999035,0.999999035,4.19E-07
DUXOE_sh2477_down,Zygote_2C,13,2303,11568,197,0.999977775,0.999999035,4.19E-07
DUXOE_sh2477_down,4C,61,1767,12104,197,3.71E-12,2.52E-11,10.59942835
DUXOE_sh2477_down,8C,34,699,13172,197,5.66E-11,1.89E-10,9.724050652
DUXOE_sh2477_down,Morula,6,681,13190,197,0.856186386,0.999999035,4.19E-07
DUXOE_sh2477_down,ICM,18,2887,10984,197,0.999992366,0.999999035,4.19E-07
