condition,logFC
DUXASO,2.989639302
DUXASO,2.690173337
DUXASO,2.13748777
DUXASO,2.101479417
DUXASO,1.598358082
DUXASO,1.335474886
DUXASO,0.951803652
DUXASO,0.841688296
DUXASO,0.731560164
DUXASO,0.688603638
DUXASO,0.642702748
DUXASO,0.605880215
DUXASO,0.469276496
DUXASO,0.412143594
DUXASO,0.390610587
DUXASO,0.348208597
DUXASO,0.006743585
DUXASO,-0.073171305
DUXASO,-0.191493098
DUXASO,-0.297580882
DUXASO,-0.333610748
DUXASO,-0.385320533
DUXASO,-0.523418788
DUXASO,-0.528982916
DUXASO,-0.586892776
DUXASO,-0.589693605
DUXASO,-0.624000269
DUXASO,-0.684955926
DUXASO,-0.771585551
DUXASO,-0.948591636
DUXASO,-1.007108251
DUXASO,-1.03846439
DUXASO,-1.101716938
DUXASO,-1.112832752
DUXASO,-1.11422684
DUXASO,-1.12780189
DUXASO,-1.132228228
DUXASO,-1.162167257
DUXASO,-1.172433436
DUXASO,-1.217377223
DUXASO,-1.31518638
DUXASO,-1.376099408
DUXASO,-1.565156308
DUXASO,-1.567503412
DUXASO,-1.604494116
DUXASO,-1.718445535
DUXASO,-1.736540635
DUXASO,-1.99527153
DUXASO,-2.007904563
DUXASO,-2.069466836
DUXASO,-2.142661151
DUXASO,-2.20128311
DUXASO,-2.375136226
DUXASO,-2.387398902
DUXASO,-2.396407029
DUXASO,-2.409627427
DUXASO,-2.413508884
DUXASO,-2.46042088
DUXASO,-2.461316728
DUXASO,-2.543242953
DUXASO,-2.634287516
DUXASO,-2.784770301
DUXASO,-3.076507909
DUXASO,-3.202305546
DUXASO,-3.268810559
DUXASO,-3.307902526
DUXASO,-3.417467522
DUXASO,-3.418995364
DUXASO,-3.505591532
DUXASO,-3.556508461
DUXASO,-3.559530606
DUXASO,-3.833046616
DUXASO,-3.973806029
DUXASO,-4.223867864
DUXASO,-4.275193755
DUXASO,-4.387610534
DUXASO,-4.412822431
DUXASO,-4.424343965
DUXASO,-4.692407277
DUXASO,-4.751586185
DUXASO,-4.798808432
DUXASO,-4.837580037
DUXASO,-4.85340577
DUXASO,-4.943371839
DUXASO,-4.95490689
DUXASO,-5.036634428
DUXASO,-5.04903831
DUXASO,-5.077693372
DUXASO,-5.197017683
DUXASO,-5.201563607
DUXASO,-5.348776892
DUXASO,-5.408619831
DUXASO,-5.473606274
DUXASO,-5.478376537
DUXASO,-5.548434298
DUXASO,-5.654093816
DUXASO,-5.700951812
DUXASO,-5.751808187
DUXASO,-5.766337605
DUXASO,-5.893235203
DUXASO,-5.89567972
DUXASO,-5.919141814
DUXASO,-5.99269028
DUXASO,-6.237847462
DUXASO,-6.336869349
DUXASO,-6.401156002
DUXASO,-6.416386878
DUXASO,-6.484011587
DUXASO,-6.645600783
DUXASO,-6.970997058
DUXASO,-7.556151733
DUXASO,-7.920765247
SH161,-2.967729329
SH161,-2.565852119
SH161,-2.529214392
SH161,-2.330746698
SH161,-2.202161728
SH161,-2.085768198
SH161,-2.813587454
SH161,-2.857294214
SH161,-3.973212757
SH161,-3.409788597
SH161,-2.17034651
SH161,-2.950311408
SH161,-2.469841722
SH161,-3.518594076
SH161,-2.619177851
SH161,-1.472716824
SH161,-1.018474837
SH161,-2.37504456
SH161,-2.052080712
SH161,-2.049385678
SH161,-2.759312147
SH161,-1.03688792
SH161,-1.843526334
SH161,-2.787512641
SH161,-2.319506158
SH161,-3.614813895
SH161,-1.322741689
SH161,-2.599738916
SH161,-2.623035143
SH161,-0.670153569
SH161,-1.367149666
SH161,-0.655160778
SH161,-0.662961597
SH161,-1.922606934
SH161,-2.410756524
SH161,-1.743168154
SH161,-1.081163214
SH161,-0.905594133
SH161,-2.522615809
SH161,-1.020291477
SH161,-1.622613812
SH161,-1.786223387
SH161,-1.558250517
SH161,0.386883747
SH161,-1.40394397
SH161,-3.425559359
SH161,-1.617274942
SH161,-1.745182214
SH161,-1.610299921
SH161,-0.966544948
SH161,-3.274870039
SH161,0.443691981
SH161,-1.278720105
SH161,-1.406787136
SH161,-2.689719569
SH161,-1.439084857
SH161,-2.138883044
SH161,-3.522225985
SH161,-1.28123398
SH161,-2.423294277
SH161,-1.35616446
SH161,-1.331766391
SH161,-0.613562767
SH161,-1.029885154
SH161,-3.907257819
SH161,-1.087828337
SH161,-2.939350994
SH161,-1.992457742
SH161,-1.145911543
SH161,-3.007590401
SH161,-3.512070057
SH161,-1.66282814
SH161,-1.446776977
SH161,-0.913277178
SH161,1.9928394
SH161,-5.671964822
SH161,-1.078063461
SH161,-5.535576754
SH161,-2.246784022
SH161,-5.256281877
SH161,-0.230494734
SH161,0.493530288
SH161,-1.393713173
SH161,-1.23469129
SH161,-1.654228477
SH161,-0.590345963
SH161,-1.567098866
SH161,-1.051311806
SH161,-0.76252098
SH161,-4.133494068
SH161,-4.12860451
SH161,-0.106320869
SH161,2.233453629
SH161,-2.171150586
SH161,-0.314709688
SH161,0.616713038
SH161,0.183045779
SH161,0.287979766
SH161,-1.25621109
SH161,3.122430586
SH161,3.122430586
SH161,0.10797568
SH161,-0.544482057
SH161,-0.13319752
SH161,-0.472215788
SH161,-0.607389819
SH161,-0.798990943
SH161,0.194896818
SH161,-0.062458501
SH161,-2.362315119
SH161,-0.100796707
SH161,-0.08799497
SH2477,-2.844007868
SH2477,-2.550311354
SH2477,-2.1814185
SH2477,-2.67697209
SH2477,-3.882941567
SH2477,-2.063095563
SH2477,-2.579026627
SH2477,-1.767457373
SH2477,-3.024498252
SH2477,-1.613120639
SH2477,-2.266209656
SH2477,-1.356058262
SH2477,-2.814112654
SH2477,-1.946737721
SH2477,-2.048161927
SH2477,-1.51037916
SH2477,-2.02970521
SH2477,-2.032885388
SH2477,-1.70014374
SH2477,-2.530949673
SH2477,-1.904307851
SH2477,-2.315425545
SH2477,-2.009200925
SH2477,-2.432292514
SH2477,-2.281946568
SH2477,-1.011784098
SH2477,-2.670241429
SH2477,-2.639977262
SH2477,-2.771085914
SH2477,-0.903159252
SH2477,-2.23298039
SH2477,-1.960039184
SH2477,-1.225719719
SH2477,-1.325894063
SH2477,-1.961761749
SH2477,-1.318247242
SH2477,-2.107908469
SH2477,-1.528130751
SH2477,-2.356182031
SH2477,-0.792825916
SH2477,-1.547160284
SH2477,-3.391270178
SH2477,-2.765996739
SH2477,-0.996152935
SH2477,-2.37088084
SH2477,-3.776299546
SH2477,-1.316713869
SH2477,-1.500280442
SH2477,-0.987130056
SH2477,0.904999528
SH2477,-1.18846709
SH2477,-1.013888611
SH2477,-1.79644927
SH2477,-0.462156409
SH2477,-1.321151779
SH2477,-0.453207568
SH2477,-1.052726912
SH2477,-0.250491679
SH2477,-1.0954188
SH2477,-0.237202604
SH2477,-1.721382727
SH2477,-0.888706503
SH2477,-1.371425086
SH2477,-2.288002596
SH2477,-0.798215796
SH2477,-0.587297415
SH2477,-4.09249293
SH2477,-1.465235766
SH2477,0.265626083
SH2477,-1.935880568
SH2477,-0.604532405
SH2477,-2.441478084
SH2477,-1.008312871
SH2477,0.169310825
SH2477,-0.414315628
SH2477,-5.533473351
SH2477,-0.85437729
SH2477,-2.25295587
SH2477,5.306593635
SH2477,1.327638538
SH2477,1.14808493
SH2477,-0.643857361
SH2477,4.338898761
SH2477,-0.71484545
SH2477,1.260761537
SH2477,-0.357419683
SH2477,-0.333509526
SH2477,-0.859234253
SH2477,-0.339487278
SH2477,-0.348537857
SH2477,-1.081392884
SH2477,-1.219034983
SH2477,-0.474192321
SH2477,1.677266112
SH2477,1.674836505
SH2477,-0.467500132
SH2477,-0.05877339
SH2477,-0.410138047
SH2477,-0.287030729
SH2477,0.465533571
SH2477,-0.201445968
SH2477,0.114337213
SH2477,0.108258765
SH2477,-0.420279661
SH2477,0.167854434
SH2477,-2.371505409
SH2477,0.135875679
SH2477,-0.949983771
SH2477,-0.4195049
SH2477,-0.482633859
SH2477,0.082898077
SH2477,-0.000743685
