gene,logFC,logCPM,PValue,FDR
PPFIA4,4.48589098,4.791453375,0,0
INSIG2,4.305693857,5.879835129,0,0
SLC16A3,4.263522157,5.497764948,0,0
ANKRD37,3.877600253,5.578235056,0,0
PFKFB4,3.62171537,6.118484167,0,0
DDIT4,3.45589827,8.164969601,0,0
BHLHE40,3.438888193,7.208286319,0,0
ANXA1,-3.421894414,6.003636567,0,0
CAV1,-3.347064361,6.104672805,0,0
FLNC,-3.028246778,8.176506666,0,0
FUT11,3.005577904,5.288469216,0,0
AL445524.2,2.99116149,5.609161583,0,0
EGLN1,2.959903339,6.062330781,0,0
BNIP3,2.680700373,7.088175159,0,0
ARRDC3,2.637248458,5.933338353,0,0
SLC7A5,-2.311118828,9.455922289,0,0
TAGLN,-2.276913732,7.768640018,0,0
FAM13A,2.373241099,6.062486386,1.96E-304,4.32E-301
PLOD2,2.389449627,6.860085516,7.19E-295,1.45E-291
SLC2A1,1.895193145,9.821146471,4.05E-294,7.83E-291
STC1,2.897992353,5.910469579,8.9E-291,1.65E-287
APLN,4.343623305,3.924992116,2.53E-289,4.52E-286
KDM7A,2.493398077,5.773039301,8.84E-289,1.52E-285
PDK1,2.176265775,6.261839523,3.98E-288,6.6E-285
KDM3A,2.061748029,7.040975419,4.91E-288,7.86E-285
CCNG2,2.473142025,5.486620266,2.57E-273,3.85E-270
RAPGEF1,-2.041490552,7.014159367,9.89E-270,1.43E-266
CER1,-3.932083753,4.48218774,3.66E-267,5.14E-264
LEFTY1,-2.468915257,5.358246796,6.74E-261,9.2E-258
SERPINB9,-1.940565252,7.021750959,1.26E-260,1.67E-257
NOG,6.691185433,3.205537818,8.77E-257,1.13E-253
WSB1,1.842057983,7.884284348,4.48E-256,5.62E-253
SPP1,-2.131747046,7.174915648,1.49E-254,1.81E-251
COL7A1,-2.379673036,5.363004767,1.94E-249,2.19E-246
RASGRF2,-2.319370059,5.260442723,3.45E-248,3.81E-245
ID1,-1.894590471,6.551860614,2.15E-237,2.27E-234
PCSK7,-1.845080287,7.242582475,7.86E-236,8.11E-233
ERO1A,1.876986393,6.608554164,7.92E-235,7.98E-232
BHLHE41,4.319244419,4.010204341,1.59E-232,1.57E-229
MT-ND1,-1.677118411,10.41614582,2.41E-232,2.33E-229
PRDM14,-2.238486697,5.768846606,3.24E-229,3.07E-226
