gene,logFC,logCPM,PValue,FDR
Charlie21a,2.001329921,7.601795746,1.37E-299,2.90E-296
L1ME3C,1.750462985,8.94953943,2.78E-175,1.52E-172
L1P3b,-1.51446344,5.382379154,2.80E-112,7.70E-110
LTR82A,1.365528714,4.78224837,3.04E-78,4.25E-76
LTR88c,1.251809279,4.950263843,6.68E-70,7.91E-68
L1M2,0.985612858,9.746111869,6.68E-70,7.91E-68
LTR45B,1.714641532,4.04564594,3.70E-68,4.13E-66
MER104,0.960327894,6.47048707,5.87E-60,5.19E-58
HERVH48-int,1.115059057,4.670223538,4.70E-53,3.33E-51
MER52C,-1.017408855,5.374320149,2.52E-46,1.44E-44
Charlie15a,0.768400483,7.322668715,2.74E-44,1.45E-42
MER21A,0.826624395,6.30041512,2.01E-43,1.03E-41
MER65C,1.156253214,4.559552141,3.21E-43,1.64E-41
HERVS71-int,-0.813241567,6.370622732,2.20E-40,1.00E-38
LTR6B,-0.869961574,5.342665985,2.31E-39,1.00E-37
Tigger4a,0.796751693,7.576246609,3.31E-39,1.43E-37
LTR47B4,2.005546861,2.161664873,9.66E-39,4.08E-37
MamGypLTR1b,-0.828911352,6.032575277,3.32E-38,1.37E-36
THE1C-int,-0.7165136,6.894669641,1.30E-37,5.23E-36
Kanga2_a,0.812315278,5.733081659,1.32E-36,5.13E-35
SVA_B,0.71767607,6.29897619,3.00E-36,1.15E-34
L1PA8,0.672609101,8.312462641,9.30E-36,3.48E-34
Charlie1a,0.699956437,8.024522828,3.05E-33,1.03E-31
Looper,0.963012368,4.615501972,1.94E-32,6.33E-31
MER2,0.711130143,8.511827967,4.13E-32,1.32E-30
L1M4a1,0.726870859,6.145715709,3.10E-31,9.63E-30
Tigger17a,0.721535624,6.26993162,4.91E-31,1.50E-29
LTR7,0.568084583,12.32605115,2.80E-29,7.85E-28
LTR38-int,1.796037686,2.015198223,5.75E-29,1.58E-27
HERVH-int,0.626386777,14.52027163,3.13E-28,8.28E-27
MER49,0.667267213,5.799903426,5.16E-28,1.35E-26
L1MEi,0.7095639,6.629739438,3.82E-27,9.63E-26
Charlie11,1.158044182,3.106167315,5.14E-27,1.29E-25
LSAU,-1.173467792,6.990881555,7.68E-27,1.91E-25
L1MC4a,0.586588037,8.421481286,1.62E-26,3.97E-25
L1ME3B,0.566142683,8.148183872,2.85E-26,6.90E-25
Tigger9b,0.850426354,4.386664498,5.38E-26,1.28E-24
L1MA8,0.613447279,8.372332277,1.31E-25,3.07E-24
FordPrefect,-1.05270654,4.303461828,1.33E-25,3.12E-24
L4_B_Mam,0.658398143,6.084267698,2.37E-25,5.48E-24
L1MB4,0.540814388,8.274486907,9.31E-25,2.09E-23
Tigger9a,0.893218056,4.509135178,1.24E-24,2.77E-23
Charlie23a,0.794324894,4.728636403,1.75E-24,3.89E-23
MER45C,-0.844857785,4.33579966,1.89E-24,4.17E-23
MER46C,0.692293386,6.593778928,2.32E-24,5.10E-23
HUERS-P1-int,-0.608544377,5.943602622,3.46E-24,7.56E-23
MER58A,0.65027562,9.08729048,4.13E-24,8.98E-23
LTR24B,1.210986461,3.602351772,4.53E-24,9.80E-23
L1M6B,0.641719599,5.316873035,1.41E-23,2.97E-22
L1MC5a,0.565086654,9.418210347,1.40E-22,2.77E-21
