type,logFC
DUXASO,2.989639302
DUXASO,2.690173337
DUXASO,2.13748777
DUXASO,2.101479417
DUXASO,1.598358082
DUXASO,1.335474886
DUXASO,0.951803652
DUXASO,0.841688296
DUXASO,0.731560164
DUXASO,0.688603638
DUXASO,0.642702748
DUXASO,0.605880215
DUXASO,0.469276496
DUXASO,0.412143594
DUXASO,0.390610587
DUXASO,0.348208597
DUXASO,0.006743585
DUXASO,-0.073171305
DUXASO,-0.191493098
DUXASO,-0.297580882
DUXASO,-0.333610748
DUXASO,-0.385320533
DUXASO,-0.523418788
DUXASO,-0.528982916
DUXASO,-0.586892776
DUXASO,-0.589693605
DUXASO,-0.624000269
DUXASO,-0.684955926
DUXASO,-0.771585551
DUXASO,-0.948591636
DUXASO,-1.007108251
DUXASO,-1.03846439
DUXASO,-1.101716938
DUXASO,-1.112832752
DUXASO,-1.11422684
DUXASO,-1.12780189
DUXASO,-1.132228228
DUXASO,-1.162167257
DUXASO,-1.172433436
DUXASO,-1.217377223
DUXASO,-1.31518638
DUXASO,-1.376099408
DUXASO,-1.565156308
DUXASO,-1.567503412
DUXASO,-1.604494116
DUXASO,-1.718445535
DUXASO,-1.736540635
DUXASO,-1.99527153
DUXASO,-2.007904563
DUXASO,-2.069466836
DUXASO,-2.142661151
DUXASO,-2.20128311
DUXASO,-2.375136226
DUXASO,-2.387398902
DUXASO,-2.396407029
DUXASO,-2.409627427
DUXASO,-2.413508884
DUXASO,-2.46042088
DUXASO,-2.461316728
DUXASO,-2.543242953
DUXASO,-2.634287516
DUXASO,-2.784770301
DUXASO,-3.076507909
DUXASO,-3.202305546
DUXASO,-3.268810559
DUXASO,-3.307902526
DUXASO,-3.417467522
DUXASO,-3.418995364
DUXASO,-3.505591532
DUXASO,-3.556508461
DUXASO,-3.559530606
DUXASO,-3.833046616
DUXASO,-3.973806029
DUXASO,-4.223867864
DUXASO,-4.275193755
DUXASO,-4.387610534
DUXASO,-4.412822431
DUXASO,-4.424343965
DUXASO,-4.692407277
DUXASO,-4.751586185
DUXASO,-4.798808432
DUXASO,-4.837580037
DUXASO,-4.85340577
DUXASO,-4.943371839
DUXASO,-4.95490689
DUXASO,-5.036634428
DUXASO,-5.04903831
DUXASO,-5.077693372
DUXASO,-5.197017683
DUXASO,-5.201563607
DUXASO,-5.348776892
DUXASO,-5.408619831
DUXASO,-5.473606274
DUXASO,-5.478376537
DUXASO,-5.548434298
DUXASO,-5.654093816
DUXASO,-5.700951812
DUXASO,-5.751808187
DUXASO,-5.766337605
DUXASO,-5.893235203
DUXASO,-5.89567972
DUXASO,-5.919141814
DUXASO,-5.99269028
DUXASO,-6.237847462
DUXASO,-6.336869349
DUXASO,-6.401156002
DUXASO,-6.416386878
DUXASO,-6.484011587
DUXASO,-6.645600783
DUXASO,-6.970997058
DUXASO,-7.556151733
DUXASO,-7.920765247
siHNRNPU,-3.210036332
siHNRNPU,-1.452255707
siHNRNPU,-1.299109606
siHNRNPU,-1.003840627
siHNRNPU,-0.949112228
siHNRNPU,-1.020400595
siHNRNPU,-1.048899615
siHNRNPU,-0.975620581
siHNRNPU,-1.640450897
siHNRNPU,-1.040129837
siHNRNPU,-1.081063616
siHNRNPU,-0.912798947
siHNRNPU,-1.12754271
siHNRNPU,-0.914469632
siHNRNPU,-0.682235588
siHNRNPU,-0.674763472
siHNRNPU,-0.89705372
siHNRNPU,-0.994444535
siHNRNPU,-1.070231433
siHNRNPU,-0.709285635
siHNRNPU,-1.101054463
siHNRNPU,-0.986351812
siHNRNPU,-0.585484601
siHNRNPU,-0.992501688
siHNRNPU,-1.48148524
siHNRNPU,-0.635761738
siHNRNPU,-1.368677984
siHNRNPU,-0.760423186
siHNRNPU,-0.792942883
siHNRNPU,-0.543148051
siHNRNPU,-0.736136976
siHNRNPU,-0.762219182
siHNRNPU,-1.017669981
siHNRNPU,-1.121161249
siHNRNPU,-1.099498937
siHNRNPU,-0.48473782
siHNRNPU,-1.143055579
siHNRNPU,-1.287096741
siHNRNPU,-0.530666252
siHNRNPU,-1.304687948
siHNRNPU,-0.588452401
siHNRNPU,0.574654609
siHNRNPU,-0.85552066
siHNRNPU,-1.044054556
siHNRNPU,-0.356033537
siHNRNPU,-0.353594769
siHNRNPU,-0.826749126
siHNRNPU,-1.621041008
siHNRNPU,-1.119842603
siHNRNPU,-1.109057076
siHNRNPU,-1.076388911
siHNRNPU,-0.584880296
siHNRNPU,-0.812445817
siHNRNPU,-0.946241312
siHNRNPU,0.858994019
siHNRNPU,-1.596368584
siHNRNPU,-1.046436315
siHNRNPU,-0.863896452
siHNRNPU,-2.11349579
siHNRNPU,-0.357434891
siHNRNPU,-1.09711656
siHNRNPU,-1.999900482
siHNRNPU,-1.293408583
siHNRNPU,-2.331214568
siHNRNPU,-0.83556047
siHNRNPU,-0.203223414
siHNRNPU,-0.93122695
siHNRNPU,-2.948714522
siHNRNPU,-0.256821264
siHNRNPU,-3.298208061
siHNRNPU,-0.774452607
siHNRNPU,-2.060721365
siHNRNPU,-0.276393676
siHNRNPU,-0.637870589
siHNRNPU,-0.316486968
siHNRNPU,-0.522547492
siHNRNPU,-0.511420273
siHNRNPU,-2.572661054
siHNRNPU,1.312626184
siHNRNPU,0.895904854
siHNRNPU,-0.640965664
siHNRNPU,-1.359346171
siHNRNPU,-1.523365989
siHNRNPU,-0.544373127
siHNRNPU,0.228254774
siHNRNPU,-1.28559252
siHNRNPU,-0.467416753
siHNRNPU,-0.560730944
siHNRNPU,-0.507171449
siHNRNPU,-0.27521426
siHNRNPU,-0.55201149
siHNRNPU,-0.964706154
siHNRNPU,-0.269642757
siHNRNPU,-0.584657436
siHNRNPU,-0.813181416
siHNRNPU,0.626946725
siHNRNPU,-0.140018417
siHNRNPU,1.395326297
siHNRNPU,-0.138646648
siHNRNPU,0.022474386
siHNRNPU,0.168648204
siHNRNPU,0.251521326
siHNRNPU,0.188006985
siHNRNPU,-0.134234828
siHNRNPU,-0.01618147
siHNRNPU,0.03157218
siHNRNPU,0.038911689
siHNRNPU,0.07957972
siHNRNPU,-0.302165048
siHNRNPU,0.011008781
siHNRNPU,0.006994789
siHNRNPU,0.005209375
