type,logFC
DUXASO,5.375674455
DUXASO,4.158197187
DUXASO,3.866803618
DUXASO,3.449415807
DUXASO,2.897399477
DUXASO,2.879893939
DUXASO,2.206703345
DUXASO,2.030394292
DUXASO,1.897591096
DUXASO,1.428705524
DUXASO,1.118533914
DUXASO,1.11274474
DUXASO,1.040970834
DUXASO,1.001986635
DUXASO,0.503085187
DUXASO,0.499011575
DUXASO,0.394992021
DUXASO,0.341456445
DUXASO,0.329887573
DUXASO,0.314411615
DUXASO,0.283911191
DUXASO,0.184660808
DUXASO,0.13511725
DUXASO,0.081624469
DUXASO,0.045607004
DUXASO,-0.006514176
DUXASO,-0.082606951
DUXASO,-0.138512356
DUXASO,-0.238401177
DUXASO,-0.263871671
DUXASO,-0.44122164
DUXASO,-0.567160505
DUXASO,-0.581656318
DUXASO,-0.588556323
DUXASO,-0.617828038
DUXASO,-0.69192064
DUXASO,-0.786414446
DUXASO,-0.839806912
DUXASO,-0.854309305
DUXASO,-0.882443379
DUXASO,-0.934632917
DUXASO,-0.943925772
DUXASO,-1.06807884
DUXASO,-1.126044909
DUXASO,-1.165637012
DUXASO,-1.201889851
DUXASO,-1.211897643
DUXASO,-1.251211304
DUXASO,-1.264862827
DUXASO,-1.272799911
DUXASO,-1.343443047
DUXASO,-1.357929114
DUXASO,-1.368637874
DUXASO,-1.395773474
DUXASO,-1.450367109
DUXASO,-1.459192225
DUXASO,-1.517985559
DUXASO,-1.53390574
DUXASO,-1.54310362
DUXASO,-1.657102195
DUXASO,-1.664360054
DUXASO,-1.673184591
DUXASO,-1.676250004
DUXASO,-1.714678577
DUXASO,-1.787458781
DUXASO,-1.870283975
DUXASO,-1.885375972
DUXASO,-1.95086912
DUXASO,-1.962229122
DUXASO,-2.081747856
DUXASO,-2.351212455
DUXASO,-2.432796716
DUXASO,-2.509991271
DUXASO,-2.549585891
DUXASO,-2.657063616
DUXASO,-2.683673144
DUXASO,-2.70330002
DUXASO,-2.829149604
DUXASO,-2.85582931
DUXASO,-3.0194998
DUXASO,-3.075848492
DUXASO,-3.09933414
DUXASO,-3.242736635
DUXASO,-3.273757136
DUXASO,-3.290331449
DUXASO,-3.307222241
DUXASO,-3.329183702
DUXASO,-3.455309336
DUXASO,-3.541655518
DUXASO,-3.796961168
DUXASO,-3.856478139
DUXASO,-3.934359638
DUXASO,-3.992049935
DUXASO,-4.090544628
DUXASO,-4.106923322
DUXASO,-4.126234102
DUXASO,-4.158670757
DUXASO,-4.280600991
DUXASO,-4.305209285
DUXASO,-4.311860524
DUXASO,-4.326334745
DUXASO,-4.377054181
DUXASO,-4.471465876
DUXASO,-4.4911357
DUXASO,-4.728301429
DUXASO,-4.815120849
DUXASO,-4.882898134
DUXASO,-4.883107036
DUXASO,-4.944787001
DUXASO,-4.970416089
DUXASO,-5.106231357
DUXASO,-5.174957129
DUXASO,-5.341549393
DUXASO,-5.514267694
DUXASO,-5.596221846
DUXASO,-5.747958635
DUXASO,-5.778074797
DUXASO,-5.787322208
