gene,DUX4_siNC_1,DUX4_siNC_2,DUX4_siHNRNPU_1,DUX4_siHNRNPU_2
HES4,5.828424125,6.237259531,11.22681192,10.67166095
ANKRD65,1.116404318,1.394982539,0.90649898,0.980967321
PRDM16,0.034213472,0.023602013,0.174360357,0.152694238
TP73,0.625495954,0.613178006,1.640444967,1.676864118
SMIM1,1.305767688,0.411224784,0.257179388,0.859271375
HES3,32.39655212,32.87357401,10.21608895,11.05052779
C1orf127,0.093524485,0.129034909,0.176527414,0.235920856
TMEM82,0.385958631,0.319502238,0.480807826,0.943645695
HSPB7,0.042731839,0.088435114,0.209706441,0.165836163
CLCNKA,0.208291081,0.182374102,1.106866495,0.746167318
CLCNKB,0.701147237,0.451002032,1.158882348,1.323755153
FAM131C,0.194280804,0.134023759,0.29336393,0.603180836
HTR6,0.087937627,0.060663385,2.024983124,1.484539151
PLA2G2A,1.057686989,0.410422904,0.898372627,0.885082859
CDA,1.630063332,2.811230056,5.307382798,5.377136481
WNT4,0.239543357,0.136329544,0.271282774,0.292834567
HTR1D,1.571607211,1.463624537,0.511705337,0.571798412
CD52,1.132958009,0.617025869,1.755786259,2.84638066
HPCA,0.737291035,1.144388203,3.179353992,4.258966522
TMEM54,1.886594118,2.643587897,5.519465322,6.223361912
FAM183A,0.660662284,0.615269212,0.673379838,1.230689251
TAL1,0.087937627,0.020221128,0.033196445,0.034127337
PODN,0.034105224,0.094109355,0.102997746,0.052943001
GLIS1,0.089453631,0.314716889,0.141828691,0.104147028
MROH7,0,0.06341353,0.048581945,0.014269793
FYB2,0.131805537,0.049595711,0.040709926,0.013950503
TNNI3K,0.070602785,0.036528766,0.053305088,0.068499831
ANKRD34A,0.060685187,0.188385343,0.721622523,0.494572138
POLR3GL,2.552505761,2.323029144,8.184545853,8.342447267
TXNIP,15.28335138,15.97463539,14.68325539,15.52680193
DCST2,0.217624867,0.150127558,0.821533635,0.295599856
AL691442.2,10.68979473,10.56369605,74.08987687,71.87374338
EFNA3,5.242783429,4.743227667,49.28408381,48.03106661
EFNA1,1.620651881,1.570523212,15.67362851,17.16140026
DPM3,12.89374855,9.265308064,31.23241063,37.11210709
HAPLN2,0.126347165,0.130740055,0.887146366,1.00028401
CRABP2,150.5586454,145.2473193,179.0767174,191.529427
LRRC71,0.189220262,0.21755461,0.166671466,0.195823148
CD1D,0.408855833,0.423071098,1.692950137,1.249534974
IFI16,0.568089696,0.304806583,1.310550989,1.335053164
CD48,0.068461992,0.088552883,0.058149888,0.099634204
TSTD1,30.24309928,26.817068,58.699745,63.70436202
KLHDC9,4.597979032,3.819677117,8.287531009,7.803652071
FCRLB,0.085947269,0.244572677,0.462342458,0.675436874
LMX1A,0,0,0.03014253,0
FMO1,0.092771511,0.063998019,0.052531853,0.19801814
FMO4,0.766830869,0.748149934,2.28274529,2.474299045
TDRD5,0.136170735,0.211357761,0.277583963,0.475613251
RGS8,0.241603752,0.215520629,0.047175202,0.029098851
LMOD1,0.252707071,0.406767344,1.1447627,0.915338703
PPFIA4,0.625386579,0.724310948,17.26440832,16.69310888
CHI3L1,0.281532893,0.274184793,0.150040428,0
BTG2,3.009931356,2.550194549,30.51857404,34.22017504
PRELP,0.057923901,0.119875645,0.087465065,0.213554664
CAMK1G,0.117144475,0.051950315,0.454855131,0.4870939
AGT,0,0.027235452,0.119231087,0.122574556
EGLN1,7.576265368,8.096718717,67.85560573,68.99924697
AL445524.2,7.908825798,8.464926059,71.61975499,74.47158303
MAP1LC3C,1.153559042,1.002679817,0.783843142,0.859545185
CYS1,0.508619457,0.101212182,0.221542834,0.341632982
PFN4,0.242901442,0.071813353,0.314383775,0.080799925
UCN,1.120882124,1.087362569,0.31734966,1.468119394
GCKR,0.176861958,0.183011166,0.42062183,0.535373273
SULT6B1,0.252198478,0.652417541,1.094856326,0.587247758
PKDCC,18.71642912,17.95329249,7.38245493,6.479222721
C1GALT1C1L,0,0.135176426,0.789031992,1.013947458
SIX3,0.041057007,0.063726741,0,0
STON1,2.109560061,1.801645102,4.917242205,4.928963133
STON1-GTF2A1L,1.828791361,1.878954416,4.509428544,3.956354974
ARHGAP25,0.091534784,0.094717302,0.368579955,0.284186734
C2orf78,0.018290256,0.075704717,0.434987896,0.660131408
CD8B,0,0.08733505,0.167271345,0.208810945
CREG2,0.110456669,0.089804842,0.411017037,0.459285592
ACOXL,3.430592658,3.269088301,3.072996095,2.617597018
ZC3H6,0.72213187,0.659328744,4.63962513,5.335722344
IL37,0.066381204,0.137378346,0.150353385,0.463708748
INHBB,0.2432045,0.107854428,0.039347002,0.10112592
PROC,0.669665297,0.392670811,0.101119431,0.623730083
CFC1B,0.166847905,0.138119152,0.340119355,0.038850773
CFC1,0.033309707,0.413613992,0.264062628,0
MYO3B,0.10143364,0.132949746,0.168481227,0.251935658
SP5,0.375946783,0.750248716,8.271900964,8.378804194
FRZB,1.034887257,1.311267717,1.291602284,0.713089214
IGFBP2,138.8117636,140.2716058,498.7069259,477.3170807
IGFBP5,5.822615131,6.087447825,7.013557539,6.738908695
RUFY4,0.025565219,0.171951529,0.130286712,0.119057957
CATIP,0.058318147,0.07543222,0.346737733,0.237640617
ASIC4,0.074258441,0.087817472,0.096111611,0.074105074
INHA,1.089365878,0.951109924,3.778226159,2.496969569
PRSS56,0.045242754,0.046815773,0.179330915,0.0263371
CHRND,0.053346581,0.110402713,0.140968299,0.10351523
ACKR3,0.699536036,1.030105313,0.487522666,0.501193738
RAMP1,0.922565632,0.301465821,0.274948757,0.734913007
NEU4,0.083142848,0.012290513,1.304778151,1.07862472
TTC21A,0.486060524,0.405370805,0.599758613,0.599684478
TMIE,0.206368988,0.186851095,0.116856405,0.270299888
AC109583.1,0.752619331,0.856665375,2.194778453,2.365854565
PRSS50,0.459934036,1.297977841,2.130852867,2.190606078
PTH1R,0.040024312,0.041415894,0.271965123,0.186394366
PFKFB4,4.933741987,4.529638735,65.96509168,64.92688105
TMEM89,1.256978814,0,0.985519451,0.225145625
SLC38A3,0.210536154,0.50833104,0.54044615,1.209249888
SEMA3B,1.94078709,1.688541354,2.23074583,1.978533534
GPR62,0.735926029,0.625528538,0.744139274,0.856807134
