TE,4C_NC_average,4C_ASO_average
MLT2A1_dup1,0,0
MLT2A1_dup2,0,0
MLT2A1_dup3,0,0
MLT2A1_dup4,0.191356767,0
MLT2A1_dup5,0,0
MLT2A1_dup6,0,0
MLT2A1_dup7,0.126052467,0
MLT2A1_dup8,0,0
MLT2A1_dup9,0.476434733,0
MLT2A1_dup10,0.981666367,0
MLT2A1_dup11,0,0
MLT2A1_dup12,0.11851706,0.077694667
MLT2A1_dup13,0,0.059924067
MLT2A1_dup14,0,0
MLT2A1_dup15,0,0.194611603
MLT2A1_dup16,0.069419233,0
MLT2A1_dup17,0,0
MLT2A1_dup18,0,0.02433202
MLT2A1_dup19,1.666231733,0
MLT2A1_dup20,0.0940913,0.1601762
MLT2A1_dup21,0,1.689858667
MLT2A1_dup22,0,0.045964867
MLT2A1_dup23,0.029089033,0
MLT2A1_dup24,0,0
MLT2A1_dup25,0.1407843,0.589057667
MLT2A1_dup26,0,0
MLT2A1_dup27,0,0
MLT2A1_dup28,0,0.376183567
MLT2A1_dup29,0,0
MLT2A1_dup30,0,0
MLT2A1_dup31,0,0
MLT2A1_dup32,0,0
MLT2A1_dup33,0,0
MLT2A1_dup34,0,0
MLT2A1_dup35,0,0
MLT2A1_dup36,0.488809733,0.0357131
MLT2A1_dup37,0,0.046171
MLT2A1_dup38,0,0
MLT2A1_dup39,0,0
MLT2A1_dup40,0,0
MLT2A1_dup41,0,0
MLT2A1_dup42,0.130338167,0
MLT2A1_dup43,0,0
MLT2A1_dup44,0.9641721,0
MLT2A1_dup45,0,0
MLT2A1_dup46,2.066724567,0
MLT2A1_dup47,0,0
MLT2A1_dup48,0,0
MLT2A1_dup49,0.959513167,0
MLT2A1_dup50,0,0
MLT2A1_dup51,0,0
MLT2A1_dup52,0,0
MLT2A1_dup53,0,0
MLT2A1_dup54,0,0
MLT2A1_dup55,0,0
MLT2A1_dup56,0,0
MLT2A1_dup57,0,0.073642667
MLT2A1_dup58,0,0
MLT2A1_dup59,0,0
MLT2A1_dup60,0.02902524,0
MLT2A1_dup61,0,0
MLT2A1_dup62,0,0
MLT2A1_dup63,1.0029586,0
MLT2A1_dup64,0,0
MLT2A1_dup65,0,0
MLT2A1_dup66,0,0
MLT2A1_dup67,0,0
MLT2A1_dup68,0,0
MLT2A1_dup69,0,0
MLT2A1_dup70,0,0
MLT2A1_dup71,0,0
MLT2A1_dup72,0,0
MLT2A1_dup73,6.496898333,0.030425277
MLT2A1_dup74,3.351218,0
MLT2A1_dup75,0,0
MLT2A1_dup76,0,0
MLT2A1_dup77,0,0
MLT2A1_dup78,0.067942233,0.029962037
MLT2A1_dup79,0,0
MLT2A1_dup80,3.605583667,0
MLT2A1_dup81,0,0
MLT2A1_dup82,0,0
MLT2A1_dup83,0.029162417,0.0771625
MLT2A1_dup84,2.736322233,0
MLT2A1_dup85,0.2219792,0
MLT2A1_dup86,0,0
MLT2A1_dup87,0.09019019,0
MLT2A1_dup88,0,0
MLT2A1_dup89,1.0778744,0
MLT2A1_dup90,0.026956233,0
MLT2A1_dup91,0.556698667,0
MLT2A1_dup92,0,0
MLT2A1_dup93,0,0
MLT2A1_dup94,0,0.0853464
MLT2A1_dup95,0,0.614494
MLT2A1_dup96,0,0
MLT2A1_dup97,0,0
MLT2A1_dup98,0.031739833,0.0656956
MLT2A1_dup99,0,0.064369633
MLT2A1_dup100,0.744355333,0.052520867
MLT2A1_dup101,0.164620767,0
MLT2A1_dup102,0,0
MLT2A1_dup103,0,0
MLT2A1_dup104,0,0
MLT2A1_dup105,0,0
MLT2A1_dup106,6.824636333,0
MLT2A1_dup107,0.640428,0
MLT2A1_dup108,0.305951093,0
MLT2A1_dup109,0.243127267,0.159169
MLT2A1_dup110,0.08740347,0
MLT2A1_dup111,0,0
MLT2A1_dup112,0.029774217,0
MLT2A1_dup113,0,0
MLT2A1_dup114,0,0
MLT2A1_dup115,0.243692633,0.037020367
MLT2A1_dup116,0,0
MLT2A1_dup117,0,0.025720833
MLT2A1_dup118,0,0
MLT2A1_dup119,0,0
MLT2A1_dup120,0,0
MLT2A1_dup121,1.809595667,0.339329567
MLT2A1_dup122,2.8492977,0
MLT2A1_dup123,0,0
MLT2A1_dup124,0,0
MLT2A1_dup125,0,0
MLT2A1_dup126,0,0
MLT2A1_dup127,1.3888316,0
MLT2A1_dup128,0,0
MLT2A1_dup129,0,0
MLT2A1_dup130,0,0
MLT2A1_dup131,0,0
MLT2A1_dup132,0,0
MLT2A1_dup133,0.22436042,0
MLT2A1_dup134,0,0
MLT2A1_dup135,0,0
MLT2A1_dup136,1.336801433,0
MLT2A1_dup137,0,0
MLT2A1_dup138,0,0
MLT2A1_dup139,1.427885667,0
MLT2A1_dup140,0,0
MLT2A1_dup141,0.746094667,0
MLT2A1_dup142,1.916017333,0.2169301
MLT2A1_dup143,1.398687833,0
MLT2A1_dup144,0,0
MLT2A1_dup145,0,0
MLT2A1_dup146,0,0
MLT2A1_dup147,0,0
MLT2A1_dup148,0,0
MLT2A1_dup149,0,0
MLT2A1_dup150,0,0
MLT2A1_dup151,0,0
MLT2A1_dup152,0,0.1435815
MLT2A1_dup153,0,0
MLT2A1_dup154,0,0
MLT2A1_dup155,0.137345567,0
MLT2A1_dup156,0,0
MLT2A1_dup157,0,0
MLT2A1_dup158,0,0
MLT2A1_dup159,0,0
MLT2A1_dup160,0,0
MLT2A1_dup161,218.5785,8.262173333
MLT2A1_dup162,0.6056856,0
MLT2A1_dup163,0,0
MLT2A1_dup164,0,0
MLT2A1_dup165,5.338445667,0
MLT2A1_dup166,0.081168033,0.6114895
MLT2A1_dup167,0,0.065753267
MLT2A1_dup168,0.226824533,0
MLT2A1_dup169,0,0
MLT2A1_dup170,0,0
MLT2A1_dup171,0,0
MLT2A1_dup172,0,0
MLT2A1_dup173,0,0.094142567
MLT2A1_dup174,0.093502367,0.016786197
MLT2A1_dup175,0,0
MLT2A1_dup176,1.081748333,0
MLT2A1_dup177,0,0
MLT2A1_dup178,0,0
MLT2A1_dup179,0,0
MLT2A1_dup180,0,0
MLT2A1_dup181,0,0
MLT2A1_dup182,0,0
MLT2A1_dup183,0,0
MLT2A1_dup184,0,0
MLT2A1_dup185,0,0
MLT2A1_dup186,0,0
MLT2A1_dup187,0,0
MLT2A1_dup188,0.190643867,0.196169333
MLT2A1_dup189,0,0
MLT2A1_dup190,0,0
MLT2A1_dup191,0,0.029615737
MLT2A1_dup192,0,0
MLT2A1_dup193,0,0
MLT2A1_dup194,0,0.675009133
MLT2A1_dup195,0,0
MLT2A1_dup196,0,0
MLT2A1_dup197,0,0
MLT2A1_dup198,0,0
MLT2A1_dup199,0,0
MLT2A1_dup200,0,0.127656933
MLT2A1_dup201,0,0.165672433
MLT2A1_dup202,0,0
MLT2A1_dup203,0,0
MLT2A1_dup204,0,0
MLT2A1_dup205,0.031363767,0
MLT2A1_dup206,0,0
MLT2A1_dup207,0,0
MLT2A1_dup208,0,0
MLT2A1_dup209,0,0
MLT2A1_dup210,0,0
MLT2A1_dup211,0,0
MLT2A1_dup212,0,0
MLT2A1_dup213,0,0
MLT2A1_dup214,0.098527367,0
MLT2A1_dup215,0,0
MLT2A1_dup216,0,0
MLT2A1_dup217,0,0
MLT2A1_dup218,0,0
MLT2A1_dup219,0,0
MLT2A1_dup220,0,0
MLT2A1_dup221,0,0
MLT2A1_dup222,0,0
MLT2A1_dup223,0.987907793,0
MLT2A1_dup224,0,0
MLT2A1_dup225,8.865500333,0
MLT2A1_dup226,0,0
MLT2A1_dup227,0.056082667,0
MLT2A1_dup228,0,0
MLT2A1_dup229,0.365016533,0.300996
MLT2A1_dup230,0,0.360991667
MLT2A1_dup231,0.167187667,0.147457133
MLT2A1_dup232,0,0
MLT2A1_dup233,0.271015633,0.1045543
MLT2A1_dup234,0.5763168,0
MLT2A1_dup235,0,0
MLT2A1_dup236,0.720884333,2.920743667
MLT2A1_dup237,0.4423608,0.320049
MLT2A1_dup238,2.976936333,0.487397133
MLT2A1_dup239,0,0
MLT2A1,0,0
MLT2A1_dup240,0,0.1837494
MLT2A1_dup241,0,0.184684033
MLT2A1_dup242,0,0
MLT2A1_dup243,0,0
MLT2A1_dup244,2.9296572,0.03035613
MLT2A1_dup245,0.114045867,0.149070267
MLT2A1_dup246,0,0.429411
MLT2A1_dup247,0.05703651,0.117164
MLT2A1_dup248,0,0
MLT2A1_dup249,0,0
MLT2A1_dup250,0,0.05380013
MLT2A1_dup251,0,0
MLT2A1_dup252,0,0
MLT2A1_dup253,0,0
MLT2A1_dup254,0,0
MLT2A1_dup255,4.213176,0
MLT2A1_dup256,1.012488333,0
MLT2A1_dup257,0,0.060989467
MLT2A1_dup258,0,0
MLT2A1_dup259,0,0
MLT2A1_dup260,0,0
MLT2A1_dup261,0.291624167,0
MLT2A1_dup262,1.633211333,0
MLT2A1_dup263,1.497886,0
MLT2A1_dup264,0,0
MLT2A1_dup265,0,0
MLT2A1_dup266,0,0
MLT2A1_dup267,0,0
MLT2A1_dup268,0,0
MLT2A1_dup269,0,0
MLT2A1_dup270,0,0
MLT2A1_dup2588,0,0
MLT2A1_dup2589,0.289369433,0
MLT2A1_dup2590,0.0878463,0
MLT2A1_dup2591,2.7876128,1.006393433
MLT2A1_dup2592,0.0975677,0.259313367
MLT2A1_dup2593,0,0
MLT2A1_dup2594,0.2659933,0.0291104
MLT2A1_dup2595,0,0
MLT2A1_dup2596,2.3671297,0.187744733
MLT2A1_dup2597,0,0
MLT2A1_dup2598,0,0
MLT2A1_dup2599,0,0
MLT2A1_dup2600,1.379660267,0
MLT2A1_dup2601,0,0
MLT2A1_dup2602,0,0
MLT2A1_dup2603,0,0
MLT2A1_dup2604,0,0
MLT2A1_dup2605,0,0
MLT2A1_dup2606,0,0.180871733
MLT2A1_dup2607,0,0
MLT2A1_dup2608,0,0
MLT2A1_dup2609,0,0
MLT2A1_dup2610,0,0
MLT2A1_dup2611,0,0
MLT2A1_dup2612,0,0
MLT2A1_dup2613,0,0
MLT2A1_dup2614,0,0
MLT2A1_dup2615,0,0
MLT2A1_dup2616,0,0.029261623
MLT2A1_dup2617,0,0
MLT2A1_dup2618,0,0
MLT2A1_dup2619,0,0
