TE,8C_NC_average,8C_KD_average
MLT2A1_dup1,0,0
MLT2A1_dup2,0.026342441,0
MLT2A1_dup3,0,0
MLT2A1_dup4,0,0
MLT2A1_dup5,0,0
MLT2A1_dup6,0,0
MLT2A1_dup7,0,0.485679259
MLT2A1_dup8,0,0.540777971
MLT2A1_dup9,0.181640992,1.170374144
MLT2A1_dup10,2.385969604,0.738132245
MLT2A1_dup11,0,0
MLT2A1_dup12,0.02832486,0.51495833
MLT2A1_dup13,0,0
MLT2A1_dup14,0,0
MLT2A1_dup15,0.339785686,0.236887639
MLT2A1_dup16,0,0
MLT2A1_dup17,0,0
MLT2A1_dup18,0,0.212602571
MLT2A1_dup19,0.086566609,0
MLT2A1_dup20,0.729935661,1.034856703
MLT2A1_dup21,0,0
MLT2A1_dup22,0,0
MLT2A1_dup23,0,0
MLT2A1_dup24,0,0
MLT2A1_dup25,0.868775297,3.301286788
MLT2A1_dup26,0,0.197384177
MLT2A1_dup27,0,0
MLT2A1_dup28,0.088114586,0.319594124
MLT2A1_dup29,0,0
MLT2A1_dup30,0,0
MLT2A1_dup31,0,0
MLT2A1_dup32,0,0
MLT2A1_dup33,0,0
MLT2A1_dup34,0,0
MLT2A1_dup35,0,0
MLT2A1_dup36,0.629119481,0.670738943
MLT2A1_dup37,0.35065676,0
MLT2A1_dup38,0,0.165572475
MLT2A1_dup39,0,0.316747343
MLT2A1_dup40,0,0
MLT2A1_dup41,0,0
MLT2A1_dup42,0,0
MLT2A1_dup43,0,0
MLT2A1_dup44,0.504360994,0
MLT2A1_dup45,0,0.056248566
MLT2A1_dup46,4.481826615,0.033009722
MLT2A1_dup47,0,0
MLT2A1_dup48,0,0
MLT2A1_dup49,0.138536673,0
MLT2A1_dup50,0,0
MLT2A1_dup51,0,0
MLT2A1_dup52,0,0
MLT2A1_dup53,0,0
MLT2A1_dup54,0,0
MLT2A1_dup55,0,0
MLT2A1_dup56,0,0.031077535
MLT2A1_dup57,0,0
MLT2A1_dup58,0,0
MLT2A1_dup59,0,0
MLT2A1_dup60,0.025506854,0.031952583
MLT2A1_dup61,0,0
MLT2A1_dup62,0,0
MLT2A1_dup63,4.967256637,0.874598378
MLT2A1_dup64,0,0
MLT2A1_dup65,0,0
MLT2A1_dup66,0,0
MLT2A1_dup67,0,0
MLT2A1_dup68,0,0
MLT2A1_dup69,0,0
MLT2A1_dup70,0,0
MLT2A1_dup71,0,0
MLT2A1_dup72,0,0
MLT2A1_dup73,10.0787342,1.359003555
MLT2A1_dup74,1.415565714,0.557040714
MLT2A1_dup75,0,0
MLT2A1_dup76,0,0
MLT2A1_dup77,0,0
MLT2A1_dup78,0.028444232,0
MLT2A1_dup79,0,0
MLT2A1_dup80,0.700846031,0.102367994
MLT2A1_dup81,0,0
MLT2A1_dup82,0,0.178001791
MLT2A1_dup83,0,0.76446483
MLT2A1_dup84,1.612459651,1.319684138
MLT2A1_dup85,0,0.165746854
MLT2A1_dup86,0,0
MLT2A1_dup87,0,0
MLT2A1_dup88,0,0.452401334
MLT2A1_dup89,0.295478937,0.097428232
MLT2A1_dup90,0,0.171838796
MLT2A1_dup91,0,0.170243843
MLT2A1_dup92,0,0
MLT2A1_dup93,0,0
MLT2A1_dup94,0,0
MLT2A1_dup95,0,0
MLT2A1_dup96,0,0
MLT2A1_dup97,0,0
MLT2A1_dup98,0.025647557,0
MLT2A1_dup99,0,0
MLT2A1_dup100,0.249301426,0.15283613
MLT2A1_dup101,0,0.098334887
MLT2A1_dup102,0,0
MLT2A1_dup103,0,0
MLT2A1_dup104,0,0
MLT2A1_dup105,0,0
MLT2A1_dup106,3.308650228,0
MLT2A1_dup107,0,0
MLT2A1_dup108,2.473543709,0.017101382
MLT2A1_dup109,0.351479898,0.256520735
MLT2A1_dup110,0.025904511,0
MLT2A1_dup111,0.057040166,0
MLT2A1_dup112,1.921306884,0.378328689
MLT2A1_dup113,0,0
MLT2A1_dup114,0,0
MLT2A1_dup115,0.064736323,0.076011575
MLT2A1_dup116,0,0.334812892
MLT2A1_dup117,0.07539084,0.192632075
MLT2A1_dup118,0,0
MLT2A1_dup119,0,0
MLT2A1_dup120,0,0
MLT2A1_dup121,4.064620949,9.996370294
MLT2A1_dup122,2.607907453,0.745719623
MLT2A1_dup123,0,0
MLT2A1_dup124,0,0
MLT2A1_dup125,0,0
MLT2A1_dup126,0,0
MLT2A1_dup127,0,0.794225295
MLT2A1_dup128,0,0
MLT2A1_dup129,0,0
MLT2A1_dup130,0,0
MLT2A1_dup131,0,0
MLT2A1_dup132,0,0
MLT2A1_dup133,0,0
MLT2A1_dup134,0,0
MLT2A1_dup135,0,0
MLT2A1_dup136,10.05718872,0.822324646
MLT2A1_dup137,0,0
MLT2A1_dup138,0,0
MLT2A1_dup139,1.927567828,0.530646847
MLT2A1_dup140,0.283248597,0
MLT2A1_dup141,0.846593503,0
MLT2A1_dup142,4.153307119,2.428993659
MLT2A1_dup143,1.02781805,1.31558496
MLT2A1_dup144,0,0
MLT2A1_dup145,0,0
MLT2A1_dup146,0.547933103,0.355815506
MLT2A1_dup147,0,0
MLT2A1_dup148,0,0
MLT2A1_dup149,0,0
MLT2A1_dup150,0,0
MLT2A1_dup151,0,0
MLT2A1_dup152,0,0.03022219
MLT2A1_dup153,0.05092872,0
MLT2A1_dup154,0,0
MLT2A1_dup155,0,0
MLT2A1_dup156,0,0
MLT2A1_dup157,0,0
MLT2A1_dup158,0,0
MLT2A1_dup159,0,0
MLT2A1_dup160,0,0
MLT2A1_dup161,369.9286253,2.977831724
MLT2A1_dup162,0.522249277,0
MLT2A1_dup163,0,0
MLT2A1_dup164,0,0
MLT2A1_dup165,8.39617256,1.139817635
MLT2A1_dup166,0.546129251,0.584807436
MLT2A1_dup167,0,0.574523289
MLT2A1_dup168,0,0
MLT2A1_dup169,0,0.066962578
MLT2A1_dup170,0,0.14959725
MLT2A1_dup171,0,0
MLT2A1_dup172,0,0
MLT2A1_dup173,0,0
MLT2A1_dup174,0,0
MLT2A1_dup175,0,0
MLT2A1_dup176,1.11803469,0.806775814
MLT2A1_dup177,0,0
MLT2A1_dup178,0,0
MLT2A1_dup179,0,0
MLT2A1_dup180,0,0
MLT2A1_dup181,0,0
MLT2A1_dup182,0,0
MLT2A1_dup183,0,0
MLT2A1_dup184,0,0
MLT2A1_dup185,0,0.654053091
MLT2A1_dup186,0,0
MLT2A1_dup187,0,0.093126765
MLT2A1_dup188,0.212836441,0.098334887
MLT2A1_dup189,0,0.297087496
MLT2A1_dup190,0,0.281242829
MLT2A1_dup191,0,0
MLT2A1_dup192,0,0
MLT2A1_dup193,0,0
MLT2A1_dup194,0,0.192277712
MLT2A1_dup195,0,0
MLT2A1_dup196,0.022374542,0
MLT2A1_dup197,0,0
MLT2A1_dup198,0.970488829,0
MLT2A1_dup199,0.197485749,0
MLT2A1_dup200,0,0
MLT2A1_dup201,0,0
MLT2A1_dup202,0,0
MLT2A1_dup203,0,0
MLT2A1_dup204,0,0
MLT2A1_dup205,0,0
MLT2A1_dup206,0,0
MLT2A1_dup207,0,0
MLT2A1_dup208,0,0
MLT2A1_dup209,0,0
MLT2A1_dup210,0,0
MLT2A1_dup211,0,0
MLT2A1_dup212,0,0
MLT2A1_dup213,0,0
MLT2A1_dup214,0.212308311,0
MLT2A1_dup215,0,0.236748922
MLT2A1_dup216,0,0
MLT2A1_dup217,0,0
MLT2A1_dup218,0,0
MLT2A1_dup219,0.72203916,0.122485175
MLT2A1_dup220,0,0.234369024
MLT2A1_dup221,0,0
MLT2A1_dup222,0,0
MLT2A1_dup223,0.634504443,0.06208451
MLT2A1_dup224,0,0
MLT2A1_dup225,2.376673594,0
MLT2A1_dup226,0,0
MLT2A1_dup227,0.197137719,0
MLT2A1_dup228,0,0
MLT2A1_dup229,0.832706184,0
MLT2A1_dup230,0,0
MLT2A1_dup231,0,0.073623777
MLT2A1_dup232,0,0
MLT2A1_dup233,0,0
MLT2A1_dup234,0.364922323,0.172924868
MLT2A1_dup235,0,0
MLT2A1_dup236,0.897631749,0.853391425
MLT2A1_dup237,0,0
MLT2A1_dup238,1.332554669,5.417652
MLT2A1_dup239,0,0
MLT2A1,0.033391095,0.114326353
MLT2A1_dup240,0.091950104,0.172700101
MLT2A1_dup241,0,0.432028686
MLT2A1_dup242,0.224895515,0.017021469
MLT2A1_dup243,0,0
MLT2A1_dup244,0.250461085,1.228309359
MLT2A1_dup245,0.209239268,0
MLT2A1_dup246,0,0.094588395
MLT2A1_dup247,0,0
MLT2A1_dup248,0,0
MLT2A1_dup249,0,0
MLT2A1_dup250,0.050134161,0.295431785
MLT2A1_dup251,1.05972476,0.656233268
MLT2A1_dup252,0,0
MLT2A1_dup253,0,0
MLT2A1_dup254,0,0.587554657
MLT2A1_dup255,7.552678841,0
MLT2A1_dup256,1.192109807,0.0389533
MLT2A1_dup257,0,0
MLT2A1_dup258,0,0
MLT2A1_dup259,0,0
MLT2A1_dup260,0,0
MLT2A1_dup261,0,0.060168379
MLT2A1_dup262,6.280610827,0.36056773
MLT2A1_dup263,1.255205847,0.242731906
MLT2A1_dup264,0,0
MLT2A1_dup265,0,0
MLT2A1_dup266,0,0
MLT2A1_dup267,0,0
