gene,4C_NC3,4C_NC2,4C_NC1,4C_KD1,4C_KD2,4C_KD3
PRAMEF11,2.15787231,2.548812047,2.422979721,-0.133278071,-0.127578055,0.140866477
HNRNPCL1,2.340998176,2.846958569,2.562541993,-0.159380863,0.119946411,0.260809402
PRAMEF4,2.315109397,2.778365006,2.792429723,-0.103220068,-0.036307007,0.039849779
PRAMEF10,2.004984283,2.282299104,2.049759074,-0.205503168,-1,-0.698635258
PRAMEF6,2.286790126,2.8190787,2.685054672,0.396757718,0.114459693,0.587375423
PRAMEF27,2.360987172,2.564944358,2.637431712,-0.453658001,0.082059969,-0.198670075
HNRNPCL3,2.376511749,2.824211549,2.401214689,-0.579260691,-0.000422412,-0.363901988
PRAMEF25,1.963860131,2.240986185,2.229044743,-0.078913449,-0.073108639,0.30345106
HNRNPCL2,2.500219225,2.909552089,2.667671935,-0.332292007,0.421778886,0.110291566
PRAMEF26,2.415327331,2.803330602,2.683787954,0.099836664,0.364731289,0.592424458
HNRNPCL4,2.510593483,3.10653307,2.711409726,-0.377614621,-0.086132956,0.022193324
PRAMEF9,2.359288446,2.849295971,2.656371636,-0.423634302,-0.041112237,0.081626902
PRAMEF18,1.576178828,2.048085598,1.89905822,-0.837445979,-1,-1
PRAMEF5,2.36166237,2.889806431,2.666162957,-0.02429133,0.143768013,0.412693447
PRAMEF33,1.724340481,2.315626535,1.834671989,-0.650471358,-1,-1
PRAMEF15,2.443262557,2.886390518,2.70574173,-0.453991489,0.096688078,0.297453526
PRAMEF17,1.680993651,1.934731677,2.088080281,-0.659697629,-0.823008658,-1
PRAMEF20,2.192017066,2.430399418,2.326663505,-1,-0.223933786,-0.087623245
RSRP1,1.587993588,2.090096106,1.433638826,-0.07987999,0.05165548,-0.133446277
MFSD2A,1.30881535,1.859759036,1.643873104,0.972439237,1.307272291,0.945902346
KLF17,1.933916687,2.397664087,2.294138454,-0.797541665,-0.454399031,-0.905993955
PTGER3,-1,-0.324755552,0.082738161,-1,-1,-0.629872403
BRDT,1.832305665,2.118612234,2.118873306,1.424360762,1.290419529,1.264169212
WDR47,1.666468194,1.760852564,1.900190258,1.190987267,1.093263168,1.007890817
CCSAP,1.010368862,0.7598862,0.801917234,0.809130044,0.674976051,0.498487839
ALPG,1.913540419,2.240643811,1.970855688,-0.540197994,-0.132433807,-0.425036405
CCK,0.870615116,1.286004362,1.695811481,-0.549846114,0.026158379,-0.183582339
PRR20G,2.724361307,3.274379555,2.839016773,-0.638565041,0.887440381,-0.226836461
DBR1,2.09690031,2.346556144,1.98529884,-0.63116552,0.053608342,-0.497875767
AGTR1,-0.548355734,0.758565772,-0.221804142,-1,-1,-1
SLC34A2,1.810324039,2.28518271,1.935310457,-0.277539564,0.828713956,0.597695954
ART3,0.558404408,0.632695637,0.765681622,-0.210941152,-0.357465159,-0.110354804
H3Y2,2.345728431,2.973235254,2.94799138,-0.687331586,0.900361877,0.994841156
H3Y1,2.841041769,3.488641256,3.304464987,-0.140474323,0.985825197,0.961796584
CDH10,0.317459761,0.214539021,0.366219947,-0.595461779,-0.529848412,-0.848535385
AC113348.2,2.674799125,3.349142192,3.107147758,1.091073212,1.347156812,0.939173991
AC113348.1,2.961793264,3.637403461,3.394224935,-0.11783877,1.046157469,0.370347551
AL365232.1,3.336567881,4.070954148,3.82814186,0.617378509,1.564545029,1.173110113
KHDC1L,3.519393191,4.266353258,4.030532258,0.792718362,1.773890342,1.319203435
SGK1,1.086520723,1.774924708,1.245084457,0.187947625,0.671402247,0.319553047
ZNF679,2.44639342,2.90084037,2.645134556,0.024529628,-1,-1
PRSS58,0.966457647,0.220221399,1.229556651,-1,-1,-0.249619771
FAM9B,0.086238955,-0.279731079,0.556806458,0.513225151,-0.362304762,-0.352960875
ZNF596,1.958416557,2.393792398,2.179015255,0.493364301,0.68873564,0.503623061
GNRH1,0.08883383,-0.642610222,0.234759331,-0.504765325,-0.838613198,-1
ANXA13,-0.509752901,0.182555681,-0.119816988,-0.675530894,-0.059077813,-0.61863195
ASCL2,0.128776405,-0.654341005,0.680834177,-1,-0.845065795,-1
NXF1,1.746867972,1.891737345,1.679841657,0.752218256,0.820283397,1.023467842
UBTFL1,1.916161836,1.625541777,1.929272294,-0.339857325,-0.520712416,0.309260368
PFKFB3,0.731867602,1.778523095,0.959605469,0.11808359,0.514331383,0.537502193
SAMD8,1.546706311,1.518826974,1.344945,-0.038417996,-0.359746096,0.160778208
VAMP1,1.338921251,1.372409255,0.836484369,0.007482134,0.187931706,0.112127826
CCNA1,2.471744968,2.777353198,2.68194212,-0.482445722,-0.868800931,-0.357277625
HSPA2,0.837968496,1.188251867,0.628859334,-0.225187391,0.275665936,0.240346185
HBA2,1.524594458,1.170567719,1.253671886,-0.670675638,-0.112387112,0.171768478
MYLK3,0.493903278,-0.043689398,0.619652163,-0.898090835,-0.616693708,-0.626500536
SIAH1,1.819812518,2.553850304,2.107114219,0.891459498,0.812799338,0.550034635
AC025287.4,1.597024025,2.113955717,1.892874691,-0.538827707,0.230608936,-0.389410279
CPHXL,1.824045334,2.440567467,2.160204944,1.276812214,1.375838967,1.477864418
SNAI1,1.547351012,1.898263252,1.416495867,-0.533692469,0.13265004,0.759183223
C3,0.158944395,0.171716034,-0.117772692,-0.976108248,-0.153108005,-0.590927934
MBD3L2B,2.407994303,2.901166832,2.698638547,-0.037003534,0.889982687,0.99422683
MBD3L2,3.246710216,3.769672431,3.549909605,0.752927387,1.713988065,1.814249196
CLEC17A,0.587297182,0.795222522,0.70531833,-0.788100692,-0.131629447,-0.774054524
LEUTX,3.133335855,3.363593111,3.404993394,0.719608115,0.858009498,1.109307272
TPRX1,2.330834166,2.969556537,2.567575912,-0.720234984,-0.596805616,-1
ZSCAN5B,2.304700333,2.877987434,2.225982581,0.880627439,1.117074683,1.112943611
DUXA,3.005796269,3.630998992,3.324799849,0.32522392,-0.485101072,0.359094296
ZSCAN4,2.404292858,2.882303445,2.449905447,0.232062627,0.89964191,1.134004393
ZNF280A,1.994248001,2.672170233,2.388905653,0.107035325,-0.005660364,0.010458937
BIK,2.545973235,2.918677072,2.922140754,-0.3056777,-0.286166544,0.1658794
