gene,4C_NC3,4C_NC2,4C_NC1,4C_KD1,4C_KD2,4C_KD3
PRAMEF12,2.157017519,2.521602177,2.525664273,-0.816619168,0.420575811,0.530512645
PRAMEF1,1.917077129,2.100684305,2.165446134,-0.666718557,-0.281366588,-0.495968175
PRAMEF2,2.314003841,2.590487927,2.508958458,-0.006223819,0.216748251,0.693456447
PRAMEF7,1.150313605,1.722284777,1.846160633,-1,-0.469634124,0.266742794
PRAMEF13,1.358487125,2.090825256,2.106382459,-0.752393399,-0.281798351,0.22105621
PRAMEF8,0.895364559,1.715778825,1.704127985,-0.762795926,-0.739992496,0.192776763
PRAMEF14,2.059468882,2.301690397,2.099175499,-0.707690842,0.103771334,0.35949077
GJA4,-1,-1,-0.742124108,0.315667773,-1,-1
KLF18,1.264822297,0.580746757,0.997560516,-0.1493967,-0.600689329,0.116850205
TACR1,-0.355413646,-0.268146813,-0.261463855,-1,-1,-1
TRIM43B,2.240936034,1.907053723,2.163962068,-0.806163953,0.059610543,0.883908196
TRIM43,2.479576929,2.021134137,2.388807757,-0.676833242,0.162897447,1.112446999
CXCR4,1.251757843,0.388588743,0.044633901,-0.785828396,-1,0.525194702
SCN7A,-0.462053604,-0.621819053,-0.413516172,-0.594732269,-0.030582485,-0.767979519
STK17B,1.298346555,1.340198763,1.020500884,0.922957896,0.864420267,0.800885965
FRG2C,1.624459982,1.506269432,1.663697393,0.305166244,1.164890872,1.400777218
CHST13,-0.254698399,-0.244061496,-0.242775317,0.380317599,-0.194917359,0.344659974
ARSJ,-0.650488102,-0.726863685,-0.604309244,-0.864966144,-0.274107714,-0.385478342
FRG2,1.83785672,1.89019605,1.503210451,0.592727256,0.780098365,1.139571922
TAF11L11,2.141802904,2.232012669,2.304165501,0.220789882,1.451177752,1.067174068
TAF11L12,1.816812596,2.503200958,2.142956624,-1,1.33935168,0.357155995
TAF11L13,1.096471289,1.72986089,1.061451233,-1,0.551153171,-0.448747894
BHMT,0.623744718,0.265857864,0.417273294,-0.629766038,0.298792306,-0.062219915
SLC36A2,0.013407639,0.118521605,-0.338644656,-0.634731459,-1,-0.928527191
KCNK17,-0.597014911,-0.192765035,-0.114113987,-0.073471772,-0.104004224,-0.186600633
RCAN2,0.582909777,0.17490511,0.583149475,0.751946923,0.789066716,0.8223163
AL365214.2,2.161312206,2.021458918,2.117104488,0.379801559,0.757547996,1.287951625
RFPL4B,2.409520767,2.245535979,2.309794923,0.602673617,0.946561336,1.508508461
MAN1A1,0.353176917,0.394360919,-0.057310968,0.684876737,0.812364348,0.241452562
AGMO,1.539997304,1.00089757,1.113737551,1.733758622,1.596440512,1.503480993
PRR23D1,1.304115338,1.294250584,1.55207691,0.505715503,0.694825402,1.410749337
PRR23D2,0.764335954,0.898050001,1.070426419,-0.032555661,0.591283588,1.006775346
NEFM,1.581655096,1.537005538,1.501028038,1.21727376,1.29475229,1.552536661
ZHX2,-0.044032054,0.118666532,0.145102194,0.295661194,0.141030746,0.44865249
THEM6,-0.137382304,-0.263301598,-0.836110837,0.324207843,0.517372489,0.281416517
SLC1A1,-0.318590172,0.241551656,-0.440585398,-0.661422674,-1,-0.666954276
SH3GL2,0.172549614,0.587099183,0.351051573,0.797085316,0.901529269,1.133485219
FAM189A2,0.440220525,0.20027001,0.256297982,0.799586999,1.042885762,0.82006179
COL5A1,-0.217598815,-0.655367394,-0.505918812,-0.011242922,-0.641969699,-0.315867195
SSU72P5,2.516184535,2.688789484,2.808281142,1.388828436,1.468548581,1.508038594
SSU72P2,2.73273244,3.065769356,3.093743067,0.605286264,1.060688167,1.657040376
SSU72P4,2.574182425,2.756505595,2.893406619,0.70521628,1.235518745,1.511544295
SSU72P3,2.414288198,2.586561557,2.755215492,2.334292092,2.228738811,1.939726683
SSU72P7,2.494803973,2.845953173,2.975233099,0.288832977,1.184681736,1.649482112
OR52A1,-0.877741098,-0.451840152,-0.503990961,-1,-0.852088704,-0.251375575
TRIM49B,1.885495099,0.56144871,1.48760977,0.126115256,0.318676922,1.334684902
