gene,8C_NC3,8C_NC1,8C_NC2,8C_KD3,8C_KD2,8C_KD1
MRPL20,56.31458873,137.7560118,117.1551955,12.74552401,39.0813614,40.88597754
MIB2,1.168289334,1.193588138,0.226325821,0.549546906,0.326076279,0.375123348
MASP2,0.148686128,0.967126441,0.699153797,0.848815667,0.115781339,0.286943744
FBXO2,0.600338456,0.460994134,0,0.33510373,0.65447388,0
FBXO44,0.081572911,0.291824303,0.298867434,0.64201943,0.391286434,0.159846396
FBXO6,0.729633251,0.444926937,1.1078918,0.805293683,1.022692901,0.649888459
CDC42,28.79197526,61.92889942,30.18412259,10.74684483,20.15974185,22.87599991
TEX46,0.348736554,3.248940389,1.878975829,0,0,0
LUZP1,12.33883946,40.47040005,11.4664607,15.42938062,15.81016609,10.77977304
RSRP1,24.22216322,59.97669475,140.8821457,30.41777482,30.87647816,2.97386738
SH3BGRL3,281.7958558,636.8279211,573.2034552,7.589807374,9.45251544,4.505077248
DNAJC8,142.4610528,285.728804,377.2687195,41.09856275,151.8864771,144.6484969
ATP5IF1,137.4531413,240.238772,174.648481,63.92078671,30.03806094,34.92468938
YTHDF2,57.63411632,83.37988609,75.82415735,17.50663534,33.62536006,21.16625192
TMEM234,1.756378304,6.292991006,9.116005668,0.742042215,0.496883838,0.999886729
RNF19B,58.62181302,43.01746452,31.00310118,9.76497056,6.307368129,11.16036104
A3GALT2,0.843717469,2.26377782,0.242448494,0,0,0.183700957
PPIE,1.629412297,11.22654353,4.988812578,0.472086185,3.721864224,2.973300071
ZNF684,18.92691455,79.16141219,15.87646716,1.305068458,12.74720065,5.302654614
CCDC30,0.376670344,0.156530715,0.67157396,0.525635315,0.406725707,0.417514102
CFAP57,1.637198326,15.08897201,11.13400754,0.576741088,0.701184166,0.244525607
ST3GAL3,0.177278146,0,0.162378245,0.061846954,0.035431765,0.106145667
KLF17,103.1741509,203.5457041,83.08046228,6.220550986,9.38969809,0.208145974
AL451136.1,5.384124506,12.45677549,5.241853812,2.906739812,3.38321607,1.188116471
TESK2,6.085290003,13.0764222,5.137603389,2.119343621,2.821555312,1.160736556
STIL,28.54583995,33.85706921,15.4526498,13.31507834,8.990974431,13.41592709
RNF11,48.35189737,66.25833906,171.9317224,18.31474726,2.629121881,3.744028576
TCEANC2,3.579794483,4.440859348,1.574615099,0.487014267,1.774177754,0.833991477
GADD45A,16.50022095,10.60454143,23.44961835,67.57542782,7.783681731,5.418128526
C1orf52,50.2058274,186.2155834,91.84895356,41.03648483,0.951174173,0.824237191
COL24A1,0.126293077,0,0.187936859,0.040283259,0.113329699,0.009820552
WDR47,70.44707043,92.40418385,49.6834685,21.93806407,17.20570912,12.25789598
RBM15,7.6023822,7.456839971,12.78628969,3.827478877,3.98948778,9.959679802
SLC16A1,87.75300186,291.289035,167.7038986,23.72659662,27.46476356,31.32690953
SIKE1,16.44043754,84.70969883,35.06390778,29.00208715,30.22179369,25.30019411
SYCP1,1.116397173,1.303221531,1.666833397,1.621726022,0,0
RBM8A,149.7522218,325.1811789,108.5580388,31.95240661,39.44814315,21.61907002
NOTCH2NLA,1.498376029,0.899199464,0.020969294,0.505086944,2.566915759,1.874812088
H2BC21,18.48987221,34.51991759,3.221835492,3.315859327,6.110468374,0.813718211
CTXND2,0.327738584,0.90727123,0,0.117604826,0,0
TNFAIP8L2,3.627402238,1.92579679,2.891480939,0,0,0
SCNM1,105.7043573,297.9421672,178.3628168,14.55400563,11.53680171,7.715102529
LYSMD1,51.71396004,54.71899603,65.14606987,0.691561396,2.04384533,0.487049249
RPS27,548.2678016,721.8033067,970.8072247,241.1282188,302.3451954,411.408212
SLC50A1,5.434477965,14.47861127,6.916076417,1.564780799,5.307950978,4.417065971
DPM3,5.273098537,16.5476578,18.54204765,0.774578412,9.35047864,11.4810145
HCN3,0.189950823,0.040448963,0,0.215844557,0.116218147,0
PKLR,0.472247417,0,0,0,0.093348705,0
ASH1L,5.641916837,8.224012384,3.090810625,1.137769495,2.703645266,1.636154866
CRABP2,25.26083865,4.122130653,2.636123206,12.60128832,18.0389039,5.297361761
ETV3L,0.685018231,0.40843822,0.118107052,0.298249573,1.783760397,0.805397484
TSTD1,42.44709459,47.36450239,10.61927442,15.61684676,25.11758638,17.50522796
PFDN2,262.2263025,650.8176937,853.6087343,30.10203796,158.2616807,224.391607
CCDC190,0.53328574,0.65581021,0,1.015817592,0.251236922,0.326562928
TMCO1,35.57187793,141.314943,121.8470735,6.169023232,18.60661694,16.87767351
ADCY10,0.159291,1.215138623,0.252427139,0.682552291,0,0.489629909
KIAA0040,0.784602379,0.125950112,0.325184615,0,0,0
AXDND1,0.207901739,0.957874493,0,0.58551971,0.663758504,0.694422202
TOR1AIP2,9.764013831,34.01617868,7.857535286,2.315011176,2.637264112,1.279323014
IER5,15.2722703,7.207218585,8.19172633,1.467956079,0.258114391,0.603904326
GLUL,52.74428016,74.85109733,51.2141574,2.693786814,3.394287897,1.935022741
KDM5B,20.26051672,31.51301242,7.874356877,3.455853494,3.998634273,1.509507044
RABIF,27.5808238,56.9796853,86.27987119,2.71864854,17.95168324,12.38179203
PM20D1,6.082521128,9.690826408,1.876097276,1.882127644,5.021309427,2.087267831
ZC3H11B,0.208609782,0.60463664,0.349682511,0.223184668,0.992711304,0.662377924
DNAH14,0.432445369,0.914646093,0.821795502,0.122324626,0.270305009,0.286283572
SRP9,277.3138939,494.4255046,224.981964,30.75194926,45.33618618,37.16195897
H3-3A,23.69761813,64.93996809,26.04285208,8.687346763,35.62807046,25.6671304
CCSAP,18.96286363,22.64589858,14.85493005,2.132894566,3.00911945,2.763177132
SLC35F3,0.300477971,0.622077359,0.989364993,0.097839118,1.515677493,0.245334307
COA6,39.59140517,141.2072858,90.2577102,2.751863375,13.38315282,5.532094608
