gene,4C_NC3,4C_NC2,4C_NC1,4C_KD1,4C_KD2,4C_KD3
MMP23B,0.577008475,0.204342438,0.75720897,0.723441469,0.792110481,0.311704447
CDK11B,33.23929861,41.27257361,40.02985327,27.60158085,31.52426503,20.79965883
PRKCZ,2.263113285,0.966145387,1.356112555,1.530376097,1.888052814,2.094030068
CCDC27,25.25543835,19.77512131,39.34777539,68.61573123,68.45091591,65.21338043
RERE,6.311030197,6.864628778,9.258062794,13.12567518,18.35693537,16.32119117
PIK3CD,1.619761327,0.533603832,0.450388684,1.06680755,2.820620793,2.845847326
CLSTN1,10.75729005,10.31654438,7.61922563,17.81443255,15.61766772,11.78809004
PEX14,4.610582088,7.837424581,9.989212037,6.336716774,8.475240765,8.881769443
DNAJC16,3.305939163,1.368089685,1.324264578,7.76932633,3.439692651,7.93730639
AGMAT,0.693703545,1.455816077,0.606898708,9.095439165,2.796002256,8.142586275
ZBTB17,2.381818519,4.51637753,4.397258929,6.926942028,5.692190157,5.763591657
MFAP2,0.791671266,1.827553774,4.181297042,2.906381851,17.2131088,9.320675557
ZBTB40,2.116112034,2.260492256,2.875612344,1.847218654,1.342089252,3.37320032
ELOA,22.49423952,30.67353976,29.15143923,18.45884033,18.65859577,19.66206904
MACO1,9.392792367,5.548675225,9.651131666,46.84655964,29.60953825,20.15229177
AL020996.2,3.51409636,9.386980748,3.074368805,7.227160931,10.82605544,8.870982614
PAQR7,4.413701374,8.199728406,4.68432619,13.23418124,18.70999815,20.98545224
CEP85,28.16007433,28.41819478,28.21955571,48.92348925,61.78461754,67.10551447
UBXN11,78.30185324,55.65138586,58.12170412,103.1203311,70.26042472,153.4170324
WASF2,16.61486179,13.95902365,8.388395222,46.15751258,50.0858311,52.26495121
STX12,14.12136591,10.6094368,16.91169757,33.79626062,17.27345898,19.62934357
PHACTR4,8.542014304,9.082933401,4.829962504,1.628672405,3.775877202,2.734496165
ZCCHC17,158.0858857,147.5334319,235.577082,301.1158138,434.6464952,260.3892301
SERINC2,1.382137552,1.631572552,1.007656056,5.545266879,6.600590388,3.959964807
BSDC1,5.503306894,4.993616293,4.004824629,9.875752715,7.975821423,9.316090885
RBBP4,30.69919669,12.22785581,14.1194086,54.63612058,32.83789165,45.20767756
ZNF362,2.161863536,1.331486631,0.616742678,6.239003594,4.152547271,6.02545697
OSCP1,4.506455853,1.050479912,3.268824679,7.589564372,5.723674936,6.710925186
SNIP1,6.230238415,9.298331402,10.31727017,4.291317169,3.151761739,4.621053857
CDCA8,124.9631194,167.3270284,105.5383605,186.5967211,238.3712024,241.0054475
SF3A3,122.5458146,99.10568888,183.4259246,276.3711321,224.6763295,172.4448418
EXO5,7.921036866,11.07493718,14.35470578,63.77536915,41.46720029,21.95691689
NFYC,4.964958047,9.853979122,7.003313886,12.72798396,15.49385052,12.46869825
C1orf50,4.543082124,1.917884829,1.882010234,7.056235166,6.908795628,6.154482238
SZT2,0.310786028,0.333392046,0.443481841,0.42014436,0.704921877,0.61142754
KDM4A,9.479693276,8.126691666,12.10471717,13.51225683,17.78029244,9.693262706
AL451062.4,9.11996234,6.752487514,10.7187647,13.00482204,15.28037253,8.209941498
SLC6A9,1.560383881,1.845563752,1.484412326,2.315028104,5.157621637,4.873907881
KLF18,18.30018956,3.708436839,9.843986268,0.608929911,0.150790263,1.208730444
KIF2C,97.46854739,146.8138207,246.7146635,104.605263,179.7948688,105.0420903
AL358075.4,44.34220032,25.24148848,18.09768444,19.54636036,27.45203241,32.20912498
TTC39A,0.424690133,0.697857146,0.743095216,0.50615766,0.864974308,0.448645313
MIER1,9.381182758,5.63695399,7.08888045,9.68630006,18.9816926,8.483236397
LRRC7,1.564678026,0.533170859,1.999232131,4.863360043,3.333684257,2.927880399
AK5,6.088672657,2.529134709,1.882396651,13.4039802,7.061554874,11.28807058
GBP2,0.121100483,0.0311903,0.115578415,0.318281607,0.241811382,0.444059083
GBP6,0,0,0,0,0.053157732,1.201632643
AC093423.3,5.471489483,6.889527154,5.531446258,18.79561841,19.66567869,22.65338281
ARHGAP29,3.424034489,3.262192983,3.128124235,5.003320874,9.226997353,6.356344273
VAV3,24.66329179,11.5018138,15.39726038,36.43701068,27.38372633,27.98193772
GNAI3,23.34397315,30.01674958,33.14584097,32.04943861,21.03284072,13.64551355
STRIP1,2.706936972,5.000254451,2.56714101,6.420464809,4.432235843,5.760844848
MOV10,2.101285089,1.246021104,1.549768512,3.517536615,8.635563044,3.355527821
TTF2,5.32318436,6.23211244,9.9305407,13.20501878,15.81100031,11.71300496
AC253572.1,1.717781757,0.608337186,3.631842752,1.393583377,0.214377335,0.274950817
SRGAP2B,2.716623538,3.240650615,2.905907244,2.284217437,3.480908744,2.101957165
PEX11B,25.64232549,32.25886748,13.64645487,34.10926454,37.47739255,34.9832904
AC243547.3,103.9919453,225.0817959,251.336328,110.4591941,166.4674924,90.80420226
ANKRD34A,0.173291159,0.245478113,0,0.166146824,1.189460373,0.020802939
NOTCH2NLB,7.607411491,2.033281028,6.278752174,1.439700757,1.57635705,1.654171613
NOTCH2NLC,2.158010887,1.011959744,2.499937531,0.219526984,0.505202413,0.257274305
FCGR1A,0.5570042,1.502918866,0.997814772,0.250392566,0.211850762,0.866076732
APH1A,10.80707135,11.67629048,4.807502961,34.34028058,44.37030612,41.38318554
CIART,27.18549912,25.22524556,23.07557126,62.38075079,60.49772552,34.87337097
PRPF3,7.910726979,12.03921939,10.52276139,16.04106891,14.54817929,16.64892529
RPRD2,2.457098276,1.443820339,0.93947033,7.737221266,2.980118107,3.469665028
ENSA,14.33165678,18.74320132,10.09396569,21.32760161,18.25431012,32.90771605
SETDB1,5.639087436,4.859578924,2.687408614,8.552668544,5.641209772,6.061603393
PRUNE1,7.180896527,3.711961969,4.761347276,13.30512984,7.873702764,14.27657724
BNIPL,0.167012823,0,0.018264262,0.160127328,0.479389521,0.260640237
TMOD4,0,0.733437454,0.075494926,0.560054669,0.129231264,0.041436565
VPS72,274.6531978,280.7234602,264.399665,503.7548157,381.3893636,420.9656111
ZNF687,1.169396772,1.353720184,1.595104877,1.706353671,2.912512491,1.545707061
PI4KB,9.837850409,7.349923342,3.914507377,5.778671246,6.300647858,6.494604382
S100A4,0.672464951,6.191835081,20.14988298,0.545550082,5.035374624,0.726541549
ADAR,12.56084425,8.703599971,12.22453291,28.88418279,22.62427095,34.00019275
AL691442.2,10.07342171,10.81034251,8.412322779,10.22094884,18.20966075,12.45920365
EFNA3,8.467298848,6.953319073,4.616433157,6.081873133,12.08835272,9.153111288
GON4L,8.259554838,10.14706969,13.24866553,17.07010569,12.57174595,13.74578321
TTC24,1.517859649,1.035255565,1.032831429,0.597038902,0.841898974,1.889618686
ARHGEF11,0.453124917,0.427920463,0.178779576,0.597605922,0.851569054,0.639951867
ETV3,8.690534173,10.00979369,7.634183768,4.183174236,4.841352163,4.861929432
CFAP45,0.363238586,0,0.026482137,0.482210617,1.299511286,0
IGSF9,3.977746199,4.955850616,0.974819556,7.069053341,4.964184932,4.614042997
DCAF8,9.640565419,7.317031147,5.653304246,7.933682687,9.917359576,10.48359808
AL139011.2,19.59415228,15.90099425,12.42761536,21.40730342,22.09164468,24.97091386
NIT1,18.59075796,29.03679654,16.24611403,47.43668681,33.16680313,36.31184275
DEDD,52.23277946,63.24981569,42.19490616,125.6838317,90.7889409,103.2491975
USP21,1.647842848,2.693395114,3.733488833,12.57692954,12.52877192,9.150314253
CFAP126,1.952016317,0,0,1.939733624,0.718007122,0
TADA1,40.41757836,33.24933319,15.71290208,70.35978216,61.45964118,54.51065868
CENPL,8.527981831,8.114752588,9.513651158,13.98735344,15.81682147,9.744094138
TEX35,0.019845016,0.056223493,0.034723521,0.035126509,1.168972628,0.457405078
XPR1,3.176119943,4.524455211,4.34754805,8.932869968,6.208412212,5.783476146
NCF2,5.513098716,1.846619164,1.995819749,6.489586525,5.422887516,5.868411075
NIBAN1,0.295928979,0.054090645,0.618016144,0.135175915,0.447944831,0.302536669
TMEM9,18.05866104,26.61600665,19.38476216,60.60102275,73.19212749,54.9129541
CSRP1,7.175050478,3.471672663,6.358128065,18.00209522,16.66612373,20.30942678
SYT2,10.7199445,7.873959526,3.67837935,6.733363356,7.917762905,10.85239077
ATP2B4,6.495018054,3.499477238,1.932261599,16.40006268,8.722319331,10.50339133
RAB29,6.51794922,1.327257524,2.583873782,26.22273666,19.13601432,30.02670334
SLC41A1,12.79185857,8.760004611,4.668446176,12.94676393,6.970680623,12.38069732
RASSF5,1.333866769,1.808760161,0.44882951,2.72423073,8.832612593,1.467133618
CR1L,1.637493457,0.895290071,0.276464709,1.355991533,0.401544446,1.131167329
HHAT,8.29295011,5.017690838,4.847291167,9.778851803,13.13029187,6.757583537
KCNH1,1.258083288,0.413920147,0.717201795,3.663543929,4.408364177,2.697069098
AL590132.1,2.051220477,0.774849658,1.031864061,6.041157977,8.413542371,4.859158745
DTL,34.48568421,29.28783756,27.49958261,74.64073707,48.71834903,35.33726768
SPATA45,0,0,0,0,0,0
RPS6KC1,6.756094934,3.602562794,4.775746081,10.31407767,5.116627075,14.03752492
MIA3,7.125777671,6.300508201,6.795866617,19.32133707,15.29968787,16.24362316
EPHX1,3.677911378,5.569309152,2.385525268,4.976078018,9.81309119,7.186104909
SDE2,70.04531213,86.22743489,75.69312125,61.19137109,43.34947741,64.54947993
MTR,3.912562931,1.039199617,3.316006324,3.371576324,4.015490878,5.654798443
SMYD3,5.856154035,5.261573934,6.392339147,9.877748751,12.99274298,11.53455238
SCCPDH,12.21940429,3.261986771,4.58158288,8.940803954,10.45692791,15.05236934
DCDC2C,4.90032933,11.12238895,0.511533633,4.287611041,31.13375421,16.97948855
GREB1,1.112958704,0.670498625,0.660319477,2.42285321,1.909421726,2.211416683
GEN1,0.127692751,0.361770049,0.223428483,1.197517471,0.577048031,0.374350929
WDCP,21.63655981,16.94022572,10.80380182,45.98381022,39.38781928,47.67547704
TP53I3,0.584698386,0.682098947,0,0,0.68677399,0.23121675
CENPO,23.95080565,37.56153224,20.28558096,31.94424112,34.53036893,37.96235917
ADCY3,3.622852198,7.623629132,4.363826041,10.30043221,10.27444725,8.420856679
KIF3C,3.62748669,2.111740709,2.499730049,5.966362743,7.09446866,6.16810557
MAPRE3,4.515135055,2.670166519,2.205178065,5.198665222,7.68088939,6.693741303
KHK,5.892226095,5.835316557,6.204148247,10.73714108,13.40537794,11.31742637
CGREF1,6.750870999,4.781522276,4.42958838,7.873585582,15.6940399,12.68395551
SLC30A3,1.32393724,0.742362681,0.253371498,1.635514865,3.153062049,3.827650599
GPN1,14.52934159,17.42688344,16.16277088,32.91344825,25.24250715,30.86073567
VIT,2.550608808,2.307527343,1.125098233,0,0,0.226426815
COX7A2L,60.01164808,42.72625385,43.81392802,79.31996456,58.14457728,80.12806309
PRKCE,0.239082924,0.24836269,0.75996939,0.902798451,1.113925662,0.68117012
NRXN1,1.252190179,0.389033657,0.792307171,2.054392401,1.880160274,1.44747384
EML6,0.901575742,0.428014566,1.372867614,1.000626515,0.710369351,0.468024695
WDPCP,0.327431096,0.314739943,0.301804843,0.752056833,0.817261048,0.673831672
SPR,12.98046458,5.71717346,15.55511327,26.58003814,32.61677152,29.17472382
DOK1,1.825624347,0.738889924,1.163659324,2.9082883,3.072530876,1.703180086
TCF7L1,3.553319372,2.389644388,2.826076131,7.433073693,11.7178429,4.394884972
TMEM150A,5.780862879,5.09535627,3.236793108,20.22219308,26.65180132,18.33315637
IMMT,47.02113322,45.66792039,50.35256805,78.81542595,64.09444899,77.57460354
TEX37,42.94822129,112.0791386,39.75347091,36.21686858,21.58880062,16.84297712
NCAPH,12.14957685,13.42431471,12.02170471,39.57684524,21.33673,28.06173455
BUB1,19.81667486,9.00578356,14.01524256,48.66628659,27.76924437,27.41431709
RABL2A,2.236802214,0.637464738,1.285304881,3.365738903,3.951053745,3.749740162
RALB,31.16921993,14.54736283,13.3066592,27.64272749,22.63961844,30.06723941
IWS1,63.02445004,38.30866239,62.28619079,103.9740031,130.26953,104.0890613
TUBA3E,51.17921208,69.456237,13.51958456,0.216351218,0.99369591,1.207392719
TUBA3D,27.66977247,47.29318545,10.22286299,15.13172688,5.908877589,8.210001666
GPR39,11.43132245,8.929295307,8.622213964,35.36139278,40.856809,38.19580599
RAB3GAP1,9.476541648,6.42319274,4.355250905,13.76590167,12.77874116,14.48092623
ZRANB3,1.56468039,0.569595842,1.162407746,2.790179521,1.178168065,1.234037117
MBD5,2.183362508,1.318883179,1.393895408,2.357857737,2.359868231,1.744213579
RND3,5.243739114,3.008848587,4.510149628,1.083510429,8.372069215,3.123549152
LY75-CD302,0.182964026,0,0.615651098,1.121033,1.419203256,1.000212676
SCN7A,0.245101142,0.138880636,0.285908041,0.154253963,0.832003439,0.070616285
ATF2,21.90194142,18.68582083,15.47177991,43.62958754,34.64990329,28.84201083
PDE1A,2.77976822,0.783980676,0.814311054,2.181855151,2.674833692,1.751550217
DNAH7,0.286803199,0.306025509,0.309570216,0.593361417,0.290060598,0.704689453
SF3B1,37.49198361,23.27805673,31.50690239,50.65881948,27.86639607,35.34004811
MDH1B,2.117938948,0.155854402,0.986617619,2.369397034,1.400534326,1.373612816
IGFBP5,0.221364313,0.104525613,0.010759136,0.38456809,0.270121189,0.035431916
CNOT9,19.40990808,17.46415023,6.103198786,15.95844873,20.09919589,18.987215
GLB1L,3.698016349,2.438034193,2.624845293,13.43435027,13.32859785,8.80047682
TUBA4B,45.62796272,20.29858078,62.59934527,215.9809166,268.997851,106.4709961
TMEM198,1.388034958,1.04866193,0.593680617,0.272986658,0.369547277,0.029622804
OBSL1,1.882396615,1.924543603,2.133741774,1.545238601,1.331900467,1.218297279
AC093884.1,38.61157845,25.49185323,32.42070032,44.05766364,36.5583274,55.05415023
SERPINE2,4.172593595,4.678294302,4.932013459,8.354706342,10.18425178,10.87920555
TRIP12,27.55445695,14.61488951,19.62105568,36.78430122,27.47231199,31.83498846
HTR2B,1.099340744,0,0.833540519,0.583763728,0.18292874,0.42230925
COPS7B,21.27584987,11.77318654,14.30135376,35.19958198,34.73523053,42.76635368
DIS3L2,1.157328374,2.583344794,0.89591707,1.659507817,2.04482609,1.684034345
GIGYF2,7.005920911,3.324905524,4.09653947,7.434868421,6.432475895,7.160884581
SNORC,1.204181424,0.791978906,0.376249725,1.243346698,1.653086165,1.135807848
HJURP,39.14556459,35.08141457,20.55559282,77.44241178,67.09075517,46.64798582
IQCA1,12.12504562,4.794155047,12.23977929,44.72395437,29.01339322,31.88807522
MLPH,0.534761133,0.121203786,0.168424255,0.997032214,0.512544925,0.554653642
KIF1A,1.371755998,2.56391927,1.229273996,5.272049594,2.67727908,4.953944258
HDLBP,18.30375217,17.65616971,16.48248865,23.24258697,20.0762788,32.34946162
BHLHE40,4.455415005,4.293021912,4.254051032,19.84244469,15.64789925,17.24569569
LMCD1,0.748932226,1.073392148,0.131043297,0.582242481,0.49262051,0.448474487
OGG1,4.079297293,4.824089041,3.051043614,4.485967178,5.918194055,4.424825406
CAMK1,1.669459259,1.991492048,1.614298404,1.486146742,2.19312357,1.940833765
GHRL,0.153437493,0,0.604068661,0.339488473,0.727655761,0
XPC,5.701235783,6.385807662,5.234317476,7.549012302,16.36468767,6.573533649
PLCL2,0.169517206,0.087320751,0.417950736,0,0,0.01479992
TOP2B,36.91764713,23.25933549,23.69981702,26.72671874,22.12021299,42.06282351
NGLY1,2.70093479,3.131641105,2.077050381,6.73730941,5.297216539,5.123173232
CCDC13,1.38323216,1.816064158,1.170790598,1.121344207,1.381007214,0.85320882
KIF15,5.330376651,4.47930155,6.086097563,13.54836077,6.719903378,9.761053377
TGM4,1.12492403,2.317858189,1.699911878,0.051718509,2.960938429,0.322699717
SLC6A20,0.537855723,0.406350587,0.512379397,2.383593834,2.124096052,3.018890129
SCAP,5.324028433,7.344775013,6.759923469,14.85565494,14.21665847,11.1490851
QRICH1,15.20830351,39.15470348,28.11207583,18.84441386,17.25504182,16.75557659
USP4,1.768776449,2.305754005,2.506291425,3.085990992,3.73770746,3.543256061
CACNA2D2,2.100548836,1.710503294,1.628622108,3.851642257,3.930624158,5.049296488
DCAF1,6.374057569,6.808953184,5.08889701,18.3106967,11.33661405,15.72175517
RAD54L2,5.721845459,3.136341102,3.028018279,7.767088567,12.45062957,12.25186168
DUSP7,9.384053263,2.662597467,5.276854271,21.93170993,24.92787271,24.40960877
TNNC1,8.363082961,4.5412913,1.280403204,1.233583883,4.453136448,0.468512819
NEK4,2.848403962,2.361061324,2.1437524,8.204841116,6.544516752,6.725317201
CADPS,0.802509997,0.215071635,0.678370685,0.521481149,0.958214795,0.598859379
HHLA2,82.93915169,27.88919342,33.10597157,65.19526534,88.23419251,60.72349821
MYH15,8.143074285,5.211329663,3.263710883,11.37721831,12.29813636,9.567037848
AC069444.2,3.93127544,6.328301628,1.95417343,0.298724427,0.208141391,0.686450242
PODXL2,0.292483606,0.621482863,0.47978327,0.647135269,0.839537786,0.45644996
SEC61A1,35.26940988,70.54801566,24.84377743,11.84055313,10.89916243,12.88703072
KIAA1257,8.974218857,9.642074466,7.302011891,22.74707631,31.57037193,23.29804878
EFCC1,1.458072987,0.535488206,0.73230078,2.979129512,5.202878484,4.512040939
HMCES,18.11535524,17.08072961,10.77400483,26.805073,32.43537559,17.86392409
EFCAB12,0.490038652,0.433857115,0.125043014,1.590213,0.652333892,1.029477069
IFT122,0.222811589,1.402786662,0.866358332,0.842330232,0.370755323,0.641944245
RAB6B,2.6396887,2.976548809,1.44766975,2.688737496,5.572453531,5.107989056
COPB2,26.22902987,18.96574473,24.88200324,45.73932172,25.14132079,36.14889219
PXYLP1,4.630611395,5.386099423,4.728973747,16.48417412,13.53033805,8.253171251
GRK7,1.153872208,0.695546582,0.751744394,1.941006218,0.857884397,2.004089257
GYG1,81.67059061,18.09486918,49.04079205,247.8425786,163.4402385,116.5850981
ANKUB1,2.138652287,1.686902408,1.339492716,6.732174709,4.743568099,6.360075834
IGSF10,9.228731342,4.687486933,4.289083233,11.1382095,5.883076886,11.10315853
LXN,4.796209927,2.470596715,4.911283846,2.540416213,1.088294356,1.779642249
IQCJ,2.774866921,0.539518565,0.261804418,1.284086405,2.41731287,3.318058112
PHC3,1.207895147,2.782971537,1.270565009,2.074244675,2.116281933,2.636011126
YEATS2,3.551619828,4.029282588,2.794437446,3.966328242,6.284867995,4.761778936
MUC20,0.616426205,2.339537106,1.322789913,2.696870215,3.692608058,3.563150656
TM4SF19,0.963105082,2.491331383,0.256440242,2.445925959,2.090338948,2.774809728
PIGZ,0.273517444,2.183837923,1.479256735,0.733541386,1.067484725,1.170110032
TACC3,19.25441298,21.53443425,15.42858282,34.76182331,32.21330063,49.3568144
FAM193A,5.610550283,4.079067363,4.998460561,9.101647433,11.00910845,9.130311026
STX18,5.426140938,3.622121567,6.502951401,18.34064105,13.44705783,12.04977482
C4orf50,0.238483858,0.250646417,0.185085453,0.644537087,0.787266967,0.546722935
WFS1,2.66061734,3.294699203,1.94230896,7.048511891,3.360003321,5.736453097
KIAA0232,1.899323807,0.874748647,5.819891303,2.765686648,6.006407824,4.798246002
CCDC96,3.508733463,5.336583574,3.005052202,0.697331084,3.650588133,1.631634517
